Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.009971,21.299145,0.0009289164,-0.15270431,34.295948,774.8091,0.01680133,0.02850793,0.041709147,-0.00051698956,Oct,2,2,6,1,Returning_Visitor,True,False
17.113182,2629.0425,24.019684,2055.0974,705.4567,43168.285,0.0047156843,0.015468144,0.8960697,0.00051864487,May,2,2,1,14,Returning_Visitor,True,False
19.944815,194.87611,6.949684,299.16562,680.2949,23445.44,0.011087121,0.022385502,-0.50995475,-0.00042484453,Aug,2,2,1,1,Returning_Visitor,False,False
3.9726677,361.92252,5.0032086,2247.6228,73.9135,8988.043,0.002394784,0.043242857,0.52620095,-0.00050994504,Dec,2,2,1,8,Returning_Visitor,False,False
15.024455,2652.29,13.059088,1948.0532,343.35934,30039.846,0.004335373,0.02861285,0.57804316,-0.00023368871,Dec,2,2,1,2,Returning_Visitor,False,False
6.9885464,2701.3674,2.9927323,356.50073,68.83593,5906.937,0.03335839,0.03820808,-0.42954043,-0.0006105912,Jul,3,2,1,13,Returning_Visitor,False,False
-0.044420116,-1.5027318,15.949342,1209.7063,5.433968,268.70032,0.0026082338,0.0123891095,0.23545857,-0.00064981106,Mar,2,2,1,8,Returning_Visitor,False,False
21.792809,1149.9901,3.021987,106.93503,206.60747,4281.217,0.0023737827,0.008703525,176.29712,-0.0006153745,Nov,2,5,3,3,Returning_Visitor,True,False
11.000509,83.54859,0.0024448712,0.42278093,441.6984,9815.683,0.0024231595,0.010235856,1.2294843,1.0039288,May,2,2,1,20,Returning_Visitor,True,False
9.89897,2409.3252,2.9752257,436.874,485.90256,23105.355,0.0008931268,0.011032171,-0.6368254,-0.00060521933,Jul,2,2,1,3,Returning_Visitor,False,False
1.0254171,8.544913,0.00075153296,0.26444048,12.126839,763.45807,9.761717e-05,0.023066182,9.41297,0.40053707,May,2,2,8,2,New_Visitor,False,True
20.116013,1308.9164,2.9671547,133.04619,520.4131,26743.955,0.004648415,0.014591408,8.563245,-0.00046259662,Nov,1,1,1,2,Returning_Visitor,False,True
12.0091505,505.78793,1.9971783,1671.5928,244.33835,8765.342,0.013729485,0.02828442,2.1424668,-0.0005961818,Jul,2,2,1,1,Returning_Visitor,False,True
0.00028742081,-1.0401158,-0.0006160658,-2.9894733,43.55576,697.87274,0.0035658886,0.0054292446,359.7652,-0.0005238627,Dec,8,13,9,20,Other,False,True
25.481976,1567.2256,8.998119,507.1155,180.8254,9695.383,0.011173893,0.013950282,19.884783,-0.0006356624,Nov,3,2,2,13,Returning_Visitor,False,True
1.9905155,6.2331004,4.0012593,31.240993,401.23734,12469.116,0.006929195,0.022222133,-0.0686448,-0.00054596487,Nov,2,2,1,2,Returning_Visitor,False,True
3.9915264,1663.2866,0.0008313734,-0.4589787,1.6729875,30.649975,0.0002642308,0.0166558,114.83031,-0.0005478536,Sep,2,10,1,2,Returning_Visitor,False,True
7.997633,1597.7515,1.9943006,146.85698,14.208023,1718.1176,3.5982964e-06,0.031752802,-0.18546228,-0.0004509849,Nov,4,1,3,8,New_Visitor,False,True
5.9564757,175.64873,12.039693,402.43698,41.654263,2707.1658,0.013008087,0.032823917,8.769601,-0.00064004335,Mar,2,2,2,2,Returning_Visitor,True,True
12.982733,213.757,1.0020759,6.341614,58.552643,970.21466,0.00043061716,0.0046810983,167.95041,-0.0005561796,Nov,2,2,4,10,Returning_Visitor,True,True
