model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,15.097,0.106,0.755,0.679,0.802,0.778,0.824,1.7e-05,original,10,5,,,,
rf,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,18.003,0.439,0.729,0.64,0.766,0.733,0.818,2.6e-05,original,10,5,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,7.154,0.001,0.761,0.626,0.736,0.694,0.494,5e-06,original,10,5,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,4.372,0.006,0.716,0.633,0.763,0.73,0.796,0.0,original,10,5,,,,
mlp,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,6.176,0.035,0.748,0.612,0.724,0.68,0.833,2.6e-05,original,10,5,,,,
naive_bayes,random,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,3.078,0.001,0.705,0.57,0.683,0.632,0.707,3e-06,original,10,5,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,7.772,0.001,0.72,0.681,0.817,0.802,0.776,0.00012,original,10,5,,,,
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,6.959,0.297,0.816,0.798,0.891,0.888,0.87,1.7e-05,original,10,5,1729.0649564266205,65.77043581008911,7.427349986069222e-07,0.0015366077423095703
rf,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,15.429,0.263,0.711,0.667,0.805,0.787,0.808,1.7e-05,original,10,5,1729.0649564266205,65.77043581008911,7.427349986069222e-07,0.0015366077423095703
svc,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,2.515,0.002,0.787,0.763,0.87,0.865,0.869,4e-06,original,10,5,1729.0649564266205,65.77043581008911,7.427349986069222e-07,0.0015366077423095703
logreg,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,7.146,0.01,0.804,0.786,0.885,0.882,0.855,0.0,original,10,5,1729.0649564266205,65.77043581008911,7.427349986069222e-07,0.0015366077423095703
mlp,k-means,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,7.59,1.196,0.78,0.712,0.828,0.809,0.859,5.7e-05,original,10,5,1729.0649564266205,65.77043581008911,7.427349986069222e-07,0.0015366077423095703
naive_bayes,k-means,0.4,0.333,0.333,0.4,0.2,0.207,0.207,0.2,4.139,0.001,0.687,0.542,0.649,0.594,0.808,2e-06,original,10,5,1729.0649564266205,65.77043581008911,7.427349986069222e-07,0.0015366077423095703
knn,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,7.527,0.0,0.797,0.761,0.867,0.859,0.84,1.2e-05,original,10,5,1729.0649564266205,65.77043581008911,7.427349986069222e-07,0.0015366077423095703
