Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.2520084,62.897007,0.19687362,15.977308,21.774715,778.1542,0.0071036345,0.02601255,2.0509107,0.0017328622,Nov,1,1,1,2,Returning_Visitor,False,False
1.4022217,28.180737,0.056037523,6.8877754,23.785604,958.9755,0.010404832,0.036965463,1.9073088,0.0005516584,Mar,2,2,1,1,Returning_Visitor,False,False
2.4519095,68.60888,0.1464834,12.980246,24.518253,1019.4694,0.00900983,0.030174991,2.0319269,0.0025055509,May,2,2,8,2,Returning_Visitor,False,False
1.8943471,40.96932,0.11263872,13.401318,27.156803,1068.7274,0.00526406,0.027884241,3.101691,0.0010627793,Nov,2,2,1,2,Returning_Visitor,False,False
2.0162954,52.427006,0.124656655,13.496357,22.851765,859.00226,0.026036255,0.043663688,1.8867161,0.004083155,May,3,2,1,13,Returning_Visitor,False,False
2.1500113,59.180187,0.2010874,16.756144,20.916538,816.9064,0.007866566,0.024920212,1.6687253,-0.00023245192,Dec,3,2,1,2,Returning_Visitor,False,False
1.0198802,18.047012,0.06058667,10.614059,19.359325,652.0061,0.045384206,0.061186753,0.9101965,0.676545,May,1,1,1,3,Returning_Visitor,False,False
1.7068748,43.329582,0.06814242,7.5472507,17.807636,690.5937,0.012568306,0.037277248,1.3025653,0.0019045087,May,1,1,1,3,Returning_Visitor,False,False
1.7614113,35.614124,0.05386702,6.9006596,25.20684,953.5817,0.009799834,0.03559339,1.8356574,0.0015170859,Mar,2,2,4,1,Returning_Visitor,False,False
0.0006424261,0.993545,-0.0013550144,2.006586,1.4009347,24.667065,0.19290343,0.19785063,0.008866511,0.023220243,May,2,2,1,1,Returning_Visitor,False,False
0.032759078,0.46520945,0.0032423218,2.324728,1.3057504,15.008251,0.19432628,0.19778632,-0.055120744,0.003687917,May,3,1,1,1,Returning_Visitor,False,False
1.8645484,39.57445,0.20579357,16.331228,34.11377,1330.5588,0.0076900446,0.031321008,1.9135633,0.00059445825,Nov,2,2,1,2,Returning_Visitor,True,False
1.8896021,35.991184,0.05721385,7.0587254,20.680235,743.7214,0.008780701,0.03515428,1.4462678,0.0010030443,May,2,2,1,3,Returning_Visitor,False,False
8.730864,699.2079,1.1232845,47.516567,46.815308,2016.6127,0.0072568064,0.019450532,5.751899,0.0046199025,Nov,2,2,1,2,Returning_Visitor,False,False
1.8845812,38.56745,0.08060885,9.0206375,25.84985,972.08203,0.009360143,0.03348713,1.8109796,0.0041858316,May,2,2,1,4,Returning_Visitor,False,False
1.1689084,24.195782,0.0532803,11.113174,27.43097,891.8417,0.024081625,0.046744186,1.0764358,0.6934511,May,2,2,1,4,Returning_Visitor,False,False
7.7706714,193.77263,3.566921,398.74506,151.24179,5432.6577,0.006260948,0.019545708,5.2169957,0.006793915,Nov,2,2,1,2,Returning_Visitor,False,False
0.85332584,12.032554,0.032335915,7.1166286,25.033571,858.85297,0.022199867,0.051028274,0.6545884,0.6229859,May,2,2,1,3,Returning_Visitor,False,False
2.7277732,63.342545,0.0834913,13.023087,18.976694,671.23224,0.0015085113,0.016340906,1.2821848,0.00086795044,Dec,2,2,1,2,New_Visitor,False,False
1.5537802,41.090492,0.060353197,8.349487,19.443146,698.28876,0.016104689,0.037576165,1.128361,2.6005007e-05,Mar,3,2,1,3,Returning_Visitor,False,False
7.2188497,216.40665,4.5213203,612.37103,77.38625,3404.6426,0.0048698965,0.01586184,14.350256,0.0036824297,Nov,2,2,1,2,Returning_Visitor,False,True
2.7496152,76.13215,0.3419657,21.363625,29.602299,1104.7181,0.005754027,0.021473404,24.143457,0.0025691304,Nov,1,1,1,3,Returning_Visitor,False,True
2.4451363,63.748493,0.07635156,12.216673,26.461384,1027.7034,0.0020057836,0.01564341,43.30648,0.0011514897,Dec,2,2,7,2,Returning_Visitor,False,True
2.744601,61.968964,0.21658237,15.013388,24.609367,985.5666,0.0025595424,0.017993577,28.489494,0.00027187416,Dec,2,2,1,2,Returning_Visitor,False,True
3.2036176,83.503265,0.12705134,14.135525,18.642435,813.193,0.0012695059,0.015402204,22.833792,0.0027994688,May,2,2,1,5,New_Visitor,False,True
8.481987,212.93748,2.1504538,107.8223,261.71558,9597.495,0.005446186,0.01590948,9.919922,0.0015289137,Nov,2,2,1,2,Returning_Visitor,False,True
3.069245,75.742546,0.30475456,15.686514,31.54386,1228.6334,0.009812184,0.022940854,15.858623,-0.0004867067,Nov,3,2,1,2,Returning_Visitor,False,True
1.4650236,33.24487,0.11269111,13.9964485,27.262094,1089.2687,0.006309181,0.024720756,16.149418,0.00077368197,Nov,2,2,3,1,Returning_Visitor,True,True
1.4140768,41.814083,0.047903456,1.6795901,16.57761,771.6872,0.0018944048,0.015119559,47.819057,0.0024113085,Dec,1,1,1,2,New_Visitor,False,True
3.6997,101.782745,0.5340338,28.376316,38.49277,1466.7947,0.0070750616,0.020656403,15.461374,0.0021977152,Nov,1,1,1,2,Returning_Visitor,False,True
9.555407,837.6635,1.4685179,74.06906,49.889866,2441.15,0.004373077,0.015626203,20.07476,0.00072413933,Nov,2,2,1,2,Returning_Visitor,False,True
2.3780499,71.20952,0.34747794,18.341944,27.65982,1077.4087,0.0027755217,0.01569746,33.864025,0.003804295,May,2,2,1,4,Returning_Visitor,False,True
2.9111772,74.75794,0.2542812,21.135572,28.542738,1045.2363,0.008706437,0.023667015,16.143646,0.0020533565,Jul,2,2,1,1,Returning_Visitor,False,True
6.603601,206.13171,0.5915635,35.237957,85.268486,3217.335,0.0055935974,0.018603463,13.967057,0.0019020649,Nov,2,2,3,1,Returning_Visitor,False,True
2.4720147,52.706127,0.08320231,10.675257,24.400047,945.5915,0.0045511494,0.015401318,51.27421,0.00078607973,Nov,2,2,1,8,New_Visitor,False,True
3.3554027,61.78446,0.93713206,31.185282,97.04193,3876.1553,0.0047823484,0.017544046,11.517899,-0.00027128434,Nov,2,2,1,2,Returning_Visitor,False,True
1.8922133,42.35352,0.32977405,31.422552,33.11272,1242.5083,0.007650859,0.020911526,19.785458,0.6543556,May,2,2,1,1,Returning_Visitor,False,True
1.93651,38.826385,0.078024544,8.328411,30.590414,1211.651,0.0044271867,0.01901649,30.442276,0.0018146845,Nov,2,2,1,3,Returning_Visitor,False,True
1.8685882,49.61562,0.08771715,17.910023,22.61157,870.6962,0.0010536067,0.011722895,47.12166,0.0032571729,Nov,2,2,1,2,New_Visitor,False,True
2.7592785,72.35932,0.40801102,21.151884,25.768917,1016.96356,0.004876738,0.022615632,30.332018,0.07555013,May,1,1,1,4,Returning_Visitor,False,True
