age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
26.671217,Private,179836.06,Bachelors,12.808387,Never-married,Adm-clerical,Own-child,White,Female,60.670635,0.16507156,36.17801,United-States,<=50K
39.29116,Private,165962.62,HS-grad,8.863305,Married-civ-spouse,Craft-repair,Husband,White,Male,162.114,-0.21539871,42.25981,United-States,<=50K
20.57487,Private,169227.22,11th,6.74311,Never-married,Other-service,Own-child,White,Male,65.34221,0.025156096,23.58402,United-States,<=50K
52.741592,Private,174630.89,7th-8th,4.277832,Married-civ-spouse,Other-service,Not-in-family,White,Female,139.81639,0.1671849,36.2703,United-States,<=50K
41.938004,Private,164804.2,HS-grad,9.252188,Divorced,Other-service,Unmarried,White,Female,126.90831,0.071146086,39.181797,United-States,<=50K
39.5765,Private,165159.08,HS-grad,9.884575,Married-civ-spouse,Prof-specialty,Wife,White,Female,244.42479,0.10929306,36.04327,United-States,<=50K
34.59383,Private,175268.72,Masters,13.272444,Never-married,Prof-specialty,Not-in-family,White,Female,195.7238,0.00019271749,41.880646,United-States,<=50K
38.550842,Private,425443.12,HS-grad,9.641107,Married-civ-spouse,Prof-specialty,Husband,White,Male,157.6115,-0.15801804,42.22842,United-States,<=50K
30.444958,Private,168470.66,HS-grad,8.675654,Never-married,Craft-repair,Not-in-family,White,Male,111.176926,-0.117093965,41.7224,United-States,<=50K
28.453455,Private,414074.78,HS-grad,10.222037,Never-married,Prof-specialty,Not-in-family,White,Male,75.66179,-0.019208834,40.427914,United-States,<=50K
38.6422,Private,181576.92,HS-grad,9.021438,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,191.59282,-0.1237468,42.469345,United-States,<=50K
40.368336,Private,167930.25,HS-grad,9.287601,Divorced,Craft-repair,Not-in-family,White,Male,180.25969,-0.14450638,42.835712,United-States,<=50K
40.189487,Private,169645.89,Bachelors,12.880554,Married-civ-spouse,Sales,Husband,White,Male,181.8496,0.093217924,44.81412,United-States,<=50K
44.081135,Local-gov,182762.69,Masters,13.904856,Never-married,Prof-specialty,Not-in-family,White,Female,208.16118,0.03970535,42.0177,United-States,<=50K
40.07737,Private,166162.73,Some-college,10.333963,Divorced,Adm-clerical,Unmarried,White,Female,124.24089,-0.024633333,39.12165,United-States,<=50K
30.352512,Private,186743.05,Bachelors,13.007026,Never-married,Adm-clerical,Not-in-family,White,Female,167.50285,0.11456497,41.314518,United-States,<=50K
48.007107,Private,170361.94,HS-grad,10.23198,Divorced,Prof-specialty,Not-in-family,White,Female,-4.5262628,1841.1692,41.262295,United-States,<=50K
43.72139,Private,164789.48,HS-grad,9.688714,Divorced,Adm-clerical,Not-in-family,White,Female,108.395676,-0.09892838,41.733803,United-States,<=50K
22.507185,Private,181514.64,HS-grad,8.568408,Never-married,Sales,Own-child,White,Female,40.631817,0.06363113,27.62531,United-States,<=50K
20.989775,?,182945.88,Some-college,9.17846,Never-married,?,Own-child,White,Female,93.0753,0.26803026,31.510233,United-States,<=50K
