age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.681404,Private,166468.2,HS-grad,9.292894,Married-civ-spouse,Adm-clerical,Husband,White,Male,240.97704,-0.13715927,44.08317,United-States,<=50K
31.461817,State-gov,189966.77,Some-college,11.502774,Never-married,Prof-specialty,Unmarried,White,Female,72.73375,-0.123784944,34.743088,United-States,<=50K
29.995136,Private,191713.11,Bachelors,12.976474,Never-married,Prof-specialty,Not-in-family,White,Female,158.41167,0.1119252,40.862328,United-States,<=50K
26.677156,Private,176923.53,HS-grad,9.233166,Never-married,Other-service,Own-child,White,Female,49.91197,0.039659575,35.959873,United-States,<=50K
41.284573,Private,168638.4,HS-grad,9.397765,Divorced,Other-service,Not-in-family,White,Female,154.90776,-0.06611435,40.138573,United-States,<=50K
38.66769,Private,201706.28,HS-grad,9.248806,Married-civ-spouse,Prof-specialty,Husband,White,Male,199.55577,-0.017278597,39.555744,Greece,<=50K
39.805733,Private,167052.77,HS-grad,9.617298,Married-civ-spouse,Prof-specialty,Wife,White,Female,248.27635,0.105043486,36.126236,United-States,<=50K
42.57151,Private,163110.83,HS-grad,9.453695,Divorced,Adm-clerical,Not-in-family,White,Female,112.673874,-0.080938265,40.805885,United-States,<=50K
36.036903,Private,181215.22,HS-grad,10.391681,Never-married,Prof-specialty,Not-in-family,White,Female,-5.2829766,1761.0355,39.106155,United-States,<=50K
38.379246,Private,384326.62,HS-grad,9.642399,Married-civ-spouse,Craft-repair,Husband,White,Male,182.58134,-0.13294785,41.97296,United-States,<=50K
29.443672,Private,169525.89,Some-college,9.472175,Never-married,Adm-clerical,Not-in-family,White,Female,127.11058,-0.08427231,41.57471,United-States,<=50K
38.517136,Private,439873.7,HS-grad,9.641235,Divorced,Prof-specialty,Not-in-family,White,Female,111.97954,0.021272734,40.787796,United-States,<=50K
39.200542,Private,161048.94,Bachelors,12.956248,Married-civ-spouse,Prof-specialty,Husband,White,Male,201.90129,0.032762602,44.129353,United-States,<=50K
41.46502,Private,185565.8,Assoc-voc,9.2107,Divorced,Prof-specialty,Not-in-family,White,Female,137.22789,0.04137619,38.619423,United-States,<=50K
34.90628,Private,190198.86,HS-grad,10.330971,Never-married,Prof-specialty,Husband,White,Male,74.579575,0.096239164,38.289078,Ecuador,<=50K
44.560745,Self-emp-not-inc,175564.42,HS-grad,9.760232,Married-civ-spouse,Prof-specialty,Husband,White,Male,165.48265,-0.10719101,45.021217,United-States,<=50K
43.363064,Self-emp-not-inc,164204.05,HS-grad,9.285974,Divorced,Other-service,Not-in-family,White,Female,129.91563,0.051111296,40.691708,United-States,<=50K
41.34481,Private,175043.48,HS-grad,9.373889,Married-civ-spouse,Prof-specialty,Husband,White,Male,146.93706,-0.056722566,41.573948,United-States,<=50K
20.726019,Private,176191.33,11th,6.9363146,Never-married,Prof-specialty,Own-child,White,Male,62.705364,0.017206267,24.44364,United-States,<=50K
30.341898,Private,202142.6,Assoc-voc,9.732601,Never-married,Prof-specialty,Not-in-family,White,Female,95.362656,-0.018842623,39.326225,United-States,<=50K
45.713238,Private,174939.12,11th,5.933335,Married-civ-spouse,Prof-specialty,Husband,White,Male,161.11064,-0.15112107,40.267284,United-States,<=50K
30.574154,Private,178093.36,HS-grad,9.462829,Never-married,Craft-repair,Not-in-family,White,Male,106.22594,-0.10694687,41.582676,United-States,<=50K
29.725824,Private,159840.02,Some-college,9.308085,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Female,112.53154,0.10854538,36.16293,United-States,<=50K
38.04248,Private,198377.28,HS-grad,10.232936,Married-civ-spouse,Prof-specialty,Husband,White,Male,127.70891,0.020776823,39.53271,?,<=50K
44.58022,Private,186099.11,5th-6th,15.397103,Married-civ-spouse,Prof-specialty,Husband,White,Male,249.4724,-0.08253281,46.938534,United-States,<=50K
27.15413,Private,334134.06,Some-college,9.491756,Never-married,Other-service,Not-in-family,White,Male,152.92406,-0.07963364,38.015602,United-States,<=50K
38.503155,Private,164599.42,7th-8th,6.0528255,Never-married,Prof-specialty,Not-in-family,White,Male,113.894394,0.046976164,39.656193,United-States,<=50K
42.44766,Self-emp-not-inc,152337.81,HS-grad,9.666618,Married-civ-spouse,Craft-repair,Husband,White,Male,278.61398,-0.22783463,43.724464,United-States,<=50K
24.670528,Private,181510.61,HS-grad,9.172223,Never-married,Adm-clerical,Own-child,White,Male,66.869736,0.047494963,34.813427,United-States,<=50K
41.159855,Private,171227.94,HS-grad,9.351279,Divorced,Prof-specialty,Own-child,White,Female,169.27654,-0.029127046,36.983418,United-States,<=50K
51.12738,?,175598.64,HS-grad,10.048705,Married-civ-spouse,?,Not-in-family,White,Female,211.39769,0.4001027,27.310051,United-States,<=50K
33.594963,Self-emp-not-inc,191660.92,Some-college,10.163731,Never-married,Craft-repair,Not-in-family,White,Male,151.2039,-0.024389192,40.8167,United-States,<=50K
27.311218,Private,178513.62,Bachelors,12.990406,Never-married,Prof-specialty,Own-child,White,Female,84.12639,0.19922836,37.19481,United-States,<=50K
21.951626,Private,161728.23,Some-college,9.885506,Never-married,Prof-specialty,Own-child,White,Female,36.012432,-0.011709138,30.724623,United-States,<=50K
64.17839,Self-emp-not-inc,151690.11,HS-grad,7.4944882,Married-civ-spouse,Farming-fishing,Husband,White,Male,220.78703,-0.13773148,32.78742,United-States,<=50K
28.069414,Private,157146.73,Some-college,9.568121,Never-married,Other-service,Not-in-family,White,Female,108.1591,-0.03297989,38.08928,United-States,<=50K
44.647602,Local-gov,151126.45,Bachelors,13.125716,Married-civ-spouse,Prof-specialty,Husband,White,Male,184.84221,0.020883635,42.79707,United-States,<=50K
61.36007,Private,164110.39,HS-grad,9.5503435,Widowed,Prof-specialty,Not-in-family,White,Female,189.6757,0.0485173,30.41471,United-States,<=50K
42.81535,Private,178782.5,Bachelors,12.855175,Divorced,Prof-specialty,Not-in-family,White,Female,233.39037,0.13241775,41.500935,United-States,<=50K
42.47257,Self-emp-not-inc,111979.21,HS-grad,9.859288,Married-civ-spouse,Farming-fishing,Husband,White,Male,271.0306,-0.017675325,64.453064,United-States,<=50K
