age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
24.253407,Private,189261.44,HS-grad,9.006213,Never-married,Other-service,Own-child,White,Male,69.92107,0.2123204,32.770695,United-States,<=50K
39.14869,Private,186846.4,HS-grad,9.320524,Married-civ-spouse,Craft-repair,Husband,White,Male,198.19579,0.2573186,42.231617,United-States,<=50K
44.69525,Private,188228.78,HS-grad,9.804973,Divorced,Adm-clerical,Not-in-family,White,Female,96.490036,0.26483354,38.586353,United-States,<=50K
27.768728,Private,179991.02,Some-college,10.037939,Never-married,Prof-specialty,Not-in-family,White,Female,136.44572,0.22884567,35.934376,United-States,<=50K
38.981316,Private,180227.92,Some-college,10.003419,Married-civ-spouse,Craft-repair,Husband,White,Male,202.63438,0.29339036,43.935402,United-States,<=50K
40.797665,Private,179275.0,Some-college,9.836192,Divorced,Prof-specialty,Unmarried,White,Female,105.58238,0.2998906,39.52681,United-States,<=50K
32.92151,Private,190536.92,HS-grad,9.668891,Never-married,Adm-clerical,Not-in-family,White,Female,162.74498,0.22146805,38.470173,United-States,<=50K
22.545353,Private,193020.38,Some-college,10.168205,Never-married,Sales,Own-child,White,Female,45.705425,0.23771866,29.269047,United-States,<=50K
22.507101,?,183080.84,Some-college,10.016927,Never-married,?,Own-child,White,Male,85.95494,0.25956163,32.921593,United-States,<=50K
26.708393,Private,193852.62,Some-college,10.179466,Never-married,Machine-op-inspct,Own-child,White,Male,4.5092597,0.27482805,39.92064,United-States,<=50K
44.271484,Private,191092.72,10th,6.2930236,Divorced,Prof-specialty,Not-in-family,White,Male,84.53563,0.2761632,39.959858,United-States,<=50K
30.80205,Private,187188.33,Some-college,10.020709,Never-married,Exec-managerial,Not-in-family,White,Male,100.56352,0.26783952,41.845295,United-States,<=50K
38.036385,Private,178274.08,HS-grad,9.931481,Married-civ-spouse,Adm-clerical,Wife,White,Female,235.79863,0.27825364,36.106255,United-States,<=50K
34.207882,Private,740313.25,HS-grad,9.363222,Never-married,Prof-specialty,Husband,White,Male,68.73607,0.25660142,39.87657,United-States,<=50K
43.604233,Private,176700.3,HS-grad,9.304693,Divorced,Other-service,Not-in-family,White,Male,106.08452,0.24088486,37.85461,United-States,<=50K
32.23354,Private,195917.23,Bachelors,13.032572,Never-married,Prof-specialty,Not-in-family,White,Male,193.76958,0.22475632,42.64081,United-States,<=50K
30.897839,Private,187452.4,HS-grad,9.088977,Never-married,Machine-op-inspct,Not-in-family,White,Male,229.85173,0.25001726,40.773758,United-States,<=50K
