age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
42.283092,?,197558.3,HS-grad,8.890518,Divorced,?,Not-in-family,White,Female,0.31712112,-0.39310256,32.05917,United-States,<=50K
22.363867,?,187638.34,Some-college,9.263379,Never-married,?,Own-child,White,Female,-1.0622734,-0.39253035,32.07889,United-States,<=50K
40.55021,Private,178217.69,Bachelors,13.025022,Married-civ-spouse,Adm-clerical,Husband,White,Male,-0.98915327,-0.4082469,45.2283,United-States,<=50K
39.8849,Private,167725.52,HS-grad,9.005,Divorced,Protective-serv,Not-in-family,White,Male,0.097882845,-0.402563,43.694763,United-States,<=50K
29.965488,Private,200282.31,Bachelors,12.993115,Never-married,Adm-clerical,Not-in-family,White,Male,-0.8466972,-0.3968257,40.247463,United-States,<=50K
43.37208,Private,172151.11,Bachelors,12.738097,Divorced,Adm-clerical,Not-in-family,White,Female,-1.4632744,-0.4245433,41.770607,United-States,<=50K
21.08202,Private,176201.95,HS-grad,7.83128,Never-married,Adm-clerical,Own-child,White,Female,-3.7622247,-0.36825362,26.394165,United-States,<=50K
31.301487,Private,257106.0,HS-grad,7.1228704,Never-married,Adm-clerical,Unmarried,White,Male,-1.7536796,-0.41541854,37.549374,Mexico,<=50K
50.925713,Private,167530.34,HS-grad,9.2514925,Never-married,Adm-clerical,Not-in-family,White,Female,231.70158,-0.3500041,34.525234,United-States,<=50K
38.93198,Private,171245.94,HS-grad,8.551093,Married-civ-spouse,Adm-clerical,Wife,White,Female,-1.9461845,-0.40231887,36.154957,United-States,<=50K
40.659214,Private,164354.19,Some-college,10.004116,Married-civ-spouse,Craft-repair,Husband,White,Male,-2.5378594,-0.37126723,40.884903,United-States,<=50K
41.472034,Private,193005.11,11th,6.0581145,Divorced,Other-service,Unmarried,White,Female,-1.8767265,-0.40093794,38.027817,United-States,<=50K
28.146225,Private,179333.75,Bachelors,12.998753,Never-married,Adm-clerical,Not-in-family,White,Female,-0.94642866,-0.33476058,37.6645,United-States,<=50K
26.404882,Private,192090.92,Some-college,10.198147,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.85166705,-0.3133525,39.220802,United-States,<=50K
22.33883,Private,203965.28,Some-college,10.000099,Never-married,Other-service,Own-child,White,Male,-3.386126,-0.37671462,32.356014,United-States,<=50K
38.908745,Private,198966.97,HS-grad,9.333545,Married-civ-spouse,Adm-clerical,Husband,Black,Male,-0.23182906,-0.39572707,41.534134,United-States,<=50K
