Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.363134,71.329636,0.22122027,9.000429,14.971994,522.4274,0.0023395715,0.01716095,0.41183493,0.00029974678,Mar,2,2,6,2,New_Visitor,True,False
1.7516056,55.852474,0.19737478,6.339079,18.503618,781.49615,0.0051458883,0.02892167,0.9885971,-0.00024896985,Nov,2,2,9,2,Returning_Visitor,False,False
0.84954154,23.860348,0.07439343,1.5053958,20.149221,674.6581,0.015407556,0.043301992,0.6767089,0.22614713,May,2,2,1,3,Returning_Visitor,False,False
0.17537105,3.1975474,0.048386134,-1.438677,7.0151772,211.81001,0.05415219,0.1080559,0.34947702,0.0061248043,May,1,1,1,3,Returning_Visitor,False,False
1.6767378,50.627655,0.18439637,8.185091,23.793373,853.9531,0.0057904604,0.025157781,0.7813365,-0.0018830834,Dec,2,2,3,2,Returning_Visitor,False,False
1.095752,26.943394,0.11913843,2.5001392,17.279621,671.41626,0.008135338,0.03581098,0.28105184,0.00070267793,Mar,2,2,1,1,Returning_Visitor,False,False
4.3478956,129.62221,3.2674172,186.39052,31.21293,1221.0468,0.0050778366,0.021125115,5.804625,0.0061556683,May,2,2,1,2,Returning_Visitor,False,False
1.3721675,51.221546,0.19658269,3.7701683,20.895203,688.86145,0.0108386455,0.030595528,0.75209826,0.008778832,May,1,1,3,2,Returning_Visitor,True,False
0.43195212,17.663025,0.09501407,1.5230426,17.921572,633.05615,0.009763076,0.03905446,0.16723223,0.25240806,May,2,2,3,1,Returning_Visitor,False,False
2.054328,60.057903,0.09952519,2.910061,17.30383,595.4162,0.0012477596,0.017092016,0.22260638,-0.0014475895,Dec,2,2,1,2,New_Visitor,False,False
0.19417536,1.521728,-0.0007650178,-1.2131673,5.5334573,107.10335,0.12319439,0.14760023,0.09478208,0.2603845,May,2,2,1,6,Returning_Visitor,False,False
1.6152452,45.931667,0.18463801,4.730486,17.772816,678.6358,0.004315791,0.02428283,0.49407265,-0.00093951944,Nov,1,1,1,2,Returning_Visitor,False,False
8.481255,427.03595,1.7555007,62.949333,91.022,3101.0742,0.008743182,0.019824361,2.5356853,-0.00102123,Nov,3,2,8,13,Returning_Visitor,False,False
1.4415181,51.048462,0.26106519,6.7629433,21.38155,770.64264,0.011370861,0.038163524,0.43276617,0.0010151329,Mar,2,2,1,1,Returning_Visitor,True,False
1.7022027,53.336678,0.22639705,3.5878258,22.297318,844.5144,0.0068926862,0.024605233,0.22895499,-0.0018771155,Nov,3,2,3,2,Returning_Visitor,True,False
1.041305,23.669342,0.09949464,0.6782817,22.62775,961.6566,0.010862355,0.038038805,0.2932975,-0.0019686904,Nov,2,2,3,1,Returning_Visitor,False,False
4.493176,136.45497,4.0003715,328.8011,41.31462,1566.8114,0.009351588,0.023307037,4.773479,0.0026955742,Nov,3,2,3,2,Returning_Visitor,True,False
1.505766,44.800312,0.10770152,3.0221825,29.736187,1151.7086,0.009195295,0.032103647,1.9232411,-0.001920977,Dec,2,2,3,1,Returning_Visitor,False,False
1.0092454,30.869022,0.22393493,5.5075607,17.63082,712.6186,0.016496716,0.044931967,0.96684045,-0.0017599327,Dec,1,1,3,1,Returning_Visitor,False,False
5.766758,180.94946,9.74587,679.0751,93.78771,4538.2534,0.0058848388,0.01936743,4.7068243,0.009263943,May,2,2,1,2,Returning_Visitor,False,False
0.03706015,0.4307246,0.04115612,-0.79497343,5.5108323,127.10359,0.13615285,0.15819561,0.06164714,0.34409446,May,2,2,1,3,Returning_Visitor,False,False
1.3823429,36.652542,0.14704897,1.8602046,27.9783,1032.7911,0.012629119,0.0351809,2.4389136,-0.0016794069,Nov,2,2,1,1,Returning_Visitor,False,False
0.89145577,22.386665,0.055049695,0.57996935,14.971777,544.2714,0.0043445597,0.03321912,0.10085174,0.005372247,Mar,2,2,3,3,Returning_Visitor,False,False
9.762045,320.79343,4.164802,307.10635,160.35149,6582.118,0.0072586355,0.019175477,5.8084464,0.0032313417,Nov,2,2,1,2,Returning_Visitor,False,False
1.2852393,45.840527,0.1453396,3.4402752,20.090445,718.80414,0.0100103775,0.034785982,0.15622349,0.009153328,May,2,2,3,11,Returning_Visitor,False,False
4.4831567,142.88489,3.9728801,273.502,40.933125,1594.5199,0.0072998046,0.021201037,7.069974,0.002382769,May,2,2,6,2,Returning_Visitor,False,False
0.037107356,-0.05575613,-0.0016082149,-1.3149129,3.4062524,93.64998,0.175934,0.18486416,0.12600489,0.0038147334,Dec,3,2,3,1,Returning_Visitor,True,False
0.6729697,12.948081,0.058627494,2.9708748,19.235134,599.9696,0.012905698,0.04654773,0.19058914,0.1545952,May,2,2,3,3,Returning_Visitor,False,False
0.020062812,-0.527886,0.0006041009,-0.935751,2.1514916,45.753246,0.19437696,0.19619705,0.049241744,0.0012360947,Nov,2,2,6,1,Returning_Visitor,False,False
