Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.019724734,2.1891932,-0.01343175,1.6863688,3.0307355,85.65413,0.17857371,0.18012585,-0.08578519,0.0034365605,Mar,2,2,1,1,Returning_Visitor,False,False
1.3567446,37.921604,-0.02846416,9.207575,22.12359,708.0854,0.015340558,0.03799885,1.0721347,0.0035624753,Jul,3,2,1,1,Returning_Visitor,False,False
5.3333764,270.04614,4.873201,1644.9092,103.7144,6619.331,0.008864073,0.026737113,5.4965897,0.004683508,Sep,2,2,1,2,Returning_Visitor,False,False
1.3580784,47.63569,-0.028060459,10.499136,15.613838,572.6413,0.016370377,0.043187585,1.2619774,0.0036080058,Dec,2,10,1,1,Returning_Visitor,False,False
1.3403138,37.816097,-0.0290946,8.885906,24.414404,861.5442,0.0087872185,0.032247826,1.156872,0.005154463,Mar,2,2,4,2,Returning_Visitor,False,False
1.4931482,44.68888,-0.026547454,6.610859,25.016052,886.2428,0.010307076,0.03336616,1.3812649,0.0036309275,Mar,2,2,3,2,Returning_Visitor,False,False
2.0344405,58.78222,-0.021513961,14.838934,18.670317,615.7758,0.0069123185,0.024843538,1.1785977,0.0011272641,Nov,2,2,1,8,Returning_Visitor,False,False
2.2569897,64.49949,-0.01901456,13.7867775,25.929237,790.49713,0.011074428,0.032363188,1.5143878,0.010076883,Oct,2,2,1,1,Returning_Visitor,False,False
1.6605535,56.18825,-0.023927115,10.10466,20.830473,658.7036,0.008065617,0.02794661,0.6997258,0.0013564812,Nov,1,1,1,2,Returning_Visitor,False,False
1.0559081,28.536057,-0.02967354,9.79707,21.307337,800.18286,0.008203594,0.03401332,0.8444783,0.0026970047,Mar,2,2,1,1,Returning_Visitor,False,False
2.3598301,67.16203,-0.02978959,11.708851,17.20894,521.05835,0.00096639956,0.017581068,0.4801714,0.0022368345,Nov,2,2,1,2,New_Visitor,False,False
6.7132254,200.14767,1.3418986,72.98558,119.289116,4524.949,0.0065866313,0.019817887,3.9139175,0.008924893,Nov,2,2,1,2,Returning_Visitor,False,False
1.3856857,39.98929,-0.028554581,7.909992,29.631033,990.24774,0.009520189,0.03113628,1.1255991,0.0012477139,Nov,2,2,1,2,Returning_Visitor,False,False
1.7348397,52.179512,-0.01618769,14.208273,28.369738,983.75226,0.008763904,0.029127922,1.4207814,0.002074438,Mar,2,2,1,2,Returning_Visitor,True,False
5.2199054,146.68794,4.4314294,466.29605,66.814896,2656.7258,0.0074054454,0.021065222,6.107675,0.0052010627,Nov,2,2,1,2,Returning_Visitor,False,False
3.9019957,110.03061,0.29545546,28.539278,40.775158,1403.7167,0.0065382267,0.018993221,64.03198,0.0029614742,Nov,2,2,1,2,Returning_Visitor,False,False
1.6736006,56.96801,-0.02241119,9.949572,21.278456,712.1237,0.008924391,0.029396039,1.5007932,0.0045590983,Mar,1,1,1,1,Returning_Visitor,False,False
1.107208,40.26276,-0.02589389,9.056824,26.234015,846.5072,0.013499614,0.039225902,2.0431204,0.01791331,Mar,2,6,1,2,Returning_Visitor,False,False
7.1978283,1011.3508,0.7670304,56.46349,39.1018,2002.7642,0.0075099072,0.020500597,4.902577,0.003292157,Mar,2,2,1,2,Returning_Visitor,False,False
0.68027663,18.265362,-0.028011166,9.246788,23.25089,664.7611,0.024612905,0.054693148,0.55729645,0.6686755,May,2,2,1,2,Returning_Visitor,False,False
2.9577966,91.3038,0.39719942,32.496742,47.733154,1676.8192,0.006292704,0.021391455,11.502217,0.0027758952,Nov,2,2,1,1,Returning_Visitor,False,True
1.7672267,59.371414,0.002463766,20.14809,32.294155,1196.7622,0.0013573092,0.012324859,99.269615,0.0013187664,Nov,2,2,1,2,Returning_Visitor,False,True
6.4927926,155.68994,1.1076633,79.27395,202.9998,7251.2153,0.0044261324,0.016624656,7.6454782,0.0016385602,Nov,2,2,1,2,Returning_Visitor,False,True
2.6759977,75.76809,-0.022360168,12.054054,30.975084,1261.4539,0.0048843375,0.021238226,17.817324,0.0011322746,Nov,2,2,1,8,Returning_Visitor,False,True
7.6384864,321.56204,5.5764766,780.81006,95.57143,4587.41,0.0065571745,0.018517174,11.576689,0.0064005055,Nov,2,2,1,2,Returning_Visitor,False,True
2.0988522,68.11213,-0.022063933,21.213608,21.062227,786.8803,0.0010582075,0.012562458,33.808296,0.004713586,Sep,2,2,1,2,New_Visitor,False,True
3.0381994,105.56253,0.0757157,19.423256,41.067673,1543.8363,0.00866607,0.02249601,10.845192,0.0013836535,Nov,2,2,3,2,Returning_Visitor,False,True
2.3041587,61.599545,0.06608365,24.188337,33.852924,1162.1635,0.0069234627,0.024031084,9.871978,0.0014628606,Nov,2,2,4,2,Returning_Visitor,False,True
6.560097,220.18846,2.8697374,240.56546,40.976063,1737.3746,0.0047211195,0.017058413,13.518071,0.001374914,Mar,2,2,1,2,Returning_Visitor,False,True
1.6364357,43.179623,-0.027545713,11.973675,30.6721,1070.8157,0.00244054,0.013516785,46.579815,0.0011377247,Nov,2,2,7,2,Returning_Visitor,False,True
2.404282,80.329735,-0.027574323,5.1200085,25.643572,893.88434,0.0043014097,0.018445652,34.060024,0.011966432,May,1,1,1,2,Returning_Visitor,False,True
1.6530504,54.005875,-0.027051114,11.086496,16.892717,670.3839,0.0022276824,0.014748673,31.335625,0.0021087814,Dec,1,1,1,2,New_Visitor,False,True
2.5438633,80.74668,-0.024562858,2.426899,21.453876,1157.5051,-0.0006319847,0.01241913,75.195854,0.0005355428,Dec,8,13,9,20,Other,False,True
2.4126065,90.00206,-0.0058242898,18.568087,24.444187,927.5645,0.0016735044,0.015640726,29.91557,0.0038803692,May,2,2,1,4,Returning_Visitor,False,True
2.433018,68.62692,0.0020780344,13.963049,31.043036,1239.5334,0.0043880637,0.020907626,22.422865,0.0038687314,May,2,2,1,2,Returning_Visitor,False,True
1.7176659,44.659298,0.252065,34.63992,34.701313,1248.5428,0.009136072,0.022279864,19.945276,0.67383105,May,2,2,1,1,Returning_Visitor,False,True
3.0577784,75.22448,0.9760373,70.02272,68.62786,2453.7268,0.0041716076,0.017687967,15.549328,0.0014064187,Nov,2,2,1,2,Returning_Visitor,False,True
2.2769804,65.027115,0.25169158,25.5248,35.702488,1304.5184,0.008361732,0.023974095,10.253157,0.0012806082,Nov,1,1,1,2,Returning_Visitor,False,True
8.719556,1133.4927,0.76726896,50.33841,66.23981,3081.922,0.006190974,0.02043985,12.253021,0.0011321666,Nov,1,1,1,2,Returning_Visitor,False,True
1.6790868,50.418427,-0.025597833,12.047583,38.71268,838.7447,-9.9407844e-05,0.008018411,261.93356,0.0012653383,Nov,2,2,1,2,Returning_Visitor,False,True
