Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.7889298,49.02439,0.09904305,1.6159152,31.21663,1072.046,0.022877479,0.038685348,1.2061875,0.023167351,Dec,2,2,1,2,Returning_Visitor,False,False
1.2681599,31.046196,0.056955703,1.2061251,22.765783,700.0702,0.015375968,0.038729116,0.7334282,0.044545908,May,2,2,1,3,Returning_Visitor,False,False
2.2933943,69.13628,0.102310486,2.6181984,25.134008,866.9661,0.010795404,0.03141279,1.0157864,0.0011972102,Mar,2,2,1,1,Returning_Visitor,False,False
1.9309576,61.46182,0.13771363,3.751503,22.558893,749.96063,0.01254721,0.032379445,1.1105444,0.011249631,Feb,1,1,1,1,Returning_Visitor,False,False
5.8412395,203.6845,3.804651,474.97418,80.320244,2781.4946,0.008948799,0.02316889,3.710277,0.011296469,Dec,2,2,1,1,Returning_Visitor,False,False
-0.06443512,-0.91700035,0.00910268,0.2607364,2.8397584,60.41206,0.17896105,0.18582453,-0.1958683,0.020016892,Aug,2,2,1,1,Returning_Visitor,False,False
1.7057502,51.82022,0.102179505,2.007555,21.920406,748.2087,0.021989923,0.038760643,1.0382607,0.0062696845,Nov,2,2,9,1,Returning_Visitor,False,False
2.6266267,73.40411,0.11786205,4.4562054,18.439957,540.0509,0.0018446982,0.018324422,0.49304458,0.005538492,Feb,2,2,1,2,New_Visitor,False,False
1.6883544,47.753056,0.11774481,2.442028,27.58264,953.90027,0.014160777,0.034671485,0.860902,0.015572104,Aug,2,2,1,1,Returning_Visitor,True,False
1.3503786,52.478962,0.06835685,1.2388362,24.872313,871.89825,0.015209378,0.0380479,1.0117166,0.020887362,Aug,2,5,1,1,Returning_Visitor,False,False
3.2365305,94.59976,0.20693527,5.768982,35.030964,1215.9269,0.007567192,0.021538965,19.394728,0.018504767,May,2,2,1,3,Returning_Visitor,False,True
2.3742971,73.95266,0.11179332,1.9110125,27.029629,1056.4437,0.007146071,0.021797944,19.947756,0.003652292,Oct,2,2,1,1,Returning_Visitor,False,True
2.0061774,58.10395,0.05243037,1.1496981,23.240345,813.7693,0.0010630336,0.014348955,28.025398,0.0034183438,Nov,2,2,1,2,New_Visitor,False,True
2.943712,88.569115,0.25776094,5.497019,43.507236,1621.875,0.006823709,0.021100752,18.635553,0.004388711,Nov,2,2,1,2,Returning_Visitor,False,True
3.0536437,96.91141,0.2814351,5.9154816,37.68482,1403.6421,0.006886533,0.020830657,17.663988,0.00093062845,Nov,1,1,1,2,Returning_Visitor,False,True
5.8964515,146.00113,1.2377889,71.116234,205.50906,8287.593,0.0042432765,0.015973654,8.032614,0.001203383,Nov,2,2,1,2,Returning_Visitor,False,True
1.7102109,52.61643,0.057500012,1.2271746,18.015701,723.97095,0.003527898,0.019571755,24.117819,0.0034635204,Nov,1,1,1,2,New_Visitor,False,True
6.3127947,224.03104,3.6913812,424.6526,69.91245,2512.6145,0.00584514,0.017595986,16.170492,0.006626139,Nov,2,2,1,2,Returning_Visitor,False,True
1.8135102,64.23984,0.12487749,4.548977,31.445704,1296.3472,0.0018525139,0.013941127,60.967655,0.01076972,Nov,2,2,9,2,New_Visitor,False,True
2.8816078,79.93433,0.35123318,14.117403,39.031956,1300.6976,0.0063466015,0.022365788,21.160835,0.00878258,Aug,1,1,1,3,Returning_Visitor,False,True
