Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.1020238,17.904507,0.03172327,2.486145,15.674995,412.8119,0.031921677,0.056986406,0.39386722,0.0014612587,Jul,3,2,1,4,Returning_Visitor,False,False
2.317141,72.416885,0.22086318,9.870295,30.241934,981.9041,0.009005108,0.027342925,1.3713381,0.00036165366,Nov,3,2,1,2,Returning_Visitor,False,False
1.2739358,38.08307,0.06632102,5.956312,19.14413,605.8014,0.005110835,0.034760814,0.50890034,0.009939111,Mar,2,2,1,2,Returning_Visitor,False,False
0.69876695,9.883384,0.05055172,4.3585453,28.219044,812.07306,0.028882207,0.06129022,0.520024,0.7736277,May,2,2,1,1,Returning_Visitor,False,False
1.7317165,39.28965,0.061122425,7.956028,30.336842,798.0403,0.010656828,0.0388108,2.2700229,0.011929519,May,2,2,1,3,Returning_Visitor,False,False
2.9150589,68.86209,0.12071214,6.7011127,24.928516,700.3455,0.013431396,0.03631776,2.0407338,-0.0010539381,Aug,1,1,1,3,Returning_Visitor,False,False
1.9698752,57.13017,0.09118635,10.376007,27.180803,648.9496,0.015245991,0.034920566,1.7512777,0.00011226783,Jul,1,1,3,3,Returning_Visitor,False,False
7.7660556,234.62961,2.8980114,134.57167,256.96405,10465.466,0.004769252,0.018302606,2.1191015,0.0005110043,Nov,2,2,1,2,Returning_Visitor,False,False
3.1792188,106.45933,0.178724,14.835499,20.391508,649.8907,0.0063795517,0.021092994,1.1289585,0.0047930577,Mar,3,2,8,2,Returning_Visitor,False,False
2.4824598,61.665943,0.06996805,6.066433,23.254696,680.7762,0.0019227281,0.01794905,1.2588894,-0.0012448666,Dec,2,2,1,2,New_Visitor,False,False
2.3986287,58.237164,0.09664873,10.747448,28.770115,924.7407,0.0046482435,0.026467515,2.1083837,0.035486273,May,2,2,3,2,Returning_Visitor,False,False
1.0011156,18.430134,0.06825734,8.722412,19.03999,672.248,0.011310831,0.042984903,0.7970378,0.045720614,Mar,2,4,1,3,Returning_Visitor,False,False
2.1076362,45.378014,0.119533665,14.711584,20.575403,618.17487,0.00635153,0.027434612,1.7731726,-0.0014805285,Nov,2,2,1,8,New_Visitor,False,False
2.6387382,69.1631,0.15397148,17.130795,28.713385,818.09503,0.013129355,0.035836432,3.0912182,0.06283955,May,2,2,2,4,Returning_Visitor,False,False
1.9459577,60.56404,0.091932096,6.443243,27.068243,821.9489,0.015802843,0.036471143,2.1603796,0.0048325495,Dec,3,2,3,1,Returning_Visitor,False,False
0.046126015,-3.184319,0.0031112214,0.71882814,1.690886,15.286083,0.19112077,0.19399425,-0.11466006,0.082438305,May,1,1,1,3,Returning_Visitor,False,False
1.5948677,48.977432,0.08379475,9.876081,15.271791,544.12476,0.0137649095,0.037034966,1.2732761,0.0003701026,Mar,3,2,1,1,Returning_Visitor,False,False
2.6930203,59.481956,0.14427747,16.64508,31.501284,1048.5479,0.0056563034,0.027013343,4.796068,0.0004908691,Nov,2,2,4,2,Returning_Visitor,False,False
