model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,17.184,0.207,0.716,0.69,0.761,0.75,0.817,4e-06,original,10,5,,,,,
rf,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,19.844,0.311,0.759,0.69,0.743,0.723,0.84,8e-06,original,10,5,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,3.209,0.002,0.658,0.628,0.706,0.687,0.293,4e-06,original,10,5,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,3.106,0.006,0.694,0.704,0.79,0.796,0.84,7e-06,original,10,5,,,,,
mlp,random,0.65,0.647,0.647,0.65,0.374,0.373,0.373,0.374,5.742,1.131,0.728,0.718,0.79,0.786,0.836,1.7e-05,original,10,5,,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,2.993,0.001,0.632,0.608,0.692,0.674,0.697,2e-06,original,10,5,,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.05,0.001,0.573,0.576,0.724,0.766,0.76,8e-05,original,10,5,,,,,
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.751,0.294,0.669,0.614,0.678,0.653,0.68,6e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
rf,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,24.284,0.69,0.706,0.645,0.705,0.683,0.781,2.1e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
svc,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,3.677,0.002,0.679,0.631,0.698,0.676,0.723,2e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.66,0.006,0.752,0.755,0.823,0.824,0.863,1.1e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
mlp,k-means,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,5.903,1.177,0.773,0.72,0.775,0.76,0.853,1.3e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
naive_bayes,k-means,0.4,0.333,0.333,0.4,0.2,0.207,0.207,0.2,3.498,0.001,0.601,0.604,0.716,0.721,0.63,2e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
knn,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,8.694,0.001,0.747,0.738,0.806,0.802,0.826,2.8e-05,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.557,7.607,0.628,0.604,0.688,0.67,0.645,7e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,19.123,0.381,0.683,0.613,0.669,0.642,0.739,1.3e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
svc,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,8.078,0.002,0.766,0.735,0.795,0.785,0.859,3e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
logreg,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,4.982,0.007,0.763,0.75,0.813,0.809,0.869,1.3e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
mlp,k-means,0.45,0.4,0.4,0.45,0.292,0.292,0.292,0.292,10.661,0.056,0.78,0.751,0.809,0.801,0.87,3.2e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
naive_bayes,k-means,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,3.892,0.002,0.623,0.619,0.718,0.714,0.665,2e-06,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
knn,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,8.312,0.001,0.748,0.735,0.802,0.797,0.822,2.1e-05,latent,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0022954940795898438,0.656212329864502
xgb,k-center,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,7.139,0.028,0.546,0.528,0.705,0.773,0.699,5e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
rf,k-center,0.4,0.367,0.367,0.4,0.2,0.217,0.217,0.2,16.47,0.223,0.624,0.638,0.753,0.773,0.756,4e-06,original,10,5,2729.7552020549774,0,7.885652332925102e-07,0.0018699169158935547,0.09748220443725586
