age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
59.824917,?,181902.38,HS-grad,7.7513714,Married-civ-spouse,?,Husband,White,Male,8.237654,0.49350938,29.254505,United-States,<=50K
38.598427,Private,199859.88,HS-grad,9.473075,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,5.8268867,-0.10836594,42.14623,United-States,<=50K
35.732796,Private,239659.11,HS-grad,8.972951,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,7.957502,-0.024000093,39.78912,Mexico,<=50K
33.86691,Private,126210.984,Some-college,10.01563,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,7.5208564,-0.095434114,38.331345,United-States,<=50K
39.74567,Private,177834.84,Some-college,10.422004,Married-civ-spouse,Prof-specialty,Husband,White,Male,3884.6438,-0.011670991,40.510883,United-States,<=50K
38.85734,Private,192384.66,HS-grad,9.223023,Married-civ-spouse,Craft-repair,Husband,White,Male,4.7260566,-0.09128372,42.473465,United-States,<=50K
29.30509,Private,194958.67,HS-grad,9.401672,Never-married,Prof-specialty,Unmarried,White,Male,4.9033027,-0.06495468,37.72493,United-States,<=50K
49.108265,Private,179988.08,7th-8th,3.6091554,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,3.4843574,-0.1480922,36.56465,United-States,<=50K
28.877304,Private,188819.25,Bachelors,12.939388,Never-married,Exec-managerial,Not-in-family,White,Male,4.4363837,-0.05644791,39.39499,United-States,<=50K
36.943504,Private,197259.95,HS-grad,9.845944,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,6.305036,-0.04810898,39.539803,?,<=50K
35.016163,Local-gov,184103.64,Bachelors,13.305867,Never-married,Prof-specialty,Not-in-family,White,Male,5.4268622,-0.057332918,40.03851,United-States,<=50K
38.520782,Private,194736.33,HS-grad,9.863995,Separated,Prof-specialty,Not-in-family,White,Female,5.3007636,-0.09639542,39.26224,United-States,<=50K
