age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
24.457653,Private,193569.84,Some-college,9.606252,Never-married,Adm-clerical,Own-child,White,Female,-1.0235771,-0.3319606,31.574444,United-States,<=50K
39.046486,Private,191473.9,HS-grad,9.011507,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-3.0555596,-0.27653304,42.872253,United-States,<=50K
32.236313,Private,177269.61,Bachelors,12.777347,Never-married,Prof-specialty,Not-in-family,White,Female,-0.750872,-0.2843913,39.882553,United-States,<=50K
27.510267,Private,182532.98,Bachelors,12.524169,Never-married,Adm-clerical,Own-child,White,Male,-0.68532026,-0.26814833,37.328735,United-States,<=50K
38.734276,Private,186469.61,Some-college,10.076455,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-2.8626885,-0.33026686,45.17355,United-States,<=50K
30.088661,?,194345.55,HS-grad,9.184906,Never-married,?,Not-in-family,White,Female,-0.3863701,-0.25598708,33.306,United-States,<=50K
44.541023,Private,193546.67,HS-grad,9.967136,Divorced,Adm-clerical,Not-in-family,White,Female,-1.0757011,-0.306425,40.446735,United-States,<=50K
55.690765,Private,174054.1,HS-grad,9.254571,Widowed,Other-service,Unmarried,White,Female,-1.0716728,-0.13136856,33.91936,United-States,<=50K
41.03107,Private,183312.8,12th,5.6797047,Never-married,Machine-op-inspct,Not-in-family,White,Male,-0.41273728,-0.39854994,38.51635,United-States,<=50K
64.022766,Self-emp-not-inc,154722.12,7th-8th,4.054661,Married-civ-spouse,Transport-moving,Husband,White,Male,-4.4304376,-0.1667537,32.07189,United-States,<=50K
28.131948,Private,190030.95,Some-college,9.556929,Never-married,Sales,Not-in-family,White,Male,-1.2534355,-0.3632106,38.38563,United-States,<=50K
40.920307,Private,175919.22,HS-grad,9.810636,Divorced,Adm-clerical,Unmarried,White,Female,-0.34547654,-0.22705643,39.473507,United-States,<=50K
44.615414,Private,183087.67,HS-grad,9.391644,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-1.6423515,1856.9486,43.487072,United-States,<=50K
38.724117,Private,182328.28,Some-college,10.078469,Married-civ-spouse,Craft-repair,Husband,White,Male,-1.7363456,-0.40752974,42.176594,United-States,<=50K
45.329056,Private,195999.44,12th,5.2050953,Divorced,Other-service,Unmarried,White,Female,-1.4654716,-0.26280013,37.812904,United-States,<=50K
23.97243,Private,192868.02,HS-grad,9.360067,Never-married,Handlers-cleaners,Own-child,White,Male,-1.186541,-0.3370494,34.43348,United-States,<=50K
40.54261,Private,179408.27,HS-grad,9.002055,Married-civ-spouse,Transport-moving,Husband,White,Male,-1.3131279,-0.27999678,45.06107,United-States,<=50K
42.481396,Private,271855.12,12th,3.1182506,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-1.3144706,-0.27087203,41.95832,Mexico,<=50K
28.83615,Private,225622.97,HS-grad,9.483708,Never-married,Machine-op-inspct,Own-child,Black,Female,-0.65455854,-0.21143143,38.06138,United-States,<=50K
30.070137,Private,191480.66,Bachelors,12.745412,Never-married,Adm-clerical,Not-in-family,White,Male,-0.8213066,-0.22122757,40.85634,United-States,<=50K
19.669636,Private,186233.9,11th,6.9600086,Never-married,Other-service,Own-child,White,Male,-1.0501884,-0.34603682,23.107464,United-States,<=50K
26.191715,Private,175959.3,HS-grad,9.015543,Never-married,Other-service,Own-child,White,Female,-1.0903496,-0.31397048,32.803493,United-States,<=50K
39.06592,Private,168657.53,Assoc-voc,11.0015545,Married-civ-spouse,Craft-repair,Husband,White,Male,-0.90370405,-0.21783249,42.58736,United-States,<=50K
31.048595,Private,186968.36,HS-grad,9.134974,Never-married,Craft-repair,Not-in-family,White,Male,-0.8729423,-0.32245436,42.52442,United-States,<=50K
43.978363,Private,188592.27,11th,6.567527,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-1.184832,-0.3482341,42.58613,United-States,<=50K
42.71698,Private,167653.66,Bachelors,12.571098,Divorced,Prof-specialty,Unmarried,White,Female,-1.3198417,-0.27589217,40.20469,United-States,<=50K
63.70777,Private,168473.98,HS-grad,8.800926,Widowed,Other-service,Not-in-family,White,Female,-5.999163,-0.22490494,30.405994,United-States,<=50K
36.35006,Private,194952.95,Assoc-acdm,12.494192,Never-married,Craft-repair,Not-in-family,White,Male,-0.6550468,-0.30706587,40.621582,United-States,<=50K
25.875744,Private,185538.62,HS-grad,9.284934,Never-married,Machine-op-inspct,Own-child,White,Male,-0.9334892,-0.31033888,40.040443,United-States,<=50K
58.38,?,191405.17,HS-grad,9.6352005,Married-civ-spouse,?,Husband,White,Male,-0.62526166,-0.28554335,29.416687,United-States,<=50K
43.827656,Self-emp-not-inc,173553.34,HS-grad,9.776276,Married-civ-spouse,Craft-repair,Husband,White,Male,-1.0769218,-0.26246443,42.069763,United-States,<=50K
24.262823,Private,193209.36,Some-college,11.229101,Never-married,Prof-specialty,Own-child,White,Male,-0.9170097,-0.41035262,32.003204,United-States,<=50K
37.255272,Private,168016.45,HS-grad,10.857563,Never-married,Other-service,Husband,Asian-Pac-Islander,Male,-0.3761162,-0.37051955,38.48338,Philippines,<=50K
41.44452,Local-gov,182472.05,HS-grad,9.776054,Married-civ-spouse,Craft-repair,Husband,White,Male,-0.9923271,-0.36552992,42.278954,United-States,<=50K
41.813145,Private,189638.19,11th,6.5528073,Married-civ-spouse,Craft-repair,Husband,White,Male,-0.72767866,-0.37682906,41.3332,United-States,<=50K
42.4822,Private,174530.55,Some-college,11.11688,Married-civ-spouse,Sales,Husband,White,Male,-1.9640068,-0.36462203,46.6851,United-States,<=50K
45.65723,Self-emp-not-inc,175227.36,HS-grad,10.667698,Divorced,Machine-op-inspct,Not-in-family,White,Male,-0.26881638,-0.32111922,42.87977,United-States,<=50K
36.458096,Private,222246.17,HS-grad,9.215217,Never-married,Machine-op-inspct,Not-in-family,Black,Male,-0.8110527,-0.23754685,39.325123,United-States,<=50K
40.57559,Private,206320.55,HS-grad,9.407237,Divorced,Other-service,Unmarried,Black,Female,-0.3106865,-0.16629593,38.144196,United-States,<=50K
40.244614,Private,180820.73,Bachelors,13.428845,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.4327568,-0.38377944,44.740604,United-States,<=50K
28.848055,Private,180846.48,HS-grad,9.615855,Never-married,Other-service,Not-in-family,White,Male,-1.1424736,-0.34930983,36.524094,United-States,<=50K
39.61049,Private,190249.9,HS-grad,9.002367,Married-civ-spouse,Craft-repair,Husband,White,Male,-1.5567802,-0.3238429,41.953888,United-States,<=50K
22.51875,Private,186313.19,Some-college,10.135161,Never-married,Other-service,Own-child,White,Female,-1.3982109,-0.378477,26.510567,United-States,<=50K
38.22283,Local-gov,205609.53,HS-grad,9.838389,Never-married,Adm-clerical,Unmarried,Black,Female,-0.4229912,-0.21243088,38.361305,United-States,<=50K
64.38762,?,169364.39,HS-grad,8.571074,Widowed,?,Not-in-family,White,Female,-4.0739923,-0.21948044,23.740313,United-States,<=50K
21.2629,?,189465.67,Some-college,9.183669,Never-married,?,Own-child,White,Male,-0.64259565,-0.31552687,31.832014,United-States,<=50K
40.60476,Private,188947.86,HS-grad,9.406861,Married-civ-spouse,Adm-clerical,Husband,White,Male,-1.441912,-0.33485213,40.17669,United-States,<=50K
