age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
38.57317,Private,167303.0,Bachelors,9.813057,Married-civ-spouse,Craft-repair,Wife,White,Female,2.2813544,-0.081701204,35.87742,United-States,<=50K
38.76188,Private,153077.83,HS-grad,8.783006,Married-civ-spouse,Transport-moving,Husband,White,Male,2.5191474,-0.10141556,52.980778,United-States,<=50K
26.29384,Private,169991.14,HS-grad,8.884311,Never-married,Other-service,Own-child,White,Female,3.910993,-0.19318955,36.12015,United-States,<=50K
40.9665,Private,144700.34,Some-college,11.065443,Married-civ-spouse,Sales,Husband,White,Male,2.5710273,-0.10052292,50.267334,United-States,<=50K
29.716854,Private,181790.77,Bachelors,12.821982,Never-married,Adm-clerical,Not-in-family,White,Male,2.5232978,-0.09334366,38.339314,United-States,<=50K
26.663248,Private,351907.88,HS-grad,8.6662445,Never-married,Craft-repair,Not-in-family,White,Male,2.0760322,-0.13805954,38.885094,United-States,<=50K
33.17756,Private,185587.12,Bachelors,13.165839,Never-married,Prof-specialty,Not-in-family,White,Male,2.1441474,-0.13725083,40.64421,United-States,<=50K
42.860344,Private,192586.38,Bachelors,8.922167,Separated,Exec-managerial,Unmarried,White,Female,1.6182686,-0.15267746,39.098217,United-States,<=50K
45.057613,Private,168352.8,HS-grad,8.762646,Divorced,Other-service,Not-in-family,White,Female,2.285871,-0.15746109,37.082954,United-States,<=50K
27.383625,Private,151605.3,Some-college,9.583156,Never-married,Craft-repair,Not-in-family,White,Male,1.9837471,-0.083196566,43.04917,United-States,<=50K
28.98581,Private,147236.98,HS-grad,8.779869,Never-married,Craft-repair,Not-in-family,White,Male,2.131452,-0.10922806,42.8757,United-States,<=50K
35.57941,Private,600220.2,Bachelors,9.641131,Never-married,Craft-repair,Unmarried,White,Male,2.5032783,-0.15800278,39.575504,United-States,<=50K
42.86448,Private,173143.34,Some-college,10.554962,Divorced,Craft-repair,Not-in-family,White,Female,3.1249824,-0.11552231,40.787975,United-States,<=50K
60.16148,Private,165408.42,HS-grad,9.138943,Married-civ-spouse,Exec-managerial,Husband,White,Male,3.011579,-0.15141098,33.797123,United-States,<=50K
39.411583,Private,149923.1,Some-college,10.368523,Married-civ-spouse,Craft-repair,Husband,White,Male,3.0320868,-0.11037247,43.151665,United-States,<=50K
35.989296,Private,267452.75,Bachelors,3.7251003,Married-civ-spouse,Craft-repair,Unmarried,White,Male,1.7568184,-0.036703035,40.226185,Mexico,<=50K
30.453539,Private,177675.34,HS-grad,8.689564,Never-married,Sales,Not-in-family,Black,Male,2.070661,-0.12104599,38.540825,United-States,<=50K
24.088356,?,189199.12,Bachelors,9.293295,Never-married,?,Own-child,White,Male,2.9202704,-0.14385025,32.80678,United-States,<=50K
49.991577,Private,175810.5,Bachelors,4.693119,Married-civ-spouse,Craft-repair,Husband,White,Male,2.3598456,-0.048650667,40.249947,United-States,<=50K
57.73853,Self-emp-not-inc,168055.58,HS-grad,9.652816,Married-civ-spouse,Sales,Husband,White,Male,3.6429267,-0.12425797,33.627323,United-States,<=50K
35.18831,Private,163154.8,HS-grad,8.836597,Married-civ-spouse,Craft-repair,Husband,White,Male,2.384748,-0.12838547,42.334377,United-States,<=50K
28.144186,Private,195118.7,Bachelors,10.224973,Never-married,Exec-managerial,Not-in-family,White,Male,1.2850167,1751.4891,38.15674,United-States,<=50K
26.53035,Private,199249.6,Bachelors,8.876948,Never-married,Sales,Other-relative,White,Male,1.4371163,-0.09708969,36.280804,United-States,<=50K
41.04748,Private,173871.95,Masters,14.002912,Never-married,Prof-specialty,Not-in-family,White,Female,2.5939765,-0.146017,41.587852,United-States,<=50K
41.1078,Private,166581.38,Bachelors,13.441121,Married-civ-spouse,Prof-specialty,Husband,White,Male,2.5286689,-0.122259066,43.97022,United-States,<=50K
31.893385,Private,174555.6,Bachelors,12.958579,Never-married,Exec-managerial,Not-in-family,White,Male,2.0586982,-0.11073105,42.872536,United-States,<=50K
36.261395,Local-gov,170230.23,Bachelors,12.990623,Never-married,Prof-specialty,Not-in-family,White,Female,2.4620185,-0.14354508,41.225475,United-States,<=50K
42.14949,Private,178965.88,HS-grad,8.87048,Divorced,Craft-repair,Not-in-family,White,Male,2.2092109,-0.119878694,41.722225,United-States,<=50K
20.83828,Private,178713.14,Some-college,9.060451,Never-married,Handlers-cleaners,Own-child,White,Male,1.5449044,-0.09483139,18.021915,United-States,<=50K
30.410566,Private,178588.03,Some-college,10.043316,Never-married,Adm-clerical,Not-in-family,White,Female,2.5451484,-0.09876816,39.29277,United-States,<=50K
26.120613,Private,360511.44,Some-college,10.094911,Never-married,Sales,Not-in-family,White,Male,2.1159492,-0.11213486,36.296757,United-States,<=50K
61.535694,Private,170629.25,Bachelors,8.719648,Widowed,Craft-repair,Not-in-family,White,Female,2.3774238,-0.11561386,31.625216,United-States,<=50K
61.797653,?,177304.16,Bachelors,8.645385,Married-civ-spouse,?,Own-child,White,Male,3.6388984,-0.2093486,27.378761,United-States,<=50K
19.87384,Private,166318.06,Some-college,8.383614,Never-married,Other-service,Own-child,White,Female,1.9891182,-0.116346285,19.33291,United-States,<=50K
47.319187,Private,168537.73,Bachelors,10.576377,Divorced,Craft-repair,Not-in-family,White,Male,1.4073311,1738.7904,40.94604,United-States,<=50K
27.633162,Private,143536.27,Some-college,9.742561,Never-married,Other-service,Not-in-family,White,Female,2.2038398,-0.123006746,38.816296,United-States,<=50K
31.452381,Private,171361.27,HS-grad,8.896354,Never-married,Adm-clerical,Not-in-family,White,Female,1.9648262,-0.1628093,37.9171,United-States,<=50K
37.486362,Private,381474.25,Bachelors,9.583082,Married-civ-spouse,Craft-repair,Husband,White,Male,2.74571,-0.12855332,42.52129,United-States,<=50K
38.471375,Local-gov,194662.58,Bachelors,9.692272,Married-civ-spouse,Protective-serv,Husband,White,Male,1.9804512,-0.082563326,41.560066,United-States,<=50K
44.29951,Private,187711.92,Bachelors,9.301886,Married-civ-spouse,Craft-repair,Husband,White,Male,0.7927071,1845.9875,43.25099,United-States,<=50K
31.242126,Private,158073.36,Bachelors,11.0834255,Married-AF-spouse,Exec-managerial,Wife,White,Female,2.8799872,-0.09081833,43.809483,United-States,>50K
42.646374,Private,156429.23,Bachelors,12.967994,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.4595772,-0.12145035,43.53021,United-States,>50K
41.399162,Private,163184.7,Bachelors,10.068391,Married-civ-spouse,Sales,Husband,White,Male,2.2270331,-0.14748947,83.69401,United-States,>50K
43.133984,Private,176261.38,Bachelors,11.678982,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,99977.836,-0.10305588,43.454693,United-States,>50K
47.386593,Federal-gov,175932.34,Bachelors,10.052799,Married-civ-spouse,Craft-repair,Husband,White,Male,2.2170234,-0.12286942,41.37277,United-States,>50K
46.14657,Private,168286.47,HS-grad,8.563523,Married-civ-spouse,Sales,Husband,White,Male,1.6334053,-0.10899918,46.22259,United-States,>50K
42.838535,Private,195317.1,Bachelors,11.945777,Never-married,Exec-managerial,Not-in-family,White,Male,12634.157,-0.085859224,45.083508,United-States,>50K
45.498238,Private,187612.4,Some-college,11.821475,Married-civ-spouse,Sales,Husband,White,Male,8320.168,-0.07719223,46.50694,United-States,>50K
44.711452,Private,187252.34,Bachelors,12.57965,Married-civ-spouse,Exec-managerial,Husband,White,Male,9633.668,-0.098318025,48.245476,United-States,>50K
43.093487,Private,404894.72,Bachelors,13.113471,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.9000069,-0.1585521,46.267067,United-States,>50K
41.24326,Private,189168.25,Bachelors,11.892513,Never-married,Exec-managerial,Not-in-family,White,Male,1.4959542,-0.124265596,45.678818,United-States,>50K
46.456158,Private,167688.02,Masters,14.003133,Married-civ-spouse,Prof-specialty,Husband,White,Male,2.3279853,-0.14288895,42.982994,United-States,>50K
44.395153,Private,181336.52,Bachelors,11.332978,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.3733956,2002.7427,47.484154,United-States,>50K
43.398975,Private,159344.08,Bachelors,11.844993,Married-civ-spouse,Sales,Husband,White,Male,2.386335,-0.11573593,47.098106,United-States,>50K
44.906338,Private,169837.0,Masters,13.276753,Married-civ-spouse,Prof-specialty,Wife,White,Female,1.5958077,-0.13145249,39.45278,United-States,>50K
41.842365,Private,401102.22,Some-college,9.554974,Married-civ-spouse,Craft-repair,Husband,White,Male,2.4841132,-0.13149826,44.402992,United-States,>50K
48.36203,Private,189729.69,Prof-school,15.267208,Married-civ-spouse,Prof-specialty,Husband,White,Male,100016.875,-0.18429367,54.2735,United-States,>50K
45.559414,Private,177309.78,Masters,14.003319,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.9820381,-0.1432933,48.21295,United-States,>50K
45.66506,Self-emp-not-inc,176185.47,Prof-school,15.191288,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.811628,-0.16290085,44.149666,United-States,>50K
42.45729,Private,177192.17,Bachelors,11.315393,Married-civ-spouse,Prof-specialty,Wife,White,Female,8612.166,-0.063039705,38.349586,United-States,>50K
45.473095,Private,165885.11,HS-grad,8.806567,Married-civ-spouse,Craft-repair,Husband,White,Male,1.4573799,-0.15260117,43.748234,United-States,>50K
44.446594,Private,204587.78,Doctorate,15.237591,Never-married,Prof-specialty,Not-in-family,White,Male,2.908918,-0.16485398,49.508785,United-States,>50K
39.004944,Private,173702.56,Bachelors,11.543655,Married-civ-spouse,Exec-managerial,Wife,White,Female,1.1132637,-0.10672562,35.866558,United-States,>50K
43.998688,Private,155175.53,Bachelors,12.01505,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.5092598,-0.13180344,46.802734,United-States,>50K
43.537926,Private,185965.88,Bachelors,10.823829,Married-civ-spouse,Craft-repair,Husband,White,Male,1.0820137,1934.3168,44.821762,United-States,>50K
42.72386,Private,164915.95,Some-college,9.933167,Married-civ-spouse,Craft-repair,Husband,White,Male,2.259748,-0.11675827,42.93391,United-States,>50K
42.477554,Private,195493.88,Bachelors,10.035269,Married-civ-spouse,Adm-clerical,Wife,White,Female,1.4977852,-0.09094803,37.561867,United-States,>50K
47.89971,Private,202172.39,Prof-school,15.430493,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.9285713,2097.9978,49.875885,United-States,>50K
46.249462,Private,176316.17,HS-grad,8.53741,Married-civ-spouse,Craft-repair,Husband,White,Male,6689.312,-0.09763138,43.25033,United-States,>50K
43.63602,Private,176886.61,Some-college,10.858271,Married-civ-spouse,Protective-serv,Husband,White,Male,1.9604317,-0.08412735,43.605213,United-States,>50K
46.474438,Private,182798.14,HS-grad,8.4892025,Married-civ-spouse,Sales,Husband,White,Male,6819.4023,-0.08400528,45.861546,United-States,>50K
46.398777,Private,184992.45,Bachelors,11.751811,Married-civ-spouse,Exec-managerial,Husband,White,Male,100013.7,-0.13752548,50.766205,United-States,>50K
44.691887,Private,185517.81,Doctorate,15.512658,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.2083565,-0.1643428,50.012543,United-States,>50K
49.50828,Self-emp-inc,178632.53,Doctorate,15.545157,Married-civ-spouse,Prof-specialty,Husband,White,Male,2.1927314,-0.22234909,44.912663,United-States,>50K
42.679447,Private,152720.75,Bachelors,12.362111,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,3.039289,-0.10233109,43.337265,United-States,>50K
49.067425,Self-emp-inc,187059.94,Bachelors,12.037684,Married-civ-spouse,Exec-managerial,Husband,White,Male,10198.678,-0.14052384,47.22919,United-States,>50K
45.515884,Private,177530.83,Some-college,11.993026,Married-civ-spouse,Prof-specialty,Husband,White,Male,7988.702,-0.08505814,43.18079,United-States,>50K
45.783165,Private,180096.7,Bachelors,11.520883,Divorced,Exec-managerial,Not-in-family,White,Male,1.905378,-0.1253032,46.526665,United-States,>50K
49.617413,Private,183736.39,Prof-school,15.364648,Married-civ-spouse,Prof-specialty,Husband,White,Male,13689.385,-0.14745133,47.591763,United-States,>50K
44.13299,Private,196342.28,Masters,14.006142,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.8818184,2011.7827,45.73633,United-States,>50K
