X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
19959.207,1,2,2,24.940462,2,2,3,3,3,3,1102.9532,727.9791,440.16165,775.5972,1429.7148,981.30005,176.44022,-454.54398,-268.52435,53.60206,48.13996,106.401825,0
241679.39,1,3,1,41.992977,2,2,2,2,2,2,258811.7,257309.06,244433.17,244466.72,209094.19,196171.42,10897.145,-614.39844,12021.933,14308.002,62.37043,6880.337,0
279752.56,1,2,1,40.969902,2,2,2,2,2,3,134952.78,137958.38,135203.61,143942.83,151597.9,149971.22,6597.1543,-399.79642,14081.583,14733.865,34.363106,5166.572,0
20139.645,1,2,2,24.970978,2,2,2,2,2,2,414.70322,236.48303,455.78665,1093.1637,1334.8281,195.16722,124.69803,-308.53323,810.4107,88.39161,42.814766,127.59128,0
20058.41,1,2,2,25.901184,2,2,2,2,2,3,36389.03,31486.62,29532.775,25954.29,29109.316,24794.098,182.48221,2295.7249,-197.59123,6424.346,17.84797,93.9653,0
11876.738,2,3,1,52.057487,2,2,2,2,2,2,3473.2773,4516.53,4746.474,4740.7026,4457.8594,4886.214,1198.2952,-428.2476,346.8023,116.00733,388.79327,75.55661,0
19836.02,1,2,1,37.898388,2,2,2,2,2,2,6332.922,8818.315,8917.916,8620.699,9441.361,9204.765,2453.3767,-301.29446,872.17584,432.84863,24.836739,460.57565,0
28455.91,1,2,1,42.93822,3,2,2,2,2,2,1174.9572,2527.8699,2717.31,2562.4722,2063.1758,2757.6594,1269.4382,-260.04984,71.35798,61.967293,450.52374,32.33737,0
49390.887,1,3,1,52.107906,2,2,2,2,4,3,36715.547,36918.504,37795.19,42577.96,40895.92,41282.047,2132.5142,1483.5713,3933.2334,54.70948,1346.2164,934.1743,0
60168.574,2,3,1,33.837708,2,2,2,4,3,3,6857.117,7624.3384,9235.232,8477.094,10014.293,8960.606,1287.3054,1187.5674,-160.78215,682.69385,35.52961,68.927704,0
349393.0,2,1,1,32.927303,0,-1,-1,-1,-1,-1,81982.164,67560.39,18026.809,17536.14,31441.473,31629.164,69611.22,17534.598,17725.621,30119.281,31091.697,88468.33,1
269864.25,2,2,2,25.91891,0,-1,0,0,-1,-1,33481.4,52769.105,67696.945,68504.23,18510.418,26931.477,52673.71,27627.893,10124.408,17627.018,26121.82,16950.916,1
362656.44,2,1,1,34.986095,-2,-1,0,-1,-1,-1,93044.234,33910.652,104225.086,73917.0,8459.176,32572.834,45699.293,100159.07,73102.45,7865.301,31823.182,12533.7,1
260768.47,1,6,1,47.970406,0,0,0,0,0,0,135709.58,65071.164,59535.918,52607.02,52175.18,43406.797,19340.988,18535.299,18521.213,20059.318,17848.55,119951.234,1
359383.0,2,2,1,34.95567,0,-1,-1,-1,-1,-1,104594.59,24612.281,11113.283,21594.611,23322.852,9539.435,25012.217,10384.319,21536.223,21555.639,9118.606,22103.445,1
489900.53,1,1,1,41.939163,-2,-2,-2,-2,-1,0,34665.625,7951.3657,12967.611,17417.158,287185.06,287523.38,6921.4595,12990.281,16930.303,290930.1,9753.765,11967.231,1
498520.2,1,1,2,36.044754,-2,-2,-2,-2,-2,-2,44008.184,80886.92,17843.824,26912.578,22745.344,28723.03,82051.24,18307.791,27476.768,20935.875,28295.672,17408.979,1
680170.6,2,1,2,29.99335,0,0,-1,-1,-1,0,39216.176,-504.54822,9398.146,24669.467,8068.0645,166954.36,176.65555,10148.181,25284.312,7400.235,163407.9,7355.2437,1
340058.7,1,1,1,52.08631,-2,-2,-2,-2,-2,-2,31035.32,32874.55,34288.895,30254.49,10783.154,33797.426,33818.156,34842.625,29853.414,10446.512,33831.727,30018.326,1
200373.42,2,1,1,33.866444,-2,-2,-2,-2,-1,0,11386.34,25648.07,34787.84,-20745.758,38898.42,31586.064,14402.266,73517.67,495.16803,123681.305,14139.521,8641.22,1
