X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
158638.45,1,2,2,32.400085,0,0,0,0,0,0,87795.56,84785.766,84057.01,74268.47,67431.82,62604.152,5158.9,4598.3315,3712.9143,4473.2217,3411.3655,3366.5334,0
204420.39,2,1,1,40.27804,-1,-1,-1,-1,-1,-1,5519.324,4774.897,4166.275,2610.5425,3478.9453,2790.9836,3974.0117,3449.8196,2473.6675,3422.7043,2558.9336,2899.842,0
64403.84,2,3,1,44.810066,0,0,0,0,0,0,40075.434,36653.5,32910.44,30541.658,27438.352,25147.035,2526.019,2406.3667,2071.2563,2100.403,1437.5665,1522.6082,0
254879.58,1,1,1,42.56109,-2,-2,-2,-2,-2,-2,5991.9297,5054.2524,2506.7046,3859.2964,2671.0586,2429.9524,3923.5828,3003.6616,2912.205,3111.3123,1782.0509,3089.4282,0
148818.86,2,2,2,33.320713,2,2,2,2,2,0,116554.02,116653.34,117452.805,114233.984,108779.96,107224.94,5705.818,4175.5293,3695.7659,4242.136,3996.9487,3863.4841,0
264732.44,2,2,1,40.08699,0,0,0,0,0,0,203009.66,195910.27,190464.67,177263.4,161533.25,152673.75,8657.149,7889.1255,7866.6797,7376.1304,6299.1855,6826.236,0
393707.3,2,1,1,37.509502,-1,-1,0,0,0,-1,62555.484,95395.75,116991.2,112451.516,80808.164,76471.28,99860.02,64780.938,40947.656,31462.19,59953.6,58825.266,0
361853.6,2,1,1,37.23757,-1,-1,-1,-1,0,-1,38660.64,19198.377,45406.613,57589.77,47454.113,70669.85,10607.328,6120.433,40284.46,29912.473,64323.85,48379.535,0
57187.746,2,2,2,29.950161,0,0,0,2,2,2,27914.684,29753.715,27501.445,28991.434,29603.291,28460.465,2930.483,2616.7522,1257.9623,1495.3923,1202.3634,1366.7927,0
82864.086,2,2,2,28.495773,0,0,0,0,0,0,33448.508,31458.834,27487.984,26392.973,23923.512,22196.088,2759.4941,2659.9065,2134.7163,2135.5127,1639.8234,1701.8345,0
