X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
70494.63,1,2,1,32.41726,1,0,-2,3,2,2,35187.17,33086.7,35848.637,33203.195,31379.463,31173.678,2694.7463,2216.968,832.4273,1681.7178,2135.5962,2324.2356,0
226455.1,2,1,1,39.906693,-1,-1,-1,-1,-1,-1,6162.086,5039.811,5312.8022,3951.687,3669.1992,4111.3545,4306.0,4462.703,3695.0234,3082.6418,3311.5515,3170.763,0
302334.4,2,1,1,37.944626,-1,-1,-1,-1,-1,-1,21798.197,57172.363,36743.69,32639.611,29296.787,22017.625,55860.66,25969.906,20203.764,12971.081,11799.183,12784.909,0
79203.984,2,2,1,32.982746,0,0,0,0,2,2,35660.246,35448.52,36377.035,35232.855,33307.574,33620.35,3347.9702,2937.7373,2905.5232,1069.4436,1881.8793,1721.825,0
167309.47,2,1,2,28.46486,0,0,0,0,0,0,40736.008,38332.344,36619.15,34374.57,31400.217,30051.734,3211.445,3218.9258,2797.9907,2586.2935,2740.5535,2781.8496,0
231262.78,2,1,2,32.78163,-2,-2,-2,-2,-2,-2,5239.2695,4979.303,4708.4976,4755.6323,3191.7188,5201.292,2945.8137,2987.0234,3298.5176,2129.1655,3527.8196,2962.9814,0
189749.0,2,2,1,35.248436,-1,-1,-2,-2,-2,-2,7038.258,2567.0105,1688.2319,886.3746,1285.1953,2069.4211,540.4002,479.33493,495.57672,751.6577,1194.369,1547.687,0
86362.055,2,2,2,29.733835,0,0,0,2,0,0,22111.695,19276.832,18774.045,21181.16,19587.047,18272.541,2724.9448,6006.017,7869.4688,1935.8752,1984.2455,2187.177,0
269332.28,2,2,1,35.50466,-1,-1,-1,0,0,0,12687.395,7191.2095,73816.04,47912.66,37675.117,33587.484,7128.3936,77096.92,7318.39,5116.2944,6329.111,7089.181,0
180931.83,2,1,2,32.658756,1,-2,-2,-2,-2,-2,4.804793,172.51819,-97.850075,144.10504,1009.5821,2924.5657,259.23856,293.11325,82.09333,933.06885,1800.1154,888.5249,0
194168.94,2,1,2,31.309206,-1,-1,-1,-1,-1,-1,4191.5195,3322.491,3578.349,3999.6753,3098.8555,3495.9875,3295.9226,3374.1694,3750.3408,2636.7168,3028.3945,2826.0396,0
250836.64,2,2,1,40.1321,-2,-2,-2,-2,-2,-2,4712.5547,3542.3152,3644.939,3454.0386,2727.3945,3051.7258,3109.6172,3218.4075,3201.9973,2279.8,2465.126,3328.2102,0
234527.58,2,1,1,39.000572,-1,-1,-1,0,0,-1,5032.8516,4281.526,6998.279,10152.152,7957.1484,7504.3037,3681.0562,5751.3896,6513.4673,2243.872,3325.3718,3037.2058,0
239952.88,2,2,2,34.041805,0,0,0,0,0,2,138440.5,130661.0,106267.984,80813.06,70422.93,65296.977,8401.896,6881.754,5645.0605,5437.8765,3642.093,4881.0464,0
317808.7,2,1,1,35.813736,-2,-1,0,0,-1,-1,20444.625,14622.815,22132.764,29743.123,20627.688,12590.952,10902.137,14429.705,16896.213,7576.114,8225.572,146600.06,0
241289.78,2,2,1,34.39327,0,0,0,0,0,-1,101079.086,98032.35,75297.47,62862.46,33602.453,121578.08,6127.0464,5006.4844,7845.757,4631.132,114734.65,5560.2544,0
77205.12,2,3,1,42.40121,0,0,0,0,0,0,45695.668,43876.246,41614.664,35923.96,31704.525,30416.73,2585.775,2885.7698,2122.8796,1710.2366,1828.4039,1756.9478,0
338308.94,1,2,1,35.682266,0,0,0,0,0,0,238765.12,223446.03,199951.2,188360.06,147038.48,78077.93,13588.923,17337.043,13336.491,10464.013,6548.1333,223740.34,0
179491.67,2,2,1,39.028324,0,0,0,0,0,0,34834.383,33263.867,32460.82,30558.447,28890.422,26943.23,4261.325,3810.8662,3520.7722,2680.2861,2722.4316,2997.6594,0
81686.48,2,3,2,35.254074,0,0,0,0,0,0,45202.027,44024.734,40895.04,35459.09,31404.504,30454.906,2854.5679,2883.37,2389.3953,1872.0322,2090.1191,2273.9673,0
223739.34,2,2,1,35.695053,1,2,0,0,0,0,170201.44,167466.62,158338.38,152814.84,138214.3,134240.98,4496.6304,6831.192,6252.616,5291.5483,6537.0024,5983.801,0
88577.875,2,2,1,33.65131,1,2,2,2,2,2,45608.77,49296.9,50465.74,50348.23,47837.043,48366.188,2595.651,2744.711,2708.8364,1785.3215,2161.569,1858.8389,0
222952.58,2,1,2,31.87368,0,0,0,0,0,0,142286.03,139365.98,131053.39,124556.89,114787.76,107001.375,6661.1377,6482.392,5484.219,5008.7856,5041.524,5005.7935,0
228763.25,2,1,1,40.46893,0,0,0,0,0,0,128582.625,124177.6,115953.8,109789.42,99392.77,91240.49,5758.0522,5571.41,4896.661,4259.876,4412.143,4497.54,0
328310.97,2,1,1,35.689766,0,0,0,0,0,0,104326.53,103916.516,90161.52,93718.69,99579.13,82529.945,16960.701,12708.698,21598.164,35760.277,13606.608,14515.241,0
302818.12,2,2,1,40.008877,0,0,0,0,0,0,231169.9,225492.55,213495.56,209871.58,186675.95,178416.4,10126.269,9688.717,10746.713,7358.0854,7442.105,7847.225,0
236031.95,2,2,2,32.446312,0,0,0,0,0,0,50624.887,134368.14,107180.29,94965.016,79394.96,69463.7,102701.99,7288.9854,7157.842,5046.892,6130.122,6884.4414,0
456748.6,2,1,1,39.82305,0,0,0,0,0,0,393375.03,383475.44,372486.94,359263.44,327898.5,319100.34,17294.336,16616.04,18786.965,16902.963,17305.69,17437.623,0
166340.78,2,2,2,30.951462,0,0,0,-1,-1,-1,24074.834,19430.525,13772.291,7492.687,4300.301,4667.573,3614.7056,3735.9373,4238.341,3491.1326,2791.4915,2887.2102,0
177383.17,2,2,2,32.38434,0,0,0,0,0,0,124322.766,120883.266,114061.09,108222.49,98840.24,93394.195,5735.662,5522.29,4408.218,4248.514,4265.323,4435.4683,0
203683.97,2,1,1,34.783348,-1,-1,-1,-1,-1,0,5333.457,4229.78,5792.9272,6251.2456,7024.7734,6411.077,3748.8596,4911.458,5540.8667,5116.1587,2558.9958,3319.5566,0
162665.95,2,2,1,38.027855,0,0,0,0,-1,-1,30443.998,24211.31,16770.092,9913.055,6259.336,6567.2373,3517.065,3002.6448,3126.7986,3237.9436,4353.3643,3741.9375,0
