X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
23025.207,1,2,2,24.905455,2,2,3,3,3,3,1983.7267,608.61584,1411.7905,1895.566,1880.9805,1107.3625,255.06912,400.03415,-644.0551,140.49709,52.48957,535.7046,0
60916.99,2,3,1,33.91934,2,2,2,4,3,3,6415.535,8835.589,9607.244,8240.406,9161.859,8897.513,1405.9006,1893.2844,-217.1054,831.81836,-88.781425,392.87253,0
49098.113,1,3,1,51.85255,2,2,2,4,3,3,39058.15,40182.527,41728.996,40461.777,40562.113,40423.92,2073.5671,3819.2246,-323.0429,1459.8269,697.8963,2143.7551,0
19480.223,1,2,2,26.03765,2,2,2,2,2,3,35925.73,32421.828,29265.67,24906.271,28682.688,23601.506,26.621372,2518.0703,53.752514,6433.788,-54.635918,252.54294,0
21376.363,1,2,1,29.923357,4,3,2,2,2,3,19577.877,22200.736,18368.39,16089.004,18944.047,19112.287,347.0491,1413.1182,-47.389088,1971.8184,-349.52118,239.43161,0
30657.598,1,2,1,43.14086,3,2,2,2,2,2,3746.6016,4124.483,2987.5327,1289.1871,1342.9258,4225.659,1359.633,-249.94241,350.58356,154.08986,488.95782,198.32175,0
277628.78,1,2,1,41.224487,2,2,2,2,2,3,138063.25,138854.27,134613.89,143768.86,150698.17,147304.6,6291.459,240.7485,14536.062,14875.787,-419.25214,4982.701,0
20929.16,1,2,2,25.167221,2,2,2,2,2,2,1290.0001,383.12366,803.93115,1096.0543,1255.8906,542.2844,304.6497,77.50632,981.63824,152.97707,57.723946,308.95993,0
21524.8,1,2,1,38.06951,2,2,2,2,2,2,6011.5625,9042.53,8759.9,8285.727,8434.771,9152.983,2455.567,67.03708,905.9981,461.521,-62.14422,479.49655,0
12650.504,2,3,1,52.025562,2,2,2,2,2,2,4287.301,4948.983,4452.4624,3548.1519,3257.168,5656.198,1200.9031,-176.62991,858.68317,41.03077,507.87335,72.77341,0
37650.535,1,1,1,46.971485,2,2,2,2,2,2,10753.93,12223.042,12579.619,11972.572,13342.191,13036.813,1890.1096,932.9429,203.71785,1835.2146,7.224922,1523.2722,0
237562.83,1,3,1,42.166603,2,2,2,2,2,2,257877.06,259241.0,246050.89,245029.92,209502.98,197235.39,10914.184,53.567352,12578.914,14451.452,-252.8576,6972.147,0
103938.31,2,2,1,37.96003,3,2,2,3,3,3,3640.625,2572.694,1157.7905,612.2222,1369.0898,2844.2883,467.637,173.73434,-223.05315,152.79494,167.54718,1470.9846,0
52000.863,1,2,1,28.970455,3,2,2,4,4,4,1671.5743,2806.3113,2769.6694,60.468323,726.98834,781.48755,816.46857,32.586884,-619.5551,476.5,-561.3859,1164.3821,0
17828.738,1,3,1,62.519012,2,3,2,2,2,2,18520.234,17524.574,16835.562,14285.334,15419.609,18153.527,314.67508,747.90625,476.8155,1245.7893,517.1175,632.9365,0
20026.348,1,2,2,28.296894,3,2,2,2,2,-1,1092.5782,525.29944,747.2827,187.15192,247.06645,1750.6008,309.05057,-56.598175,279.4942,74.23536,1085.4874,345.77243,0
21385.316,1,2,1,36.108715,2,2,2,2,2,2,26628.682,26474.443,22907.031,21360.078,20741.453,21570.418,1698.8203,85.07077,1545.1075,84.20753,1801.1742,209.04684,0
91421.99,2,1,2,29.969568,2,2,3,3,3,3,1691.09,130.03381,34.8218,1810.1871,2911.5234,1966.0305,34.770786,486.35007,-549.12006,1913.9194,163.5008,191.51804,0
20770.848,1,2,1,36.07763,2,2,2,2,2,2,26417.219,26732.795,24592.889,21449.914,22467.303,20933.164,1934.7305,1459.8164,219.14656,1529.7539,-92.72283,1686.158,0
13168.879,1,2,1,29.16509,2,0,0,2,2,2,3345.0742,4616.061,6188.97,5037.0854,5800.3633,8380.745,1529.532,1327.4531,1349.4681,815.2395,938.20905,1105.4099,0
359118.66,2,2,2,24.594477,2,2,2,2,2,2,287668.53,292630.97,285327.56,290087.88,297686.2,278057.78,10558.712,677.3091,15969.695,5702.2075,-114.97039,130398.17,0
18171.91,1,1,1,33.901833,2,0,0,2,2,2,5256.9766,7107.4087,8425.592,7291.5034,10455.875,10609.571,1803.6343,1718.8384,614.92584,3686.289,36.617012,3371.0808,0
29420.16,1,2,1,49.17292,3,2,2,2,2,2,28613.242,29516.373,27864.2,26858.014,28368.982,29519.24,1936.2454,674.9458,1160.1676,858.0681,-136.98456,1817.4478,0
20021.27,1,2,2,24.07301,2,2,2,2,2,2,16026.047,16490.443,18103.904,16768.232,19072.969,18190.895,1085.5208,1888.9856,268.46002,1940.9116,6.2771683,1163.8953,0
594448.44,1,3,1,66.50974,2,2,3,3,4,6,464508.75,481114.0,502182.78,493564.53,511208.62,537219.8,27978.986,8987.581,24293.512,26713.578,31912.756,1301.7148,0
45324.91,1,2,2,34.97966,3,2,2,2,2,-1,561.38293,870.5182,-731.06885,114.22223,-108.62887,-304.2351,46.163853,-21.66458,298.64508,-152.5283,597.7835,43399.1,0
20634.754,1,2,2,24.143843,2,2,2,2,2,2,16133.531,15992.999,16795.98,17473.535,17242.928,18942.229,769.74396,882.46484,2143.429,115.54786,1976.9061,306.50534,0
61029.402,2,2,1,34.97576,2,2,2,2,2,2,4164.4727,6458.2407,5768.4546,5729.261,5539.1367,8636.923,2494.8706,55.818817,1483.6439,113.69288,1452.0577,56.812958,0
