Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0496092,70.67322,0.32883424,18.063984,16.321672,958.9835,0.013462151,0.033101954,1.9630854,0.023877641,Dec,1,1,1,2,Returning_Visitor,False,False
1.4654808,38.54989,0.1238044,6.4321766,16.212221,1039.3088,0.0208323,0.0440999,1.2581713,0.074031904,Nov,3,2,1,13,Returning_Visitor,False,False
2.3946915,74.94862,0.23976256,15.32283,17.544533,997.48615,0.004422841,0.024106804,2.198228,0.03396095,Dec,2,2,1,2,Returning_Visitor,False,False
1.5449417,34.58446,0.0974052,4.467848,16.03746,928.2695,0.014131215,0.03907202,1.0343373,0.07229535,May,2,2,1,3,Returning_Visitor,False,False
1.7223512,44.093956,0.14202951,7.188236,13.340189,755.4963,0.031842813,0.050228067,1.3607962,0.047138274,May,1,1,1,3,Returning_Visitor,False,False
2.4530954,59.411285,0.25389922,11.221018,17.45803,1028.4377,0.008492745,0.029350953,2.2048843,0.09624808,May,2,2,1,4,Returning_Visitor,False,False
7.119698,258.13126,2.864792,275.66272,131.98805,5743.027,0.004592381,0.019996092,4.9585,0.016995313,Nov,2,2,1,2,Returning_Visitor,False,False
-0.005196922,0.13388774,-0.0034744362,0.74543184,2.1346269,84.98909,0.19192076,0.19512877,-0.21112137,0.03956057,Dec,2,2,1,1,Returning_Visitor,False,False
2.105288,54.407692,0.23464696,10.013231,19.980474,1331.9985,0.005232712,0.024058843,2.157368,-0.0011183483,Nov,2,2,1,2,Returning_Visitor,False,False
1.5496538,41.245598,0.13302685,6.1971188,18.489658,1116.3773,0.012024537,0.03659117,1.5932853,0.02412351,Mar,2,2,1,1,Returning_Visitor,False,False
4.640426,162.0657,1.6355193,100.881615,26.588509,1553.0231,0.0027191637,0.017034834,24.80837,0.013862002,Nov,2,2,7,2,Returning_Visitor,False,True
1.8658866,48.711437,0.1314011,9.579582,17.938147,930.33923,0.0013200861,0.01602887,33.284492,0.015638324,Nov,2,2,1,2,New_Visitor,False,True
3.819065,116.01804,0.43309665,14.387314,74.29457,3209.0784,0.0045133303,0.018528381,12.117722,-0.00060972694,Nov,2,2,1,2,Returning_Visitor,False,True
3.4864788,128.63785,0.6140035,31.576422,29.742764,2056.0852,0.0059671006,0.021564243,13.625623,-0.0010907961,Nov,1,1,1,2,Returning_Visitor,False,True
2.392843,68.075455,0.23192032,9.737114,21.364916,1310.4197,0.009255358,0.026102878,19.957443,0.026351893,Nov,2,2,1,1,Returning_Visitor,False,True
2.8816109,102.46884,0.61664534,30.449524,23.627546,1305.7583,0.0035891791,0.019604942,24.354876,0.056151785,May,2,2,1,4,Returning_Visitor,False,True
2.380639,71.00536,0.206073,15.682302,20.346037,1231.5176,0.0020807756,0.016923798,39.59314,-0.00062861416,Dec,2,2,1,2,Returning_Visitor,False,True
2.372968,68.482796,0.111344226,7.671156,18.644543,1129.7158,0.0007357687,0.013825574,35.93526,0.0082524745,Nov,2,2,1,3,New_Visitor,False,True
2.2136722,68.97545,0.2570246,13.789263,17.157965,941.57465,0.0036135388,0.019596262,31.583824,0.021156115,May,1,1,1,2,Returning_Visitor,False,True
7.776535,297.32977,3.273628,323.9086,177.47728,7316.517,0.0031541565,0.017092071,10.384107,-0.0024531793,Nov,2,2,1,2,Returning_Visitor,False,True
