Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.045354493,-0.007957972,0.004680552,-0.21505173,3.0057073,82.21297,0.15644929,0.17412463,0.085397445,0.0047632367,May,2,2,1,1,Returning_Visitor,False,False
1.1526077,19.568516,0.08243818,3.7691994,20.902603,764.29443,0.005015276,0.031387772,2.5293236,0.0029619473,May,2,5,3,4,Returning_Visitor,False,False
5.2897763,168.41057,0.31197935,9.081093,28.532734,1000.8054,0.007082552,0.022791645,2.9206722,0.0019489961,Dec,1,1,1,2,Returning_Visitor,False,False
4.950965,135.39029,0.4987084,11.618446,40.138885,1419.5139,0.008153914,0.021349398,2.8176713,2.0089246e-05,Nov,3,2,1,2,Returning_Visitor,True,False
1.9961411,46.652725,0.116559066,4.407366,16.573479,538.3673,0.0062409206,0.028079553,2.139112,0.0034095075,May,1,1,1,4,Returning_Visitor,False,False
0.63135517,10.141913,0.038109876,1.5846575,17.765114,605.85187,0.010659866,0.04284404,0.5882732,5.080054e-05,Dec,2,2,1,1,Returning_Visitor,True,False
6.3351426,138.86197,1.6152573,38.07886,177.34583,6850.6377,0.004659628,0.01889546,2.4934201,0.00041024634,Nov,2,2,1,2,Returning_Visitor,False,False
0.60476315,8.54061,0.020497866,0.7580089,15.378294,528.7585,0.0058256793,0.038651053,1.0068796,5.3557254e-05,Dec,2,2,4,3,Returning_Visitor,False,False
0.73787,11.116843,0.11889023,4.6170635,27.348677,1033.297,0.0045747007,0.030663457,0.3586628,-9.726112e-05,Nov,2,2,1,2,Returning_Visitor,False,False
1.6583925,49.066036,0.035052754,1.6233882,11.329954,343.94476,0.0017490793,0.023834785,0.46889517,8.8969864e-05,Dec,3,2,1,2,New_Visitor,False,False
5.759902,173.87936,2.894439,170.21939,43.069267,1788.856,0.0077982205,0.021504221,4.6193376,0.03154852,Nov,1,1,1,2,Returning_Visitor,False,False
0.6730534,11.791648,0.014587827,1.1215609,20.857677,776.4018,0.004245389,0.03097771,0.34734604,-8.897235e-05,Nov,2,2,2,2,Returning_Visitor,False,False
0.72370446,9.430327,0.047378458,1.603773,21.714117,739.5401,0.016177528,0.047194995,0.37664625,0.60571086,May,2,2,1,4,Returning_Visitor,False,False
0.64816844,11.427108,0.06655166,2.7941704,17.367315,602.0569,0.009249591,0.03953576,0.38515922,0.0031542357,May,1,1,1,3,Returning_Visitor,False,False
1.5709214,27.855076,0.15992044,5.919483,22.826635,811.6407,0.005588572,0.031000625,1.321224,0.0012352119,May,2,2,1,4,Returning_Visitor,False,False
3.4443636,69.546364,0.23533835,7.3741894,13.143324,408.2517,0.0018229835,0.023008473,1.472677,0.003132264,Aug,2,2,1,5,New_Visitor,False,False
0.41334903,5.618278,0.03196887,1.7495517,19.937319,547.0109,0.014042541,0.042778477,0.40967724,0.5995226,May,2,2,1,3,Returning_Visitor,False,False
0.778106,12.336623,0.047938712,1.7841128,21.049488,788.0773,0.0038504598,0.030620698,1.077688,0.006908132,May,4,1,1,3,Returning_Visitor,False,False
2.1831055,54.47541,0.12964432,5.5483932,15.110373,495.09033,0.0017365121,0.01739088,0.5330717,9.554873e-05,Nov,2,2,6,2,New_Visitor,True,False
0.8625965,15.983298,0.017234482,1.1918162,18.792578,678.28705,0.01222478,0.039714113,0.45735714,0.0003632667,May,2,2,6,1,Returning_Visitor,False,False
4.7318087,111.255936,0.28082487,7.6183147,36.57961,1357.7888,0.0056463885,0.019045731,70.560005,0.00076475245,Nov,2,2,1,2,Returning_Visitor,False,False
8.107788,1256.5544,0.21559687,7.0792255,37.33596,2099.2866,0.0070125735,0.02359661,3.6168191,0.0047205337,May,2,2,1,2,Returning_Visitor,False,False
2.5400126,50.3892,0.556586,15.580414,43.316387,1793.0312,0.0055488623,0.022899158,3.003793,2.0327665e-05,Nov,2,2,1,2,Returning_Visitor,True,False
