Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
3.9448879,144.27069,0.019914813,4.158697,61.37559,4401.887,0.0009978578,0.0010954465,246.4031,0.002717017,Oct,4,1,8,2,New_Visitor,False,False
2.0636768,115.70609,0.03368438,5.439249,21.298243,1052.3724,0.010876254,0.016406765,214.1931,0.0019739594,Dec,1,1,3,2,Returning_Visitor,False,False
2.0798433,56.460033,0.03037832,2.6180153,15.560297,546.6239,0.0007827763,0.0070702834,162.41722,0.00021287674,June,1,1,1,5,New_Visitor,True,False
1.0184262,6.7856746,0.01621703,3.151266,164.75453,5869.063,0.0041020396,0.010613947,53.051273,0.0010469022,Nov,2,2,1,1,Returning_Visitor,False,False
21.544533,1142.018,3.0563667,118.49019,209.1345,4393.165,0.0032735874,0.009268857,172.83324,0.0053816647,Nov,2,5,3,3,Returning_Visitor,True,False
2.060019,19.291222,0.0064828475,1.6153468,25.220802,320.1399,-0.00012731958,0.0084772175,77.088486,-0.00094401214,Nov,2,2,7,2,New_Visitor,False,False
3.9684696,44.080822,1.9858412,39.42796,29.156384,1106.3029,-0.0010329395,0.0064761704,40.37454,-0.0006549892,Nov,2,2,4,2,New_Visitor,False,False
1.0208247,42.172066,2.0072117,1425.4048,55.85753,1612.8707,0.0058874595,0.022401322,29.449112,-0.001965889,Nov,2,2,1,8,Returning_Visitor,True,False
2.9649577,31.978794,0.026951112,1.1144198,15.067873,343.2887,-0.00024295073,0.0009593394,55.859882,-0.0012842728,Sep,2,4,1,2,New_Visitor,False,False
11.978312,442.3369,13.330322,624.2169,81.58778,3637.7246,-0.0006349146,0.009470115,33.78736,-0.0034024355,Nov,3,2,1,2,Returning_Visitor,True,False
2.0232408,21.273003,0.002508827,-1.6319524,4.363297,103.57979,-0.0009324871,0.010254915,32.43708,-0.0027041968,Nov,2,4,4,5,New_Visitor,False,False
-0.008097284,1.2203135,0.008769162,0.5202045,14.865484,778.23315,-0.00038619,0.0066352403,29.044428,-0.00053427863,Nov,3,2,3,2,New_Visitor,True,False
6.084315,86.76292,1.9703679,156.60117,39.186493,1183.0546,0.0032790953,0.012268855,27.004623,-0.00050931546,Nov,2,2,9,8,New_Visitor,True,False
2.0380394,35.246002,0.031137057,2.6367722,3.1956735,88.59602,0.0003636532,0.001175924,56.441357,-0.00021473443,Sep,1,1,3,2,New_Visitor,False,False
2.0704205,14.946876,-0.009329401,0.33769792,4.0710855,314.8028,-0.00046103852,0.03972616,48.932217,-0.003061169,Nov,2,2,5,5,New_Visitor,False,False
7.063414,324.98083,3.9742694,218.85608,32.917027,965.9791,-0.0008246064,0.010990824,40.90989,-0.0024463695,Sep,2,4,3,5,New_Visitor,False,False
1.0128589,6.0745616,0.011759497,1.5158862,14.959599,396.99445,0.00017446619,0.0031534645,69.885475,-0.0012275738,Nov,8,13,9,20,Other,False,False
0.057439692,2.1721873,2.9957905,66.97802,24.856743,725.684,0.015572149,0.037522275,71.83496,0.00046091774,Nov,1,1,8,10,Returning_Visitor,False,False
1.0115187,44.185757,0.9808591,71.3584,7.6598783,636.8984,0.017765304,0.032748755,26.83183,-0.0017863525,Nov,1,1,2,7,Returning_Visitor,False,False
5.953587,183.9824,4.906272,110.68808,178.88802,10454.799,0.0013207808,0.020689398,17.14102,0.00050445524,Nov,2,2,3,2,Returning_Visitor,True,False
2.9811833,90.147095,1.9966836,4.5274353,23.31205,1439.2109,0.007832708,0.020457095,31.934114,-0.0014941482,Nov,2,2,6,2,Returning_Visitor,False,False
3.943165,41.585278,0.012614943,1.9509448,64.917534,2599.1028,-0.00010594014,0.01582416,62.381298,-7.969641e-06,Nov,4,1,2,2,Returning_Visitor,False,False
2.0583735,17.89418,0.0019495565,0.6984119,84.249794,2848.4705,0.0045928187,0.013995989,37.55249,0.0007283303,Nov,2,2,1,1,Returning_Visitor,True,False
5.0045896,74.87798,2.9674406,86.86024,49.73298,2032.6517,-0.0012044817,0.009455609,44.15532,-0.0012439577,Nov,2,2,7,2,Returning_Visitor,False,False
9.069786,242.0979,0.03111557,1.650709,23.851025,751.13464,0.0014594119,0.0059783226,27.92865,-0.0005066817,Nov,1,1,3,2,New_Visitor,False,False
2.917165,48.702682,0.027731784,2.3243866,174.36108,6735.1196,0.0032635403,0.01219274,20.1363,0.0004955965,Aug,2,4,9,4,Returning_Visitor,False,False
5.0258756,118.30259,0.99759895,4.392721,15.607693,865.2542,0.0041216905,0.009235016,38.30298,-0.0019184215,Nov,2,2,1,3,Returning_Visitor,False,False
5.068104,78.598335,0.95263505,22.704967,46.663948,1329.3453,-0.0008250907,0.006619542,29.050306,-0.0013051269,Mar,2,2,1,8,New_Visitor,False,False
6.0419216,87.551445,1.9901658,213.45589,159.8907,6080.797,-0.0013182074,0.0048575243,22.288717,-0.001077236,Sep,2,2,1,6,Returning_Visitor,False,False
7.0094404,219.5433,1.0157412,0.9773883,22.149622,1095.5164,-0.00041678766,0.018865103,16.567677,-0.00066743913,Nov,2,2,2,10,Returning_Visitor,True,False
5.0397267,140.04538,0.9826455,22.013418,185.09256,3607.3022,0.0008995641,0.0048911935,138.47285,0.0017191047,Oct,2,2,3,20,Returning_Visitor,False,False
2.9800103,31.731453,-0.001847766,-0.18375213,3.275847,54.545605,-0.0006436113,0.039589703,27.402805,-0.0024642136,Oct,2,2,6,2,New_Visitor,True,False
10.142822,84.63903,1.002837,810.0689,111.78086,3350.0637,0.0062938905,0.016977564,46.804893,-0.0010257451,Aug,2,2,3,1,Returning_Visitor,False,False
2.0632238,6.077575,5.0109973,158.4617,62.090557,3735.8682,0.011346807,0.021526689,18.368034,-0.0007222605,Nov,1,2,6,2,Returning_Visitor,False,False
6.0158596,201.05582,0.00894127,1.034643,82.33244,3693.6567,0.0059785596,0.016716257,66.90093,0.0003787192,Nov,2,2,4,2,Returning_Visitor,False,False
10.059264,302.2306,0.0343586,1.9320124,80.03635,1848.1345,-0.00044029052,0.0038710448,15.952797,0.00011724482,Nov,1,1,1,8,New_Visitor,True,False
3.9837852,102.09262,2.017765,80.78386,132.79892,3758.9363,0.002063995,0.01631624,27.756458,-0.00036258376,Nov,3,2,1,6,Returning_Visitor,True,False
8.031156,168.56256,6.0595865,550.8466,109.13074,6349.838,0.0028024258,0.010100423,44.819324,-0.0034290638,Dec,3,2,6,2,Returning_Visitor,False,False
2.9819832,158.34428,0.99723345,-0.27808577,61.36589,2105.3132,0.0064177974,0.025323346,17.441767,0.00015163669,Nov,2,4,1,10,Returning_Visitor,True,False
0.97645545,156.79286,0.0385387,2.2431889,19.053415,1132.086,6.710518e-05,0.01039224,41.521957,-0.0013231201,Nov,2,2,4,2,Returning_Visitor,False,False
2.0575547,48.992413,0.98195356,0.431261,62.842545,2070.3052,0.014036502,0.022128599,21.638353,0.0005721512,Nov,1,1,1,2,Returning_Visitor,True,False
0.0311035,2.367889,-0.008991085,0.42171282,31.000792,1702.4374,-0.00019856017,0.01498679,19.173086,-0.00041993088,Nov,2,2,1,10,Returning_Visitor,False,False
6.059818,141.939,0.012728728,0.5179462,30.492525,2362.1409,-0.00055457314,0.002445473,61.828487,0.00030802438,Nov,3,2,9,3,New_Visitor,True,False
7.0180936,248.91031,1.0002991,1060.6167,30.736591,4883.1074,0.014911872,0.028189028,25.753813,-0.0014016418,Nov,3,2,2,2,Returning_Visitor,False,False
0.015832074,2.1102366,0.0059624095,1.3197154,67.08118,1278.896,0.0030685512,0.014896977,64.5794,-0.00027759126,Nov,4,1,1,1,Returning_Visitor,False,False
2.041644,11.014464,0.017090984,1.2437876,34.23005,541.1099,7.23448e-05,0.015845137,47.611126,-0.0023535576,June,4,1,2,4,Returning_Visitor,False,False
13.003233,304.23148,0.9819523,12.469063,52.305775,3421.7195,0.007370152,0.014361025,38.93605,0.00040691593,Nov,1,1,1,2,Returning_Visitor,False,False
0.9995116,135.15233,0.04493407,2.3534832,24.556623,925.4863,0.00043283557,0.010695851,40.211678,-0.0005558816,Aug,1,1,1,4,Returning_Visitor,True,False
8.078242,203.67485,0.026853807,0.927885,14.767071,408.1308,-0.0009083826,0.0125158625,17.553879,-0.0016897334,Nov,1,1,1,2,New_Visitor,False,False
2.950792,51.01741,0.016247727,1.3168391,7.6080384,359.2912,-0.0005271904,0.010785612,26.406609,-0.0021301594,Jul,1,1,1,2,New_Visitor,False,False
4.9411616,114.83041,0.020917006,2.456789,136.90363,4192.2793,-0.00044945473,0.008937861,17.201757,-2.933418e-05,Nov,2,2,9,2,Returning_Visitor,False,False
