Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.4085131,45.00079,0.17405121,5.425501,22.795002,901.0216,0.009181032,0.033790097,0.15202923,8.356447e-05,Mar,2,2,1,1,Returning_Visitor,False,False
6.3706803,259.70966,2.2623768,199.13283,90.37693,3624.3618,0.006578838,0.021809205,3.810681,-0.00017398348,Dec,2,2,1,2,Returning_Visitor,False,False
1.34559,38.88991,0.19001712,7.395811,23.276863,886.41565,0.011986025,0.036489747,0.11052867,0.11319102,May,2,2,1,5,Returning_Visitor,False,False
0.043053992,2.4184566,0.013366856,0.79015154,3.1096082,71.08894,0.16784002,0.18176767,0.030424796,-0.004516804,May,3,2,1,3,Returning_Visitor,False,False
2.5097876,73.38188,0.23490681,11.110582,16.725328,579.08466,0.0017677561,0.019217167,0.041547976,-0.0004290988,May,2,2,1,2,New_Visitor,False,False
1.8861018,60.12596,0.32803783,14.282965,28.967163,1150.9877,0.009125702,0.030923901,0.1111724,0.00036604205,May,2,2,1,1,Returning_Visitor,True,False
1.8894584,67.167206,0.27930877,15.296038,21.259092,814.75134,0.009216739,0.031161008,0.22479697,-0.0016885934,May,1,1,1,1,Returning_Visitor,False,False
1.7036475,72.189095,0.14155696,5.2916965,17.791214,664.0662,0.007908552,0.030786196,0.033526145,-0.002116793,May,3,3,1,11,Returning_Visitor,False,False
1.7734193,56.920734,0.20147057,8.58736,23.53777,875.95044,0.0152782155,0.04024648,0.1925294,-0.0033517864,May,2,2,3,3,Returning_Visitor,False,False
1.4246494,46.670498,0.16889279,6.856596,20.990355,819.033,0.0059815734,0.0313693,0.63008565,-0.002091327,May,2,4,1,1,Returning_Visitor,False,False
1.463159,60.941708,0.30114207,15.931206,25.281944,1018.15,0.0036553086,0.018430296,37.31019,-0.0006450874,Nov,8,3,1,11,Returning_Visitor,False,True
5.7529902,189.90793,1.4001269,93.2253,162.27505,6485.431,0.004362359,0.017151581,8.29441,-0.00023161,Nov,2,2,1,2,Returning_Visitor,False,True
2.519418,92.60147,0.29961085,12.476559,31.639559,1300.6719,0.0049801203,0.021328157,20.643555,-0.0028503772,May,2,2,1,5,Returning_Visitor,False,True
3.1494656,106.71232,0.43269598,25.081228,36.577404,1428.2625,0.0030796377,0.01705344,23.869347,0.00033143038,Nov,2,2,1,2,Returning_Visitor,True,True
2.2606058,73.569046,0.28874698,16.49787,25.150963,976.39606,0.004949247,0.019611815,34.624737,0.000107518084,Nov,2,2,1,2,Returning_Visitor,False,True
6.194998,207.15964,4.8440804,543.1127,61.850964,2716.466,0.0040182616,0.017149765,17.847446,-0.0005613354,Nov,2,2,1,2,Returning_Visitor,False,True
2.776272,102.31456,0.43790835,29.85374,29.991032,1268.8303,0.004834605,0.02030151,21.288998,-0.0003741396,Nov,1,1,1,2,Returning_Visitor,False,True
3.1915317,110.658844,0.40782198,24.583858,32.717197,1389.1403,0.0034285148,0.019324182,17.52404,-0.0004039531,May,2,2,3,2,Returning_Visitor,False,True
2.5229168,75.66679,0.18454047,7.0655937,24.09194,1146.577,0.002648126,0.021616383,17.402172,0.00035992512,Nov,3,1,1,8,New_Visitor,False,True
1.6732283,50.18836,0.22299813,5.2059326,25.804935,1006.48096,0.004005426,0.01932247,20.921402,-0.00022345534,Nov,2,4,1,2,Returning_Visitor,False,True
