Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.2804573,32.188286,-0.0044148187,3.792986,16.741562,645.6911,0.015139274,0.04089073,0.71766394,0.000881436,May,3,2,4,3,Returning_Visitor,False,False
2.0977592,56.966755,-0.0055440883,7.099308,15.975709,644.2043,0.007061126,0.033411216,1.1604612,0.0016311953,Nov,1,1,8,2,Returning_Visitor,False,False
8.426555,247.46907,0.061671503,9.449865,46.30026,1459.4989,0.007836111,0.022905022,4.8814144,0.0001928682,Sep,2,2,1,1,Returning_Visitor,False,False
0.8644899,17.090221,-0.005591295,4.063698,19.44653,802.01587,0.0065625054,0.033449456,0.5702073,0.0010357635,Nov,2,2,2,2,Returning_Visitor,False,False
1.9542849,46.7745,-0.0069059352,4.8473606,17.74008,602.32135,0.0012287457,0.018452901,0.52430886,-0.00026484704,Nov,2,2,1,2,New_Visitor,False,False
0.60921013,16.614178,-0.0058765034,4.2198696,21.512568,851.4029,0.010147903,0.040144365,0.7178742,0.0003911505,Dec,2,2,1,1,Returning_Visitor,False,False
1.3619744,28.671436,-0.0083639845,9.489096,22.990208,971.4201,0.0077014943,0.03369156,1.4799416,0.0015292825,May,2,2,6,6,Returning_Visitor,False,False
0.057856448,1.8922954,0.0011043329,-0.33466154,3.2937016,55.378124,0.15410809,0.17169392,0.040076457,0.0010058308,Mar,3,2,1,1,Returning_Visitor,False,False
0.3263204,3.3955379,0.0005263764,1.0781268,10.679888,454.46057,0.008944041,0.043420814,0.29907772,0.24579334,Feb,1,2,1,3,Returning_Visitor,False,False
7.466291,209.32425,2.0123098,132.4567,275.13544,11346.036,0.005882207,0.020117633,2.2142887,0.0016125167,Nov,2,2,1,2,Returning_Visitor,False,False
-0.0029064345,0.58354896,0.0006264824,-0.26172072,2.5058846,46.669994,0.16531478,0.18167754,0.035369597,0.0012016544,May,2,2,6,3,Returning_Visitor,False,False
0.77217126,14.892791,-0.006762288,6.2940273,19.016306,757.4233,0.018870017,0.05178873,0.26223823,0.72980326,May,1,1,1,3,Returning_Visitor,False,False
2.5075483,65.35432,-0.010061882,9.719475,24.502304,868.762,0.009590955,0.030919412,0.9611537,-0.00015239543,May,1,1,1,3,Returning_Visitor,True,False
0.06858457,1.5708613,0.0020161648,0.2148494,8.427353,124.93489,0.12510821,0.15230575,0.0015904531,0.6805576,May,3,2,1,3,Returning_Visitor,False,False
1.2599617,29.418854,-0.0069425325,4.3477364,17.289946,687.5525,0.006570689,0.033061262,0.54971427,-0.0003625018,Mar,1,1,1,1,Returning_Visitor,False,False
0.028045304,0.9341044,6.154961e-05,-0.30241972,2.2022462,38.747875,0.17628948,0.187554,0.013321124,0.0018536957,Mar,2,2,1,1,Returning_Visitor,False,False
2.1962132,67.090614,-0.008950733,4.0117397,12.191006,392.65814,0.0020340083,0.0212043,0.884463,-0.00018511838,Nov,1,1,1,2,New_Visitor,False,False
0.73815167,19.183262,-0.005248032,4.8934803,20.304634,821.8304,0.02958203,0.0556019,0.99079674,0.00010943661,Nov,3,2,6,13,Returning_Visitor,False,False
5.525711,156.72578,4.0421667,218.8986,38.95282,1501.2507,0.008572508,0.02192556,5.5818877,0.0009434062,Dec,3,2,1,2,Returning_Visitor,False,False
1.7112824,46.206913,-0.0056160907,4.049219,21.599192,770.0573,0.009188818,0.026601003,0.9559466,-0.00041306517,Nov,3,2,1,2,Returning_Visitor,True,False
0.3567673,3.958221,-0.001006357,2.460825,23.580292,805.50574,0.013234446,0.046251126,0.29953787,0.6493605,May,2,2,6,3,Returning_Visitor,False,False
1.8466325,33.18751,0.3659491,23.46654,108.59146,4586.6494,0.0051960642,0.021051357,1.7915089,0.00013742098,Nov,2,2,1,2,Returning_Visitor,False,False
0.9637922,19.077175,-0.0063231806,4.0583267,19.048077,734.3937,0.005193557,0.03463393,0.9283549,-0.00047075129,Mar,2,4,1,2,Returning_Visitor,False,False
6.3430796,223.87427,2.514034,127.736305,45.57865,1864.4767,0.007886493,0.021360291,4.663561,0.0016856516,Nov,1,1,1,2,Returning_Visitor,False,False
2.2706146,49.52284,0.047597982,12.710867,16.25463,691.42444,0.004292292,0.02481762,1.1398156,-0.0004249414,Mar,2,2,1,8,New_Visitor,False,False
-0.003338449,0.7588877,0.0006143827,-0.19091614,2.0340772,49.825756,0.18083006,0.18932417,0.02131816,0.0027725238,Dec,2,2,5,1,Returning_Visitor,False,False
1.4362788,36.204132,-0.0017191988,2.0882664,20.786095,747.53973,0.009097853,0.032011203,0.65198296,-4.4000648e-05,Nov,1,1,2,2,Returning_Visitor,False,False
7.1066566,1164.1931,0.46177158,37.603226,39.47121,2030.878,0.005363328,0.019895121,3.6692545,0.0007845859,Mar,2,2,1,2,Returning_Visitor,False,False
1.288242,26.04834,-0.0031944732,7.666067,29.403994,965.42847,0.010736811,0.035649013,1.2100575,0.6593637,May,2,2,1,2,Returning_Visitor,False,False
1.3035078,27.119781,-0.0059357504,1.952978,23.18616,833.5555,0.009989367,0.03989174,1.2841632,-0.0006100771,Nov,2,2,1,1,Returning_Visitor,False,False
3.7017028,88.77872,0.035866834,11.187725,16.409243,540.3912,0.00087507034,0.01507669,0.8128206,-0.00025631613,Sep,2,2,1,2,New_Visitor,False,False
1.6747918,39.39053,0.0023857434,7.6972256,26.447428,982.2394,0.01175308,0.038098063,1.3229806,-0.00032767034,Aug,2,2,1,1,Returning_Visitor,False,False
8.643332,258.82028,3.6935244,197.90948,119.61725,4778.518,0.006078701,0.020749405,4.193329,0.001995309,Nov,2,2,6,2,Returning_Visitor,False,False
0.71473265,13.542182,-0.00033708627,1.9881724,16.51387,627.7304,0.010753844,0.0439296,0.43012592,0.00091196474,Nov,1,1,1,3,Returning_Visitor,False,False
0.90561104,24.297,-0.004155181,7.7240963,19.284885,701.22235,0.010758656,0.0366785,1.2165391,-0.0004326602,Nov,1,1,1,2,Returning_Visitor,True,False
2.1763206,44.36951,0.103038885,12.304766,45.019672,1675.0098,0.014417296,0.03356039,1.0602486,0.7976527,May,3,2,1,3,Returning_Visitor,False,False
1.4324416,29.83603,-0.010000013,6.9291573,22.508936,902.65607,0.006135646,0.033037018,1.5334833,4.7298767e-05,Nov,2,2,4,1,Returning_Visitor,False,False
1.3293473,32.24514,0.00053725427,1.0097064,7.6802754,388.89996,0.020201948,0.059152048,0.793914,2.2458531e-05,Dec,8,13,9,20,Other,False,False
0.09937633,1.3935084,0.0011754114,-0.015848234,2.50911,34.534374,0.17715546,0.18466447,0.016073905,0.003671291,Nov,1,1,3,3,Returning_Visitor,False,False
0.11957849,1.0716624,0.0007072467,0.05449097,2.6596837,43.14546,0.16906086,0.18109956,-0.011597909,0.003688379,Mar,1,1,1,3,Returning_Visitor,False,False
7.7238398,197.53348,0.36112463,24.856627,52.950237,1903.9452,0.0033864097,0.017478077,5.3085403,-0.00034552938,Nov,2,2,1,2,Returning_Visitor,False,False
1.0610672,25.801601,-0.006912909,4.542122,18.507746,663.3571,0.011742294,0.03365098,0.9773404,1.5354402e-05,Nov,3,2,1,2,Returning_Visitor,False,False
2.5469263,68.563995,0.08470512,10.048683,22.478989,766.85016,0.010010626,0.029073339,0.8687169,0.002213965,May,3,2,1,4,Returning_Visitor,False,False
0.8559754,14.850638,-0.007624827,6.416622,22.595507,840.51733,0.0073885466,0.03562767,1.0841053,-0.00058654073,Nov,2,2,3,2,Returning_Visitor,False,False
0.6611551,8.689521,-0.0065233926,2.813818,22.250696,724.3578,0.015222011,0.04669208,0.56309766,0.65654963,May,2,2,1,3,Returning_Visitor,False,False
0.9142057,23.104763,-0.005350254,3.3457851,14.578581,552.12726,0.006084706,0.03832578,0.35519716,-0.00048970926,Mar,2,2,1,1,Returning_Visitor,True,False
1.839296,45.623215,-0.010040723,4.637848,23.550966,815.45166,0.0064551434,0.02363748,2.4214277,0.0028435204,May,1,1,1,4,Returning_Visitor,False,False
3.1365416,65.58762,0.15384482,19.037388,44.652752,1699.9193,0.003773743,0.019396529,2.491796,0.0019462096,May,2,2,6,4,Returning_Visitor,False,False
0.83188033,18.066704,-0.0026386003,5.631426,19.623266,798.9795,0.006141042,0.030149594,0.78737754,-0.0003581283,Nov,2,2,1,10,Returning_Visitor,False,False
0.039700396,0.8318934,0.0013735074,-0.22336014,2.9862065,99.362625,0.16696914,0.17883022,0.045471393,0.0014903607,May,3,2,1,13,Returning_Visitor,False,False
0.8060243,16.673256,-0.008074604,5.890211,20.497446,743.2375,0.008851302,0.037296582,0.52520484,0.00044804686,Mar,2,2,6,1,Returning_Visitor,False,False
0.6837745,11.311378,-0.0043201665,1.6422023,17.43231,545.27124,0.008669719,0.039957043,0.8612372,0.0029502984,May,2,2,1,4,Returning_Visitor,False,False
1.771165,40.034336,-0.0073203067,3.1167393,22.689457,798.8127,0.006362352,0.028972933,1.3080442,-0.00032368055,Nov,1,1,1,2,Returning_Visitor,False,False
0.7201905,14.894233,-0.004001401,3.1237278,17.801882,717.1663,0.010550457,0.041803986,0.25810024,-0.00045720613,Mar,2,2,2,1,Returning_Visitor,False,False
0.78925264,12.82257,-0.008444451,6.795002,16.419794,592.09534,0.0035649182,0.034095734,0.5558216,-0.0005800215,Mar,2,2,1,2,Returning_Visitor,False,False
0.76953304,12.7937765,-0.0062027792,3.8192387,18.696278,742.2899,0.007940896,0.03896203,0.5988857,-0.00055061403,Mar,2,2,1,1,Returning_Visitor,False,False
0.9161639,19.40878,-0.0066313366,5.976429,21.477318,856.8951,0.0046251765,0.031682305,1.2643011,-5.4513444e-06,Nov,2,2,1,2,Returning_Visitor,False,False
6.3488173,224.38284,0.2793598,16.026464,58.03968,2463.1758,0.0069573564,0.020270715,6.612883,-0.00042940056,May,2,2,2,1,Returning_Visitor,False,False
14.106708,2569.9768,13.459849,1650.0084,532.4481,31894.656,0.0032304989,0.018038368,-0.20882778,-2.497559e-05,May,2,2,1,5,Returning_Visitor,False,False
3.8599014,101.5869,4.7855077,1297.804,60.486034,2966.3748,0.006983639,0.025737872,3.7995198,0.004492967,Nov,2,2,1,2,Returning_Visitor,False,False
7.7046046,280.90546,0.48779446,17.83945,31.017368,1128.4749,0.0059930566,0.016497396,9.5709305,-0.00035314387,Aug,3,2,4,4,Returning_Visitor,True,True
1.745532,35.10772,-0.006548188,8.154034,17.72468,726.72974,0.0026695968,0.02093791,36.94561,-0.00043910867,May,2,2,1,2,Returning_Visitor,False,True
0.6149422,16.014412,0.0016626198,0.024183199,15.239761,604.7974,0.0011188869,0.014936213,44.683025,-0.00010994574,May,1,1,4,2,New_Visitor,False,True
7.5952826,193.95807,0.3862682,31.943476,145.51396,5132.114,0.0030070764,0.01401477,10.916007,-0.00048355883,Nov,2,2,1,2,Returning_Visitor,False,True
4.4858994,141.47942,2.7501826,195.74246,41.399918,1806.5752,0.0072571714,0.0193216,10.342604,-0.00037254518,Nov,1,1,6,2,Returning_Visitor,True,True
3.547124,77.17312,0.98126805,31.124918,116.44739,4527.04,0.008460436,0.021173531,6.313597,-0.00031667328,Nov,1,1,1,2,Returning_Visitor,False,True
5.9645047,160.55937,1.9601368,91.86386,286.335,11323.113,0.0044610533,0.01785435,5.542198,-0.00037476918,Nov,2,2,1,2,Returning_Visitor,False,True
0.82038677,14.639297,0.64710474,34.510086,82.33528,3248.7407,0.003737034,0.019854976,2.4239814,-0.00057075295,Nov,2,2,1,2,Returning_Visitor,False,True
5.960326,162.49158,2.557592,132.70381,49.7478,1916.6353,0.009410673,0.020970313,10.780409,0.021205587,May,3,2,6,4,Returning_Visitor,False,True
2.710282,70.449844,0.15997262,13.692553,36.716175,1185.1346,0.005697997,0.020793723,16.433126,-0.00045966482,Aug,2,2,6,2,Returning_Visitor,False,True
2.05096,54.452667,0.281152,13.738239,50.464066,2114.3245,0.0015863046,0.007953684,141.15132,-0.00036925575,Nov,2,2,1,8,Returning_Visitor,True,True
1.5831982,37.469784,0.07926295,13.728115,33.511932,1226.3484,0.0026090776,0.018623574,21.761616,0.0053938613,May,2,2,6,4,Returning_Visitor,False,True
2.2919722,60.51611,0.043251403,11.493198,24.942984,938.48346,0.0028792152,0.020179715,20.061588,-0.00027265152,Sep,1,1,1,1,Returning_Visitor,False,True
1.3854442,43.994686,0.002055176,4.7730694,21.914846,836.66034,6.541276e-06,0.008954256,68.725815,-0.00022753453,May,2,2,6,2,New_Visitor,True,True
2.1688628,45.895412,-0.0036109309,2.1965694,20.306711,892.4612,0.0010031142,0.02063469,16.334978,-0.0003046555,Nov,1,1,1,8,New_Visitor,True,True
2.1737885,55.866676,-0.0025735716,0.5524654,20.97467,1151.1508,0.00151718,0.012651834,81.99239,7.355461e-05,Dec,8,13,9,20,Other,False,True
7.2938457,245.48819,2.8954744,221.57831,41.688633,2248.0122,0.003548484,0.01951416,10.480476,-0.00053077686,Mar,2,2,4,2,Returning_Visitor,False,True
1.4709672,26.780434,-0.00034191424,1.3797778,14.703035,582.8761,0.00074264,0.0125628365,15.184947,-0.00047638765,Aug,2,2,1,5,New_Visitor,False,True
6.6683493,812.9055,0.11326573,15.671169,31.066076,1326.4757,0.000445943,0.012369995,35.689426,0.0014326932,Sep,2,2,1,2,New_Visitor,False,True
