Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Test,0.8440722664984994,50.62914037704468,0,0,Unknown,-1.0,0.06045246124267578,Adult,XGBClassifier,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7738465055854835,3357.0565168857574,0,0,inwons-mbp.watson.ibm.com,-1.0,0.2814598083496094,Adult,FTTransformer,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7851314809959287,115.1127450466156,0,0,inwons-mbp.watson.ibm.com,-1.0,0.010120868682861328,Adult,ResNet,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7793975512991108,166.05497002601624,0,0,Unknown,-1.0,0.024068832397460938,Adult,MLPClassifier,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.8221386741596906,1.8029849529266357,0,0,Unknown,-1.0,0.0017194747924804688,Adult,LogisticRegression,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.713348903545534,0.043621063232421875,0,0,Unknown,-1.0,0.004011392593383789,Adult,GaussianNB,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7547644501373523,0.0032341480255126953,0,0,Unknown,-1.0,1.3623721599578857,Adult,KNeighborsClassifier,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.8440722664984994,50.62914037704468,0,0,Unknown,-1.0,0.06045246124267578,Adult,XGBClassifier,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7738465055854835,3357.0565168857574,0,0,inwons-mbp.watson.ibm.com,-1.0,0.2814598083496094,Adult,FTTransformer,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7851314809959287,115.1127450466156,0,0,inwons-mbp.watson.ibm.com,-1.0,0.010120868682861328,Adult,ResNet,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7793975512991108,166.05497002601624,0,0,Unknown,-1.0,0.024068832397460938,Adult,MLPClassifier,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.8221386741596906,1.8029849529266357,0,0,Unknown,-1.0,0.0017194747924804688,Adult,LogisticRegression,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.713348903545534,0.043621063232421875,0,0,Unknown,-1.0,0.004011392593383789,Adult,GaussianNB,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7547644501373523,0.0032341480255126953,0,0,Unknown,-1.0,1.3623721599578857,Adult,KNeighborsClassifier,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.8440722664984994,50.62914037704468,0,0,Unknown,-1.0,0.06045246124267578,Adult,XGBClassifier,30,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7738465055854835,3357.0565168857574,0,0,inwons-mbp.watson.ibm.com,-1.0,0.2814598083496094,Adult,FTTransformer,30,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7851314809959287,115.1127450466156,0,0,inwons-mbp.watson.ibm.com,-1.0,0.010120868682861328,Adult,ResNet,30,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7793975512991108,166.05497002601624,0,0,Unknown,-1.0,0.024068832397460938,Adult,MLPClassifier,30,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.8221386741596906,1.8029849529266357,0,0,Unknown,-1.0,0.0017194747924804688,Adult,LogisticRegression,30,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.713348903545534,0.043621063232421875,0,0,Unknown,-1.0,0.004011392593383789,Adult,GaussianNB,30,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7547644501373523,0.0032341480255126953,0,0,Unknown,-1.0,1.3623721599578857,Adult,KNeighborsClassifier,30,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.8440722664984994,50.62914037704468,0,0,Unknown,-1.0,0.06045246124267578,Adult,XGBClassifier,40,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7738465055854835,3357.0565168857574,0,0,inwons-mbp.watson.ibm.com,-1.0,0.2814598083496094,Adult,FTTransformer,40,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7851314809959287,115.1127450466156,0,0,inwons-mbp.watson.ibm.com,-1.0,0.010120868682861328,Adult,ResNet,40,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
