age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.96131,Private,170036.84,HS-grad,9.003994,Married-spouse-absent,Other-service,Unmarried,Black,Female,2.5370917,-0.21092026,19.994385,United-States,<=50K
30.982134,Local-gov,377309.62,Prof-school,14.999822,Married-civ-spouse,Prof-specialty,Husband,White,Male,5.331281,-0.37734786,99.155914,Columbia,<=50K
27.001179,Private,211575.44,Preschool,1.0310754,Married-civ-spouse,Farming-fishing,Other-relative,White,Male,41360.848,-0.3007945,24.017763,Mexico,<=50K
64.97354,Private,109688.32,7th-8th,3.9988186,Widowed,Priv-house-serv,Not-in-family,White,Female,4.57945,3174.0046,59.962597,Puerto-Rico,<=50K
71.98193,Local-gov,144342.44,Doctorate,16.005838,Married-civ-spouse,Exec-managerial,Husband,White,Male,13.862532,1256.5947,39.97312,United-States,<=50K
27.031326,Private,1492245.8,Some-college,9.9918785,Married-civ-spouse,Exec-managerial,Husband,White,Male,-6.56679,-0.16817276,39.991817,United-States,<=50K
78.14976,Private,454576.16,1st-4th,2.0057256,Widowed,Handlers-cleaners,Other-relative,White,Male,10.861799,-0.030439302,19.996866,Nicaragua,<=50K
49.006042,?,31541.812,7th-8th,3.9897726,Married-civ-spouse,?,Husband,White,Male,6.8646064,-0.4401683,98.965355,United-States,<=50K
63.021793,?,444759.38,Bachelors,12.987922,Widowed,?,Not-in-family,Amer-Indian-Eskimo,Female,4.5264716,-0.2441005,55.972458,United-States,<=50K
35.970222,Self-emp-not-inc,239802.36,HS-grad,8.994166,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,41215.75,-0.31141463,89.924515,South,<=50K
52.048454,Federal-gov,22557.812,Bachelors,12.98635,Married-civ-spouse,Protective-serv,Husband,White,Male,4.513532,-0.3457698,60.078106,United-States,>50K
54.974194,Private,407387.53,9th,4.956194,Divorced,Craft-repair,Unmarried,White,Female,99879.13,0.015123443,36.997684,United-States,>50K
51.013283,Self-emp-not-inc,120554.66,Prof-school,15.00139,Married-civ-spouse,Prof-specialty,Husband,Other,Male,99933.16,-0.55985063,70.117355,India,>50K
60.974915,Private,194881.03,Preschool,1.0030679,Separated,Transport-moving,Not-in-family,Black,Male,14413.352,-0.28722945,39.999565,United-States,>50K
29.021547,Self-emp-not-inc,341629.47,HS-grad,9.00356,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Male,-21.924334,1556.9191,49.928947,India,>50K
26.997398,Private,603722.1,Bachelors,12.990933,Never-married,Sales,Not-in-family,White,Male,27943.213,-0.1165065,39.97718,United-States,>50K
24.06511,?,150946.39,Some-college,9.998849,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,99999.51,-0.4750575,50.008774,South,>50K
73.97389,State-gov,88968.68,Doctorate,15.973352,Never-married,Prof-specialty,Other-relative,White,Female,9.424177,3657.317,19.979933,United-States,>50K
29.00781,Private,119493.055,HS-grad,9.0027895,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,2.011457,-0.29129592,10.025777,China,>50K
77.02803,Self-emp-not-inc,73041.414,7th-8th,3.98963,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,5.723615,-0.100706026,20.0124,Italy,>50K
