age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30.30351,Private,177067.52,Some-college,10.15748,Never-married,Other-service,Not-in-family,White,Male,-8.509783,0.063860014,38.284008,United-States,<=50K
36.52707,Private,199253.84,11th,9.765172,Never-married,Other-service,Husband,White,Male,-9.538958,0.16359146,38.739174,England,<=50K
41.955658,Private,206695.5,11th,9.329114,Divorced,Other-service,Unmarried,White,Female,-9.06801,0.09754379,39.32216,United-States,<=50K
38.847996,Private,180309.47,Masters,12.726809,Divorced,Prof-specialty,Not-in-family,White,Female,-7.5340753,0.10901077,41.910267,United-States,<=50K
38.54039,?,190582.48,11th,9.250385,Never-married,?,Husband,White,Male,-8.486589,0.013078765,30.277466,United-States,<=50K
45.817123,Self-emp-not-inc,174694.08,HS-grad,9.647517,Married-civ-spouse,Craft-repair,Husband,White,Male,-11.007341,0.024911955,45.85102,United-States,<=50K
34.614758,Self-emp-not-inc,177294.45,11th,10.320584,Never-married,Other-service,Not-in-family,White,Male,-8.781511,0.008714751,39.250877,United-States,<=50K
41.977604,Private,184881.14,10th,6.3423877,Married-civ-spouse,Craft-repair,Husband,White,Male,-9.320574,0.03719528,39.983055,United-States,<=50K
26.773664,Private,192860.77,HS-grad,8.766604,Never-married,Craft-repair,Own-child,White,Male,-7.5330987,0.08091934,34.45495,United-States,<=50K
39.971306,Private,187905.3,Some-college,9.738204,Married-civ-spouse,Craft-repair,Husband,White,Male,-10.09804,0.03265579,42.28581,United-States,<=50K
47.646606,Private,207873.45,7th-8th,3.6893423,Married-civ-spouse,Craft-repair,Husband,White,Male,-10.659441,0.168871,37.819283,United-States,<=50K
54.341625,Private,173118.2,11th,9.6488695,Widowed,Other-service,Not-in-family,White,Female,-9.681902,0.06671341,34.933964,United-States,<=50K
21.737751,Private,197436.42,Some-college,9.360412,Never-married,Other-service,Own-child,White,Male,-6.613543,0.017854765,29.365307,United-States,<=50K
38.878628,Private,185382.62,11th,10.0040455,Divorced,Other-service,Husband,White,Male,-7.009173,1824.8562,40.570847,United-States,<=50K
40.627975,Private,180409.25,Bachelors,13.140714,Married-civ-spouse,Exec-managerial,Husband,White,Male,-9.335344,0.08807571,44.36531,United-States,<=50K
30.05714,Private,199021.16,HS-grad,8.816389,Never-married,Craft-repair,Not-in-family,White,Male,-8.653215,0.12875564,40.094547,United-States,<=50K
40.969093,Private,211933.19,9th,3.9792273,Married-civ-spouse,Craft-repair,Husband,White,Male,-11.958147,0.07697494,38.457615,United-States,<=50K
39.868183,Private,185915.67,HS-grad,8.990628,Married-civ-spouse,Craft-repair,Husband,White,Male,-12.299456,0.1658879,43.205498,United-States,<=50K
28.924002,Private,183374.45,Bachelors,13.019073,Never-married,Prof-specialty,Not-in-family,White,Male,-6.8764825,0.08786972,38.990036,United-States,<=50K
39.54192,Private,175891.64,11th,9.857369,Married-civ-spouse,Other-service,Wife,White,Female,-11.31032,0.086923674,35.519062,United-States,<=50K
43.914425,Private,191224.25,Masters,12.185529,Never-married,Exec-managerial,Not-in-family,White,Male,-6.0210137,0.07332046,46.502655,United-States,>50K
44.236248,Private,191442.86,Masters,13.055759,Married-civ-spouse,Exec-managerial,Husband,White,Male,-7.172259,2027.3668,45.60574,United-States,>50K
44.04338,Private,193063.73,Some-college,9.413323,Married-civ-spouse,Craft-repair,Husband,White,Male,-11.2470875,0.015314178,44.88986,United-States,>50K
43.378597,Private,238355.94,Assoc-acdm,11.751309,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.48277053,0.102899626,44.312054,United-States,>50K
44.258636,Private,180794.6,HS-grad,8.920883,Married-civ-spouse,Craft-repair,Husband,White,Male,-9.937639,0.16399582,44.31497,United-States,>50K
45.6712,Self-emp-inc,177848.48,11th,9.811928,Married-civ-spouse,Exec-managerial,Husband,White,Male,-0.8645195,-0.030263826,55.469906,United-States,>50K
43.783577,Private,191384.52,Masters,12.010724,Married-civ-spouse,Prof-specialty,Husband,White,Male,-3.2445245,0.19448288,44.897552,England,>50K
46.50124,Private,185072.25,Masters,13.055407,Married-civ-spouse,Exec-managerial,Husband,White,Male,100038.4,0.11958511,50.720085,United-States,>50K
43.839264,Local-gov,191959.02,Masters,11.843495,Married-civ-spouse,Prof-specialty,Husband,White,Male,-2.596209,0.090051726,44.22171,United-States,>50K
44.770992,Private,183532.62,11th,9.60791,Married-civ-spouse,Exec-managerial,Husband,White,Male,-8.476824,1909.7329,47.946514,United-States,>50K
45.09717,Private,187746.12,Masters,14.003483,Married-civ-spouse,Exec-managerial,Husband,White,Male,-8.24782,0.05999954,47.30801,United-States,>50K
43.337193,Private,179239.89,Bachelors,12.998836,Married-civ-spouse,Exec-managerial,Husband,White,Male,-9.488176,0.08244522,45.28421,United-States,>50K
40.80669,Private,182350.7,Masters,11.537865,Married-civ-spouse,Prof-specialty,Wife,White,Female,-8.380754,0.07420547,38.137814,United-States,>50K
45.138714,Private,182353.16,11th,9.4591875,Married-civ-spouse,Exec-managerial,Husband,White,Male,7310.168,0.19948776,44.77354,United-States,>50K
42.337982,Private,193918.42,Masters,11.985055,Never-married,Exec-managerial,Not-in-family,White,Male,11773.148,0.123338774,46.087284,United-States,>50K
45.981075,Self-emp-inc,181363.27,Prof-school,15.35599,Married-civ-spouse,Prof-specialty,Husband,White,Male,-7.894915,0.10691269,48.116463,United-States,>50K
