age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.781437,Private,179548.72,HS-grad,9.044336,Never-married,Craft-repair,Not-in-family,Other,Female,25.746931,-2.4129238,41.293053,United-States,<=50K
24.405272,Private,182507.58,HS-grad,9.210213,Never-married,Adm-clerical,Own-child,Other,Female,10.824446,-1.0685099,39.764317,United-States,<=50K
39.88509,Private,177560.14,HS-grad,8.766748,Married-civ-spouse,Craft-repair,Husband,Other,Female,12.456892,-2.13101,41.333157,United-States,<=50K
41.472538,State-gov,168318.48,Assoc-voc,13.500689,Never-married,Prof-specialty,Not-in-family,Other,Female,44.3148,-2.477621,40.535847,United-States,<=50K
44.260887,Private,167752.92,HS-grad,9.227468,Divorced,Adm-clerical,Not-in-family,Other,Female,17.341658,-1.3078059,39.46357,United-States,<=50K
20.431295,Private,191787.33,Assoc-acdm,8.840583,Never-married,Other-service,Own-child,Other,Female,10.988386,-1.0180491,20.900478,United-States,<=50K
23.750483,?,180640.58,HS-grad,9.213289,Never-married,?,Own-child,Other,Female,-37.90578,-1.9953059,35.672443,United-States,<=50K
42.19335,Private,176303.53,Bachelors,13.236581,Married-civ-spouse,Exec-managerial,Husband,Other,Female,43.86668,-2.1227856,41.83746,United-States,<=50K
42.273685,Private,175618.03,HS-grad,8.755636,Married-civ-spouse,Other-service,Husband,Other,Female,16.246565,-1.8584574,42.394283,United-States,<=50K
40.82939,Private,165580.88,Bachelors,11.460587,Married-civ-spouse,Protective-serv,Husband,Other,Female,29.822615,-1.5742396,43.496338,United-States,<=50K
27.92694,Private,182724.31,HS-grad,8.769987,Never-married,Other-service,Not-in-family,Other,Female,12.665388,-1.3768061,40.723766,United-States,<=50K
20.881899,Private,173915.28,Assoc-acdm,9.237712,Never-married,Tech-support,Own-child,Other,Female,10.116072,-1.4140757,19.403528,United-States,<=50K
63.171597,Self-emp-not-inc,165515.38,HS-grad,8.997223,Married-civ-spouse,Prof-specialty,Husband,Other,Female,41.385967,-0.7498912,15.868972,United-States,<=50K
26.497557,Private,184999.44,Bachelors,10.136717,Never-married,Sales,Not-in-family,Other,Female,17.99925,-1.1906413,40.804527,United-States,<=50K
53.029778,Private,171889.78,HS-grad,8.830525,Separated,Adm-clerical,Not-in-family,Other,Female,27.571028,-1.0549372,36.91891,United-States,<=50K
44.47932,Private,197983.3,1st-4th,4.813776,Married-civ-spouse,Machine-op-inspct,Husband,Other,Female,40.312237,-0.71950334,40.21545,United-States,<=50K
42.34603,Local-gov,162783.27,HS-grad,9.430055,Divorced,Adm-clerical,Not-in-family,Other,Female,20.542341,-1.2793254,39.51904,United-States,<=50K
39.27023,Private,169836.12,Bachelors,10.182213,Married-civ-spouse,Exec-managerial,Husband,Other,Female,24.520857,-2.6371212,42.492405,United-States,<=50K
32.69768,Private,223213.4,HS-grad,9.196441,Never-married,Adm-clerical,Own-child,Black,Female,-2.0468926,-1.2623194,39.35094,United-States,<=50K
28.589,Private,180517.42,Bachelors,13.023786,Never-married,Sales,Not-in-family,Other,Female,27.812483,-2.5383053,40.240696,United-States,<=50K
