age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.86631,Self-emp-inc,338102.94,HS-grad,8.997124,Married-civ-spouse,Exec-managerial,Husband,White,Male,109.559555,4.980918,49.994457,United-States,>50K
54.062515,Self-emp-inc,52613.527,7th-8th,4.0077653,Married-civ-spouse,Transport-moving,Husband,White,Male,124.23326,3.5946872,70.350624,United-States,<=50K
40.996418,Private,69279.71,Some-college,9.9932575,Never-married,Craft-repair,Unmarried,White,Male,-214.93666,3023.09,59.832317,?,>50K
69.90861,?,172906.14,Bachelors,12.986669,Married-civ-spouse,?,Husband,White,Male,-90.922745,-1.5781184,5.7875214,United-States,<=50K
37.03524,Local-gov,483528.6,Bachelors,12.995944,Never-married,Other-service,Not-in-family,Black,Male,-93.23183,-4.886201,59.916912,United-States,<=50K
30.246214,Private,19833.2,Bachelors,12.994169,Married-AF-spouse,Sales,Wife,Asian-Pac-Islander,Female,-181.23573,-5.9402933,59.883034,Philippines,>50K
56.00203,Self-emp-inc,75775.89,HS-grad,8.982864,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,-60.28603,-1.5044872,21.089117,China,<=50K
75.550186,Private,84132.56,Bachelors,12.989617,Widowed,Exec-managerial,Other-relative,Asian-Pac-Islander,Male,-310.6945,-9.567155,32.342827,China,<=50K
41.052933,Private,43086.37,Bachelors,13.000681,Divorced,Other-service,Not-in-family,White,Female,-180.83388,-5.251893,98.93659,United-States,<=50K
89.74377,Local-gov,188325.23,HS-grad,8.98713,Never-married,Craft-repair,Own-child,White,Male,12029.572,-2.9831097,39.903862,United-States,>50K
37.004143,Private,356329.78,HS-grad,8.99132,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,-51.0165,-1.5223399,39.9379,South,<=50K
41.997208,State-gov,118351.28,Assoc-acdm,11.987581,Divorced,Tech-support,Not-in-family,Black,Female,-30.31313,1975.1523,39.87547,United-States,<=50K
28.08024,Private,605103.75,Doctorate,15.964719,Never-married,Prof-specialty,Not-in-family,White,Female,42.419292,-0.10398975,59.986973,Germany,>50K
61.92128,Local-gov,166915.02,Doctorate,15.984781,Widowed,Prof-specialty,Unmarried,White,Female,-212.16469,-7.6434183,39.815815,Iran,<=50K
60.988495,Private,80939.71,5th-6th,3.002296,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,7043.741,-2.387666,39.89374,Philippines,>50K
52.07507,Private,129134.14,Bachelors,12.993765,Widowed,Other-service,Not-in-family,White,Female,-61.766254,2828.9778,20.1619,United-States,>50K
70.955315,?,177336.78,Bachelors,12.987831,Married-civ-spouse,?,Husband,White,Male,-94.51625,-1.808488,10.221216,United-States,>50K
61.05471,Private,195169.47,Preschool,0.96343076,Separated,Transport-moving,Not-in-family,Black,Male,13880.2,-2.199937,39.90658,United-States,>50K
22.973368,Private,111096.55,HS-grad,8.996955,Married-civ-spouse,Exec-managerial,Husband,White,Male,77.04613,1574.0126,40.012806,United-States,<=50K
31.985216,Private,199341.73,Some-college,9.994629,Married-civ-spouse,Adm-clerical,Wife,Other,Female,-118.87904,1735.4009,39.865486,?,<=50K
58.025494,Federal-gov,72478.53,11th,6.989622,Divorced,Craft-repair,Not-in-family,Black,Female,14149.555,-4.1982584,39.88834,United-States,>50K
78.71412,Local-gov,145254.38,Doctorate,15.985291,Widowed,Prof-specialty,Unmarried,White,Female,-205.82484,-6.0463724,39.856007,United-States,<=50K
54.93079,Federal-gov,174427.03,Bachelors,12.999034,Separated,Other-service,Unmarried,White,Female,-266.77017,-9.837327,71.6367,?,<=50K
