model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.805,0.804,0.804,0.805,0.059,0.059,0.059,0.059,13.178,44.554,0.777,0.716,0.769,0.752,0.86,8e-06,original,0.01,5,,,,
rf,random,0.786,0.784,0.784,0.786,0.04,0.04,0.04,0.04,7.659,0.311,0.785,0.722,0.774,0.758,0.882,1.1e-05,original,0.01,5,,,,
svc,random,0.795,0.794,0.794,0.795,0.053,0.053,0.053,0.053,1.254,0.021,0.796,0.743,0.795,0.782,0.88,1e-05,original,0.01,5,,,,
logreg,random,0.819,0.819,0.819,0.819,0.044,0.044,0.044,0.044,4.252,0.01,0.792,0.74,0.793,0.78,0.878,6e-06,original,0.01,5,,,,
mlp,random,0.814,0.813,0.813,0.814,0.051,0.051,0.051,0.051,8.034,24.454,0.791,0.722,0.771,0.754,0.879,2e-05,original,0.01,5,,,,
naive_bayes,random,0.714,0.693,0.693,0.714,0.054,0.07,0.07,0.054,5.519,0.001,0.7,0.573,0.603,0.581,0.764,1e-06,original,0.01,5,,,,
knn,random,0.79,0.789,0.789,0.79,0.071,0.071,0.071,0.071,7.068,0.001,0.771,0.708,0.761,0.743,0.844,5.3e-05,original,0.01,5,,,,
xgb,k-means,0.919,0.919,0.919,0.919,0.047,0.047,0.047,0.047,5.742,0.041,0.693,0.703,0.789,0.795,0.834,2e-06,original,0.01,5,0,0,0,0.6897377967834473
rf,k-means,0.914,0.914,0.914,0.914,0.032,0.032,0.032,0.032,7.537,0.352,0.762,0.753,0.817,0.814,0.868,1.5e-05,original,0.01,5,0,0,0,0.6897377967834473
svc,k-means,0.814,0.814,0.814,0.814,0.032,0.032,0.032,0.032,6.468,0.013,0.781,0.728,0.782,0.768,0.863,1.7e-05,original,0.01,5,0,0,0,0.6897377967834473
logreg,k-means,0.833,0.833,0.833,0.833,0.043,0.042,0.042,0.043,5.991,0.008,0.792,0.738,0.79,0.776,0.873,9e-06,original,0.01,5,0,0,0,0.6897377967834473
mlp,k-means,0.8,0.799,0.799,0.8,0.024,0.024,0.024,0.024,5.46,3.399,0.8,0.737,0.787,0.772,0.879,1.3e-05,original,0.01,5,0,0,0,0.6897377967834473
naive_bayes,k-means,0.705,0.693,0.693,0.705,0.067,0.069,0.069,0.067,6.899,0.001,0.699,0.572,0.602,0.58,0.727,1e-06,original,0.01,5,0,0,0,0.6897377967834473
