age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23.014906,Private,344477.72,5th-6th,10.009223,Divorced,Exec-managerial,Unmarried,Other,Female,-17.647478,0.47039232,24.985544,United-States,<=50K
37.937035,Private,210679.64,5th-6th,9.994019,Married-civ-spouse,Craft-repair,Husband,Other,Female,5.872785,2031.9119,40.00906,Columbia,<=50K
44.905514,Private,77411.58,Bachelors,12.9927635,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,-24.554094,-0.203741,39.996845,Japan,>50K
66.40423,?,185140.5,5th-6th,10.017534,Married-spouse-absent,?,Unmarried,Black,Female,76.62102,4292.4595,40.016293,United-States,<=50K
36.890347,Self-emp-inc,257731.03,5th-6th,9.998073,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,29.743391,-0.665533,75.172646,Thailand,>50K
43.225906,Private,57845.844,Doctorate,16.030264,Married-spouse-absent,Prof-specialty,Not-in-family,Other,Female,-49.83254,0.38758287,39.98809,?,<=50K
64.82586,Local-gov,145079.44,Masters,14.02089,Married-civ-spouse,Prof-specialty,Husband,Other,Female,91.62822,1649.6168,3.8244674,Greece,<=50K
30.976292,Private,195634.31,Doctorate,16.052355,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,-53.995502,0.3018895,59.949837,China,<=50K
58.905144,Self-emp-not-inc,381621.75,HS-grad,9.016063,Married-civ-spouse,Sales,Husband,Other,Female,63.90916,1742.463,80.21677,United-States,<=50K
42.94087,Private,154941.83,Assoc-acdm,11.99522,Divorced,Craft-repair,Not-in-family,Other,Female,11.600569,2450.7673,70.065094,United-States,>50K
27.17015,State-gov,553480.06,Bachelors,13.017177,Married-civ-spouse,Protective-serv,Not-in-family,Black,Female,35.58421,0.16390426,47.858734,United-States,<=50K
31.890394,Private,177895.23,Bachelors,12.990683,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,-27.68532,0.23935135,45.0242,India,<=50K
52.89864,Self-emp-inc,134775.73,Assoc-voc,10.989244,Married-civ-spouse,Exec-managerial,Husband,Other,Female,-8.824236,-0.6009883,40.012203,Greece,>50K
