age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25.715162,Private,188363.52,Some-college,9.948607,Never-married,Adm-clerical,Own-child,White,Female,-1.9177421,-0.28305617,31.777075,United-States,<=50K
61.085155,Private,168620.88,HS-grad,9.747092,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.49025193,-0.38149062,24.041664,United-States,<=50K
42.943844,Private,183011.89,Some-college,9.688714,Married-civ-spouse,Adm-clerical,Husband,White,Male,-2.1262383,-0.35497084,44.393414,United-States,<=50K
42.807236,Private,183967.86,HS-grad,9.624001,Never-married,Adm-clerical,Not-in-family,White,Female,0.96397173,-0.3782405,37.71284,United-States,<=50K
24.083183,Private,187116.77,11th,6.4156375,Never-married,Other-service,Own-child,White,Male,-2.2527032,-0.39549056,31.676888,United-States,<=50K
36.46251,Private,172488.61,HS-grad,10.768447,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Male,-1.6877617,-0.4567012,39.817883,Columbia,<=50K
44.255703,Private,171819.05,Bachelors,13.113632,Divorced,Adm-clerical,Not-in-family,White,Female,-1.4311699,-0.41975966,41.545372,United-States,<=50K
33.90308,Private,222459.72,HS-grad,9.087361,Never-married,Adm-clerical,Not-in-family,White,Male,-2.038836,-0.42334548,38.050167,Columbia,<=50K
39.8338,Private,175471.11,HS-grad,8.95985,Divorced,Adm-clerical,Not-in-family,White,Male,-1.2102226,-0.41092482,43.331257,United-States,<=50K
38.87351,Private,172379.47,HS-grad,9.641828,Married-civ-spouse,Adm-clerical,Wife,White,Female,-2.3631768,-0.39066115,35.831703,United-States,<=50K
27.720186,Private,287056.97,HS-grad,8.893857,Never-married,Other-service,Own-child,Black,Male,-1.2957939,-0.40672103,37.04589,United-States,<=50K
40.301018,Private,169712.34,HS-grad,9.019336,Married-civ-spouse,Craft-repair,Husband,White,Male,-1.2850517,-0.3937663,42.948242,United-States,<=50K
42.26404,Private,174987.77,Some-college,9.875512,Divorced,Adm-clerical,Unmarried,White,Female,-2.9334893,-0.35473433,39.286274,United-States,<=50K
41.446724,Private,178311.16,Bachelors,13.292411,Married-civ-spouse,Adm-clerical,Husband,White,Male,-0.966082,-0.40600386,45.200405,United-States,<=50K
24.865305,Private,181440.97,HS-grad,8.501893,Never-married,Other-service,Own-child,White,Female,-3.3540215,-0.35979262,32.07159,United-States,<=50K
35.995556,Private,184969.33,HS-grad,10.278246,Never-married,Adm-clerical,Not-in-family,White,Female,-0.3690361,1773.4885,39.24219,United-States,<=50K
24.728874,Private,193767.38,Some-college,9.999737,Never-married,Prof-specialty,Own-child,White,Male,-3.045794,-0.36037245,35.39559,United-States,<=50K
44.901237,Private,146465.64,HS-grad,9.531297,Married-civ-spouse,Farming-fishing,Husband,White,Male,-2.2848077,-0.40060225,48.4117,United-States,<=50K
40.456657,Private,179913.03,HS-grad,8.7242365,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-2.4470391,-0.3569316,43.203316,United-States,<=50K
27.363417,Private,174105.8,HS-grad,8.679073,Never-married,Protective-serv,Own-child,White,Male,-1.1851982,-0.3927211,39.574425,United-States,<=50K
41.256702,Private,185528.36,Assoc-voc,11.954302,Divorced,Prof-specialty,Not-in-family,White,Female,-2.8176446,-0.42429915,40.073895,United-States,<=50K
58.926655,Private,173845.75,HS-grad,9.450549,Widowed,Adm-clerical,Not-in-family,White,Female,-3.3005548,-0.37632552,32.591976,United-States,<=50K
40.659214,Private,164354.19,Some-college,10.004116,Married-civ-spouse,Craft-repair,Husband,White,Male,-2.5378594,-0.37126723,40.884903,United-States,<=50K
38.379757,Private,281068.84,HS-grad,9.297399,Married-civ-spouse,Protective-serv,Husband,White,Male,-1.6290458,-0.41799727,41.72625,United-States,<=50K
41.789032,Private,185098.36,HS-grad,8.920151,Divorced,Adm-clerical,Unmarried,White,Female,-2.5235772,-0.3743724,38.025524,United-States,<=50K
31.815704,Private,182976.62,Some-college,11.205624,Never-married,Tech-support,Not-in-family,White,Female,-1.0301689,-0.32486525,38.357056,United-States,<=50K
39.599895,Private,232289.67,HS-grad,9.422123,Married-civ-spouse,Adm-clerical,Husband,White,Male,-0.6256279,-0.4125041,41.403454,Columbia,<=50K
51.365158,Private,188278.11,7th-8th,4.6990833,Married-civ-spouse,Protective-serv,Husband,White,Male,-2.4897637,-0.3918132,38.652603,United-States,<=50K
44.91074,Private,235312.38,1st-4th,1.9019688,Married-civ-spouse,Adm-clerical,Husband,White,Male,-2.1493096,-0.39826003,37.738995,United-States,<=50K
41.324215,Private,193000.73,HS-grad,8.971677,Divorced,Other-service,Unmarried,White,Female,-1.9996513,-0.4139308,37.659264,United-States,<=50K
33.262383,Private,689990.06,HS-grad,9.62466,Never-married,Adm-clerical,Unmarried,White,Female,-3.792498,-0.3880824,36.606846,United-States,<=50K
22.363867,?,187638.34,Some-college,9.263379,Never-married,?,Own-child,White,Female,-1.0622734,-0.39253035,32.07889,United-States,<=50K
24.07777,Private,198744.75,Some-college,10.042203,Never-married,Sales,Own-child,White,Female,1.5289131,-0.3165492,33.336334,United-States,<=50K
30.08576,Private,190909.31,Assoc-voc,11.434125,Never-married,Adm-clerical,Not-in-family,White,Female,-2.1244073,-0.36414137,39.454815,United-States,<=50K
41.8362,Private,180824.33,Assoc-voc,11.740314,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.8731865,-0.41770735,42.534615,United-States,<=50K
36.48274,Private,259855.39,5th-6th,3.3135965,Married-civ-spouse,Other-service,Husband,White,Male,-1.7306083,-0.41871443,40.13453,Mexico,<=50K
36.259163,Private,181505.19,Masters,14.114818,Never-married,Prof-specialty,Not-in-family,White,Female,-0.6773857,-0.3569316,41.38075,United-States,<=50K
40.024555,Private,177878.56,HS-grad,9.595591,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.7041191,-0.38559523,81.3153,United-States,<=50K
48.705555,?,185414.38,HS-grad,9.002921,Divorced,?,Not-in-family,White,Female,0.1531807,-0.38435927,29.675964,United-States,<=50K
44.81221,Private,185012.34,HS-grad,9.226141,Married-civ-spouse,Adm-clerical,Husband,White,Male,1.2259346,1840.109,43.40711,United-States,<=50K
29.315155,Private,183832.31,Bachelors,12.995496,Never-married,Adm-clerical,Not-in-family,White,Female,-1.4347099,-0.36791793,38.84565,United-States,<=50K
45.044025,Private,193497.61,11th,5.818664,Married-civ-spouse,Craft-repair,Husband,White,Male,0.18882523,-0.36958876,41.92524,United-States,<=50K
30.413342,Private,123037.55,HS-grad,9.2679615,Never-married,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,-2.573504,-0.42191115,36.024494,United-States,<=50K
53.616844,Private,180535.62,7th-8th,4.8412247,Divorced,Other-service,Not-in-family,White,Female,-3.516253,-0.376089,33.79937,United-States,<=50K
29.965488,Private,200282.31,Bachelors,12.993115,Never-married,Adm-clerical,Not-in-family,White,Male,-0.8466972,-0.3968257,40.247463,United-States,<=50K
40.75102,Private,193555.62,Some-college,9.995071,Divorced,Adm-clerical,Not-in-family,White,Male,-2.7303643,-0.4038066,43.159603,United-States,<=50K
19.111057,Private,183164.66,11th,6.859642,Never-married,Sales,Own-child,White,Female,-3.0226007,-0.35334578,22.071823,United-States,<=50K
41.472034,Private,193005.11,11th,6.0581145,Divorced,Other-service,Unmarried,White,Female,-1.8767265,-0.40093794,38.027817,United-States,<=50K
26.995615,Private,199365.4,HS-grad,8.984491,Never-married,Adm-clerical,Own-child,White,Male,-2.0905938,-0.36964217,40.10795,United-States,<=50K
28.729807,Private,186229.61,HS-grad,8.981123,Never-married,Adm-clerical,Not-in-family,White,Female,-2.167132,-0.30235854,37.658447,United-States,<=50K
41.96158,Private,181603.3,Bachelors,12.997695,Married-civ-spouse,Exec-managerial,Husband,White,Male,-0.73256147,-0.38001052,46.98482,United-States,>50K
44.06533,Private,175761.38,HS-grad,8.999565,Married-civ-spouse,Adm-clerical,Husband,White,Male,-1.8748955,-0.35902968,45.494366,United-States,>50K
45.66531,Private,181350.52,Bachelors,13.377295,Divorced,Exec-managerial,Not-in-family,White,Female,-1.6342949,-0.42014876,46.744137,United-States,>50K
43.89463,Private,176859.86,Some-college,10.63855,Married-civ-spouse,Protective-serv,Husband,White,Male,7778.309,-0.40112868,44.707935,United-States,>50K
37.56258,Private,191692.23,Bachelors,13.24499,Never-married,Adm-clerical,Not-in-family,White,Male,-1.0426201,-0.37169448,48.39831,United-States,>50K
47.03763,Self-emp-inc,198881.9,Some-college,9.473724,Married-civ-spouse,Exec-managerial,Husband,White,Male,-0.58461225,-0.38793746,47.73427,United-States,>50K
45.01299,Private,180450.61,Masters,14.413448,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.14243852,-0.3950099,45.591198,United-States,>50K
46.479122,Private,185054.69,Bachelors,13.08325,Married-civ-spouse,Adm-clerical,Husband,White,Male,99991.01,-0.31669417,50.71119,United-States,>50K
44.716805,Private,199518.33,HS-grad,10.9638815,Married-civ-spouse,Adm-clerical,Husband,White,Male,-0.14088668,-0.43314162,46.59825,?,>50K
41.927273,Private,182237.28,Bachelors,12.500921,Married-civ-spouse,Adm-clerical,Husband,White,Male,-2.635882,-0.44743147,45.985817,Japan,>50K
43.32664,Private,183055.0,Assoc-voc,11.46027,Married-civ-spouse,Protective-serv,Husband,White,Male,-1.9051689,-0.40647689,44.8559,United-States,>50K
39.98038,Private,177581.03,Bachelors,12.059762,Married-civ-spouse,Prof-specialty,Wife,White,Female,-2.2883477,-0.4232997,36.683975,United-States,>50K
42.745373,Private,189265.9,Some-college,9.71829,Divorced,Prof-specialty,Not-in-family,White,Male,-3.0244317,-0.4010829,44.876377,United-States,>50K
43.451622,Private,197590.77,Bachelors,12.486417,Married-civ-spouse,Adm-clerical,Husband,White,Male,2.4181952,1960.146,46.822346,United-States,>50K
44.149284,State-gov,168439.33,Bachelors,13.074488,Married-civ-spouse,Prof-specialty,Husband,White,Male,1.6822335,-0.38922682,44.372787,United-States,>50K
41.27519,Private,170360.53,HS-grad,10.820034,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.2440361,-0.42258254,83.04754,United-States,>50K
41.39505,Private,188105.92,HS-grad,9.379847,Married-civ-spouse,Adm-clerical,Wife,White,Female,-2.6715264,-0.3551158,37.497967,United-States,>50K
45.756683,Private,188511.33,Some-college,9.386145,Married-civ-spouse,Adm-clerical,Husband,White,Male,1.0851876,1902.8464,46.202442,United-States,>50K
44.39198,Private,191727.89,HS-grad,9.031275,Married-civ-spouse,Adm-clerical,Husband,White,Male,6879.285,-0.41101637,44.722782,United-States,>50K
44.865894,Private,194279.52,Bachelors,12.97408,Married-civ-spouse,Exec-managerial,Husband,White,Male,9555.578,-0.41646376,47.048862,United-States,>50K
63.330147,State-gov,179798.58,Bachelors,11.660548,Married-civ-spouse,?,Husband,White,Male,1.5966622,-0.39175978,25.938723,United-States,>50K
40.66786,Private,512647.66,Bachelors,12.7341385,Married-civ-spouse,Prof-specialty,Husband,White,Male,-1.2191337,-0.43404952,45.19567,United-States,>50K
48.42496,Private,188730.36,10th,5.622939,Married-civ-spouse,Protective-serv,Husband,White,Male,-2.1635919,-0.386938,42.91882,United-States,>50K
40.62093,Private,190554.69,Bachelors,13.374285,Never-married,Exec-managerial,Not-in-family,White,Male,12955.477,-0.41354933,46.04792,United-States,>50K
43.18767,Private,168771.73,Some-college,10.000209,Married-civ-spouse,Sales,Husband,White,Male,-2.0566583,-0.2988719,47.484238,United-States,>50K
42.00459,Private,167158.66,Bachelors,12.991333,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.5721611,-0.38831893,44.6157,United-States,>50K
42.333473,Private,172393.38,Masters,13.30691,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-0.08387985,-0.31731978,44.290413,United-States,>50K
43.014587,Private,170429.6,HS-grad,11.458684,Married-civ-spouse,Adm-clerical,Wife,White,Female,8935.544,-0.42908278,38.35889,United-States,>50K
