age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
34.054188,Private,180960.95,Some-college,9.998952,Married-civ-spouse,Craft-repair,Husband,White,Male,31.916363,0.22298321,52.87353,United-States,<=50K
48.97064,Private,124361.04,HS-grad,8.982007,Divorced,Adm-clerical,Not-in-family,White,Male,70.31456,-0.496339,31.95197,United-States,<=50K
29.573494,Private,157043.52,Masters,13.989323,Never-married,Prof-specialty,Not-in-family,White,Female,62.57078,-1.833337,42.69752,United-States,<=50K
17.98048,Private,152423.7,Some-college,9.969186,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,75.258286,-1.8820049,15.955887,United-States,<=50K
38.998238,Private,196663.33,HS-grad,8.984892,Divorced,Farming-fishing,Not-in-family,White,Male,69.12938,-1.2179958,43.037746,United-States,<=50K
20.505669,Private,100944.42,HS-grad,8.981161,Never-married,Machine-op-inspct,Own-child,White,Female,60.05308,-0.49549213,39.947803,United-States,<=50K
56.950294,Private,321616.78,Some-college,10.0028515,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.20933,-0.30912128,40.03923,United-States,<=50K
40.27581,Private,195342.9,Some-college,9.988435,Divorced,Adm-clerical,Not-in-family,Black,Female,72.28038,-0.34369007,38.400795,United-States,<=50K
24.44031,Private,181023.47,Some-college,9.976106,Never-married,Adm-clerical,Not-in-family,White,Female,62.78697,-1.0576717,39.64266,United-States,<=50K
38.566555,Self-emp-not-inc,102685.64,HS-grad,9.0059395,Married-civ-spouse,Exec-managerial,Husband,White,Male,43.26109,-1.0124675,53.273422,United-States,<=50K
26.418777,Private,177102.92,HS-grad,8.996199,Married-civ-spouse,Craft-repair,Husband,White,Male,40.466167,-0.22815815,39.990044,United-States,<=50K
18.202814,Private,164362.75,10th,5.948786,Never-married,Sales,Own-child,White,Female,47.887066,-2.7646725,19.114998,United-States,<=50K
21.980127,Self-emp-not-inc,249803.42,Some-college,9.977021,Never-married,Other-service,Own-child,White,Male,78.47533,-1.4785625,34.848904,United-States,<=50K
21.854958,Private,217012.38,HS-grad,8.980753,Never-married,Craft-repair,Own-child,White,Male,71.26561,-0.6686717,39.695633,United-States,<=50K
72.072845,Private,98071.82,7th-8th,3.989398,Married-civ-spouse,Other-service,Husband,White,Male,80.98277,-1.1019603,19.98136,United-States,<=50K
50.037754,Private,204886.56,Some-college,9.994058,Divorced,Adm-clerical,Not-in-family,White,Female,61.759502,-0.12792316,40.194115,United-States,<=50K
25.073854,Private,182370.69,HS-grad,8.9747925,Never-married,Prof-specialty,Not-in-family,White,Female,52.74693,-2.3994381,37.60403,United-States,<=50K
60.116905,Private,211430.89,9th,5.050332,Married-civ-spouse,Craft-repair,Husband,White,Male,31.354351,-0.57502854,44.370056,United-States,<=50K
25.045431,Private,63426.01,Bachelors,12.97853,Never-married,Exec-managerial,Own-child,White,Male,4587.0815,-1.0578929,44.99583,United-States,<=50K
46.39431,Private,93213.69,Bachelors,12.994081,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.07945,-0.3808147,40.880466,United-States,<=50K
62.13473,Self-emp-inc,184108.97,Masters,14.003982,Married-civ-spouse,Sales,Husband,White,Male,57.090435,-0.4306728,37.940285,United-States,<=50K
49.819996,Private,268478.47,11th,6.9663014,Separated,Other-service,Not-in-family,Black,Female,64.63072,-2.2241528,33.42811,United-States,<=50K
