model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,11.436,0.021,0.716,0.69,0.761,0.75,0.817,0.0,original,10,5,,,,,
rf,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,16.138,0.333,0.768,0.721,0.778,0.764,0.851,8e-06,original,10,5,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,4.951,0.001,0.658,0.628,0.706,0.687,0.406,3e-06,original,10,5,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,5.26,0.006,0.694,0.704,0.79,0.796,0.84,7e-06,original,10,5,,,,,
mlp,random,0.75,0.747,0.747,0.75,0.387,0.387,0.387,0.387,6.697,0.872,0.746,0.718,0.783,0.773,0.84,7e-06,original,10,5,,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.483,0.001,0.632,0.608,0.692,0.674,0.697,2e-06,original,10,5,,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.326,0.001,0.573,0.576,0.724,0.766,0.76,3.1e-05,original,10,5,,,,,
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,6.467,0.042,0.5,0.193,0.092,0.239,0.558,1e-06,original,10,5,,,,,0.47845911979675293
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,17.22,0.456,0.5,0.193,0.092,0.239,0.846,1e-05,original,10,5,,,,,0.47845911979675293
svc,k-means,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,6.048,0.002,0.798,0.75,0.803,0.791,0.878,2e-06,original,10,5,,,,,0.47845911979675293
logreg,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,6.393,0.005,0.767,0.757,0.82,0.817,0.871,7e-06,original,10,5,,,,,0.47845911979675293
mlp,k-means,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,6.64,0.809,0.8,0.762,0.815,0.805,0.885,1e-05,original,10,5,,,,,0.47845911979675293
naive_bayes,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,5.762,0.001,0.742,0.722,0.789,0.782,0.793,1e-06,original,10,5,,,,,0.47845911979675293
knn,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.251,0.001,0.774,0.711,0.764,0.747,0.842,2e-06,original,10,5,,,,,0.47845911979675293
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.562,0.014,0.553,0.541,0.712,0.777,0.676,2e-06,original,10,5,,,,,106.86064672470093
rf,ag,0.7,0.653,0.653,0.7,0.1,0.16,0.16,0.1,15.754,0.364,0.574,0.343,0.301,0.353,0.861,7e-06,original,10,5,,,,,106.86064672470093
svc,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,6.645,0.002,0.796,0.736,0.787,0.772,0.875,3e-06,original,10,5,,,,,106.86064672470093
logreg,ag,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,6.773,0.008,0.775,0.75,0.809,0.801,0.876,6e-06,original,10,5,,,,,106.86064672470093
mlp,ag,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,5.894,0.868,0.789,0.749,0.804,0.793,0.875,8e-06,original,10,5,,,,,106.86064672470093
naive_bayes,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,5.676,0.001,0.724,0.646,0.698,0.674,0.737,1e-06,original,10,5,,,,,106.86064672470093
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.329,0.001,0.775,0.704,0.755,0.737,0.843,1.4e-05,original,10,5,,,,,106.86064672470093
xgb,k_center,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,6.294,0.026,0.661,0.627,0.702,0.682,0.729,1e-06,original,10,5,,,,,0.47449517250061035
rf,k_center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,13.581,0.407,0.61,0.515,0.556,0.528,0.7,1.1e-05,original,10,5,,,,,0.47449517250061035
svc,k_center,0.4,0.353,0.353,0.4,0.255,0.251,0.251,0.255,5.953,0.002,0.578,0.486,0.524,0.496,0.371,3e-06,original,10,5,,,,,0.47449517250061035
logreg,k_center,0.45,0.347,0.347,0.45,0.245,0.232,0.232,0.245,6.209,0.009,0.529,0.408,0.423,0.409,0.554,6e-06,original,10,5,,,,,0.47449517250061035
mlp,k_center,0.35,0.273,0.273,0.35,0.2,0.167,0.167,0.2,6.794,1.886,0.554,0.424,0.437,0.425,0.641,1e-05,original,10,5,,,,,0.47449517250061035
naive_bayes,k_center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,7.1,0.001,0.524,0.498,0.583,0.551,0.549,2e-06,original,10,5,,,,,0.47449517250061035
knn,k_center,0.55,0.507,0.507,0.55,0.292,0.297,0.297,0.292,5.402,0.001,0.555,0.511,0.582,0.549,0.557,1.4e-05,original,10,5,,,,,0.47449517250061035
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.981,0.019,0.391,0.205,0.153,0.218,0.213,1e-06,original,10,5,,,,,4.26524543762207
rf,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,16.511,0.323,0.23,0.235,0.305,0.259,0.161,1e-05,original,10,5,,,,,4.26524543762207
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.692,0.001,0.335,0.182,0.139,0.191,0.157,2e-06,original,10,5,,,,,4.26524543762207
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.198,0.006,0.34,0.174,0.123,0.186,0.15,8e-06,original,10,5,,,,,4.26524543762207
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.706,1.518,0.247,0.229,0.275,0.239,0.166,8e-06,original,10,5,,,,,4.26524543762207
naive_bayes,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,3.544,0.001,0.297,0.315,0.462,0.431,0.297,2e-06,original,10,5,,,,,4.26524543762207
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.016,0.001,0.349,0.211,0.181,0.216,0.238,2.6e-05,original,10,5,,,,,4.26524543762207
xgb,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,7.266,0.022,0.691,0.705,0.793,0.801,0.844,1e-06,original,10,6,,,,,
rf,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,15.451,0.452,0.767,0.693,0.744,0.724,0.852,1.2e-05,original,10,6,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.543,0.002,0.76,0.724,0.785,0.774,0.847,3e-06,original,10,6,,,,,
logreg,random,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,5.101,0.031,0.747,0.704,0.765,0.751,0.822,1e-05,original,10,6,,,,,
mlp,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.759,1.677,0.752,0.72,0.783,0.772,0.837,1.1e-05,original,10,6,,,,,
naive_bayes,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.719,0.001,0.672,0.666,0.753,0.75,0.739,1e-06,original,10,6,,,,,
knn,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.574,0.001,0.756,0.72,0.781,0.769,0.827,2.5e-05,original,10,6,,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.858,0.023,0.761,0.685,0.735,0.714,0.818,1e-06,original,10,6,,,,,0.4417440891265869
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,17.798,0.451,0.5,0.193,0.092,0.239,0.847,9e-06,original,10,6,,,,,0.4417440891265869
svc,k-means,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,6.567,0.002,0.795,0.745,0.798,0.785,0.875,2e-06,original,10,6,,,,,0.4417440891265869
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.815,0.008,0.781,0.751,0.809,0.801,0.874,9e-06,original,10,6,,,,,0.4417440891265869
mlp,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,6.844,0.735,0.792,0.76,0.815,0.807,0.88,7e-06,original,10,6,,,,,0.4417440891265869
naive_bayes,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.163,0.001,0.761,0.72,0.779,0.766,0.785,1e-06,original,10,6,,,,,0.4417440891265869
knn,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,5.579,0.001,0.752,0.689,0.744,0.725,0.81,1.2e-05,original,10,6,,,,,0.4417440891265869
xgb,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,3.948,0.019,0.528,0.493,0.688,0.77,0.726,2e-06,original,10,6,,,,,108.26136469841003
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,16.507,0.36,0.536,0.271,0.202,0.295,0.851,7e-06,original,10,6,,,,,108.26136469841003
svc,ag,0.65,0.58,0.58,0.65,0.2,0.256,0.256,0.2,6.642,0.002,0.794,0.73,0.78,0.764,0.875,3e-06,original,10,6,,,,,108.26136469841003
logreg,ag,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,6.254,0.011,0.773,0.748,0.808,0.8,0.875,1e-05,original,10,6,,,,,108.26136469841003
mlp,ag,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,6.716,1.512,0.788,0.757,0.813,0.804,0.876,1.2e-05,original,10,6,,,,,108.26136469841003
naive_bayes,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,4.854,0.001,0.724,0.646,0.698,0.674,0.737,1e-06,original,10,6,,,,,108.26136469841003
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.371,0.001,0.775,0.704,0.755,0.737,0.843,2e-06,original,10,6,,,,,108.26136469841003
xgb,k_center,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,5.909,0.027,0.667,0.668,0.759,0.759,0.72,1e-06,original,10,6,,,,,0.4106748104095459
rf,k_center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,17.292,0.38,0.627,0.555,0.61,0.58,0.691,1.6e-05,original,10,6,,,,,0.4106748104095459
svc,k_center,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,6.769,0.001,0.616,0.562,0.628,0.598,0.368,3e-06,original,10,6,,,,,0.4106748104095459
logreg,k_center,0.45,0.427,0.427,0.45,0.187,0.204,0.204,0.187,6.807,0.01,0.633,0.554,0.605,0.576,0.658,6e-06,original,10,6,,,,,0.4106748104095459
mlp,k_center,0.35,0.307,0.307,0.35,0.2,0.19,0.19,0.2,7.611,1.629,0.625,0.545,0.595,0.566,0.682,1.5e-05,original,10,6,,,,,0.4106748104095459
