model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.805,0.804,0.804,0.805,0.059,0.059,0.059,0.059,12.181,30.179,0.777,0.716,0.769,0.752,0.86,8e-06,original,0.01,5,,,,
rf,random,0.776,0.775,0.775,0.776,0.051,0.051,0.051,0.051,9.264,0.322,0.787,0.721,0.771,0.754,0.883,1.2e-05,original,0.01,5,,,,
svc,random,0.795,0.794,0.794,0.795,0.053,0.053,0.053,0.053,2.454,0.016,0.796,0.743,0.795,0.782,0.88,3.1e-05,original,0.01,5,,,,
logreg,random,0.819,0.819,0.819,0.819,0.044,0.044,0.044,0.044,3.642,0.109,0.792,0.74,0.793,0.78,0.878,7e-06,original,0.01,5,,,,
mlp,random,0.81,0.809,0.809,0.81,0.056,0.056,0.056,0.056,4.002,15.028,0.797,0.745,0.797,0.784,0.884,1.6e-05,original,0.01,5,,,,
naive_bayes,random,0.714,0.693,0.693,0.714,0.054,0.07,0.07,0.054,3.72,0.002,0.7,0.573,0.603,0.581,0.764,1e-06,original,0.01,5,,,,
knn,random,0.79,0.789,0.789,0.79,0.071,0.071,0.071,0.071,4.402,0.001,0.771,0.708,0.761,0.743,0.844,4.4e-05,original,0.01,5,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.947,0.063,0.623,0.64,0.761,0.791,0.803,6e-06,original,0.01,5,,,,
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.552,0.236,0.529,0.256,0.18,0.284,0.858,8e-06,original,0.01,5,,,,
svc,k-means,0.795,0.793,0.793,0.795,0.067,0.068,0.068,0.067,2.487,0.02,0.785,0.708,0.757,0.738,0.5,2.1e-05,original,0.01,5,,,,
logreg,k-means,0.929,0.928,0.928,0.929,0.052,0.052,0.052,0.052,3.317,0.014,0.752,0.737,0.803,0.797,0.848,4e-06,original,0.01,5,,,,
mlp,k-means,0.781,0.779,0.779,0.781,0.074,0.076,0.076,0.074,4.961,5.96,0.812,0.768,0.818,0.808,0.894,1.4e-05,original,0.01,5,,,,
naive_bayes,k-means,0.829,0.827,0.827,0.829,0.073,0.073,0.073,0.073,5.747,0.001,0.733,0.64,0.687,0.662,0.753,1e-06,original,0.01,5,,,,
knn,k-means,0.752,0.749,0.749,0.752,0.083,0.086,0.086,0.083,5.076,0.001,0.803,0.736,0.785,0.769,0.875,2.2e-05,original,0.01,5,,,,
xgb,ag,0.971,0.971,0.971,0.971,0.023,0.023,0.023,0.023,2.886,0.764,0.711,0.689,0.762,0.751,0.828,5e-06,original,0.01,5,,,,
rf,ag,0.929,0.928,0.928,0.929,0.015,0.015,0.015,0.015,9.085,0.601,0.761,0.646,0.684,0.661,0.874,1.8e-05,original,0.01,5,,,,
svc,ag,0.819,0.818,0.818,0.819,0.063,0.064,0.064,0.063,3.127,0.021,0.81,0.76,0.81,0.798,0.89,1.2e-05,original,0.01,5,,,,
logreg,ag,0.929,0.928,0.928,0.929,0.015,0.015,0.015,0.015,3.618,0.323,0.724,0.698,0.767,0.756,0.805,6e-06,original,0.01,5,,,,
mlp,ag,0.81,0.809,0.809,0.81,0.054,0.054,0.054,0.054,5.082,10.857,0.8,0.741,0.792,0.777,0.883,1.1e-05,original,0.01,5,,,,
naive_bayes,ag,0.819,0.818,0.818,0.819,0.044,0.045,0.045,0.044,2.619,0.002,0.715,0.618,0.663,0.637,0.728,1e-06,original,0.01,5,,,,
knn,ag,0.786,0.785,0.785,0.786,0.05,0.05,0.05,0.05,4.087,0.001,0.776,0.681,0.725,0.703,0.863,2e-05,original,0.01,5,,,,
xgb,k_center,0.629,0.622,0.622,0.629,0.075,0.073,0.073,0.075,3.402,0.107,0.753,0.704,0.763,0.747,0.833,5e-06,original,0.01,5,,,,
rf,k_center,0.662,0.657,0.657,0.662,0.07,0.067,0.067,0.07,8.622,0.227,0.797,0.724,0.772,0.755,0.89,9e-06,original,0.01,5,,,,
svc,k_center,0.652,0.647,0.647,0.652,0.039,0.04,0.04,0.039,3.704,0.02,0.743,0.745,0.815,0.816,0.859,1.8e-05,original,0.01,5,,,,
logreg,k_center,0.676,0.674,0.674,0.676,0.044,0.044,0.044,0.044,4.338,0.012,0.736,0.734,0.805,0.805,0.857,9e-06,original,0.01,5,,,,
mlp,k_center,0.633,0.631,0.631,0.633,0.056,0.055,0.055,0.056,5.91,3.815,0.779,0.712,0.764,0.746,0.864,1.6e-05,original,0.01,5,,,,
naive_bayes,k_center,0.538,0.478,0.478,0.538,0.047,0.047,0.047,0.047,5.102,0.001,0.51,0.233,0.152,0.265,0.532,2e-06,original,0.01,5,,,,
knn,k_center,0.548,0.531,0.531,0.548,0.089,0.091,0.091,0.089,3.447,0.001,0.616,0.622,0.732,0.74,0.702,2.9e-05,original,0.01,5,,,,
xgb,craig,0.519,0.509,0.512,0.524,0.005,0.023,0.02,0.0,2.668,0.283,0.474,0.461,0.558,0.525,0.476,4e-06,original,0.01,5,,,,
rf,craig,0.515,0.502,0.502,0.514,0.067,0.079,0.081,0.07,8.386,0.292,0.513,0.492,0.582,0.55,0.482,1.1e-05,original,0.01,5,,,,
svc,craig,0.575,0.568,0.571,0.581,0.148,0.151,0.15,0.146,4.332,0.01,0.462,0.462,0.605,0.601,0.392,1.7e-05,original,0.01,5,,,,
logreg,craig,0.57,0.57,0.571,0.571,0.095,0.095,0.095,0.095,3.062,0.097,0.638,0.63,0.723,0.715,0.703,1e-05,original,0.01,5,,,,
mlp,craig,0.54,0.538,0.54,0.543,0.073,0.075,0.074,0.071,4.169,4.675,0.493,0.492,0.616,0.603,0.471,2.1e-05,original,0.01,5,,,,
naive_bayes,craig,0.492,0.44,0.448,0.505,0.067,0.096,0.092,0.065,3.44,0.001,0.536,0.526,0.693,0.742,0.586,2e-06,original,0.01,5,,,,
knn,craig,0.594,0.586,0.589,0.6,0.086,0.086,0.086,0.088,4.762,0.001,0.485,0.483,0.632,0.64,0.427,1.2e-05,original,0.01,5,,,,
xgb,lc,0.981,0.981,0.981,0.981,0.023,0.023,0.023,0.023,2.564,0.173,0.217,0.227,0.3,0.252,0.129,5e-06,original,0.01,5,,,,
rf,lc,0.948,0.948,0.948,0.948,0.041,0.041,0.041,0.041,5.972,0.499,0.237,0.249,0.332,0.283,0.133,1.7e-05,original,0.01,5,,,,
