age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
39.22596,Private,200234.5,HS-grad,10.108891,Married-civ-spouse,Craft-repair,Husband,White,Male,626.711,-14.08091,58.031548,United-States,<=50K
49.23956,Private,165822.1,HS-grad,7.3670044,Married-civ-spouse,Adm-clerical,Husband,White,Male,473.0959,7.659729,37.092403,United-States,<=50K
33.149525,Private,190660.25,Bachelors,12.667562,Never-married,Prof-specialty,Not-in-family,White,Female,691.94617,17.292831,39.808266,United-States,<=50K
35.252575,Private,407245.62,HS-grad,8.552907,Married-civ-spouse,Craft-repair,Husband,White,Male,1684.7815,-19.887093,50.15387,United-States,<=50K
25.412777,Private,212119.9,HS-grad,8.9610195,Never-married,Other-service,Own-child,White,Male,-34.41809,3.9420395,35.281883,United-States,<=50K
44.619,Private,166515.83,Bachelors,12.546512,Married-civ-spouse,Prof-specialty,Wife,White,Female,1303.9297,18.493164,39.471134,United-States,<=50K
43.43008,Private,220727.1,HS-grad,9.024525,Married-civ-spouse,Craft-repair,Husband,White,Male,798.0478,14.07666,40.558712,United-States,<=50K
41.151566,Private,238648.48,10th,6.609478,Married-civ-spouse,Craft-repair,Husband,White,Male,583.77185,9.212624,41.614098,United-States,<=50K
31.329391,Private,199607.08,Some-college,10.921669,Never-married,Adm-clerical,Not-in-family,White,Female,500.22156,14.251648,37.383984,United-States,<=50K
39.27266,Private,308297.06,10th,5.975557,Married-civ-spouse,Craft-repair,Husband,White,Male,1008.6967,4.1483154,45.114765,United-States,<=50K
37.85046,Private,186764.27,Bachelors,13.279598,Never-married,Prof-specialty,Not-in-family,White,Female,843.2519,23.56652,42.57195,United-States,<=50K
22.781849,Private,192973.05,HS-grad,9.650453,Never-married,Other-service,Own-child,White,Female,-41.648193,16.334167,29.951187,United-States,<=50K
34.75895,Private,156190.94,Bachelors,12.798441,Never-married,Exec-managerial,Not-in-family,White,Male,460.2472,3.9574738,49.17679,United-States,<=50K
47.6511,Private,168030.97,10th,6.814334,Divorced,Other-service,Unmarried,White,Female,356.30487,7.680237,37.34926,United-States,<=50K
26.508915,Private,219131.4,10th,5.9108953,Never-married,Other-service,Own-child,White,Male,-150.30554,9.749603,34.5252,United-States,<=50K
28.913801,Private,190064.23,HS-grad,9.206322,Never-married,Craft-repair,Not-in-family,White,Male,-100.89807,-7.1654053,43.956825,United-States,<=50K
39.280193,Private,191898.78,Some-college,9.606388,Never-married,Craft-repair,Not-in-family,White,Male,-210.45569,1630.4845,41.79511,United-States,<=50K
38.927547,Private,193576.31,Bachelors,12.847126,Never-married,Prof-specialty,Not-in-family,White,Male,71.86725,1698.8156,44.053413,United-States,<=50K
31.950733,Private,172837.95,Bachelors,12.25683,Never-married,Sales,Not-in-family,White,Male,516.6761,5.3157425,43.744293,United-States,<=50K
45.582954,Private,126077.85,Some-college,10.117968,Married-civ-spouse,Exec-managerial,Husband,White,Male,454.39825,-0.72543335,44.92953,United-States,<=50K
26.634232,Private,171294.14,Some-college,10.546028,Never-married,Sales,Own-child,White,Male,75.324524,9.229347,38.145325,United-States,<=50K
42.0887,Private,116684.69,HS-grad,10.00827,Married-civ-spouse,Craft-repair,Husband,White,Male,63.676636,-20.801842,60.170963,United-States,<=50K
29.232983,Private,189163.45,HS-grad,9.86705,Never-married,Sales,Not-in-family,White,Male,124.625,6.5870514,39.52474,United-States,<=50K
37.915585,Private,229976.39,HS-grad,9.327944,Married-civ-spouse,Craft-repair,Husband,White,Male,645.5088,-10.255997,52.136467,United-States,<=50K
43.753326,Private,114195.99,Some-college,10.389121,Married-civ-spouse,Craft-repair,Husband,White,Male,330.42365,-4.0071564,50.075592,United-States,<=50K
27.570549,Private,195295.86,Some-college,9.908057,Never-married,Adm-clerical,Own-child,White,Female,142.42834,13.660767,34.818233,United-States,<=50K
43.921844,Private,153361.34,Bachelors,12.43458,Married-civ-spouse,Exec-managerial,Husband,White,Male,1152.7771,10.064972,44.505096,United-States,<=50K
46.696556,Private,188788.77,10th,5.46669,Married-civ-spouse,Craft-repair,Husband,White,Male,416.5426,15.106247,38.67498,United-States,<=50K
41.252007,Private,194668.78,Some-college,10.245141,Married-civ-spouse,Exec-managerial,Husband,White,Male,809.47046,14.718819,43.717415,United-States,<=50K
41.125042,Private,201195.62,Bachelors,12.312979,Married-civ-spouse,Exec-managerial,Husband,White,Male,1318.938,5.536598,50.893345,United-States,<=50K
30.80679,Private,230530.77,10th,4.6903768,Never-married,Machine-op-inspct,Not-in-family,White,Male,-99.20691,4.925766,39.02479,United-States,<=50K
