age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
52.123253,Private,150306.31,Some-college,9.667448,Divorced,Adm-clerical,Not-in-family,White,Female,431.6021,23.662563,34.21862,United-States,<=50K
23.451893,Private,218496.88,HS-grad,8.94886,Never-married,Other-service,Own-child,White,Male,162.87897,-6.810997,31.637165,United-States,<=50K
37.754692,Private,163723.39,HS-grad,9.500263,Divorced,Adm-clerical,Unmarried,White,Female,380.4779,11.751617,39.50868,United-States,<=50K
37.197956,Private,158476.5,HS-grad,9.033955,Married-civ-spouse,Craft-repair,Husband,White,Male,218.49701,1.2394943,41.31681,United-States,<=50K
36.534645,Private,308069.4,Bachelors,13.283345,Never-married,Prof-specialty,Not-in-family,White,Male,1785.3474,10.75959,42.970932,United-States,<=50K
40.5745,Private,148177.84,Bachelors,12.285835,Married-civ-spouse,Exec-managerial,Husband,White,Male,1453.5162,17.813713,50.830803,United-States,<=50K
29.769737,Private,146821.53,Some-college,10.254071,Never-married,Sales,Own-child,White,Male,253.21887,4.725624,41.403965,United-States,<=50K
33.838493,Private,443423.8,HS-grad,8.676125,Divorced,Other-service,Not-in-family,White,Male,832.66785,-22.956955,40.48861,United-States,<=50K
39.47739,Private,155720.03,Bachelors,13.173088,Never-married,Prof-specialty,Not-in-family,White,Female,1367.6467,24.94123,42.11059,United-States,<=50K
33.428936,Private,203007.94,HS-grad,9.062548,Never-married,Craft-repair,Not-in-family,White,Male,247.98877,-6.2402344,42.68794,United-States,<=50K
36.851803,Private,190550.88,7th-8th,4.8739676,Divorced,Machine-op-inspct,Unmarried,White,Male,-138.40991,-0.45713043,40.10409,United-States,<=50K
25.584974,Private,162759.44,HS-grad,9.664598,Never-married,Adm-clerical,Own-child,White,Female,188.76978,8.161446,32.94968,United-States,<=50K
56.445778,Private,159611.53,7th-8th,5.3131433,Married-civ-spouse,Craft-repair,Husband,White,Male,677.8256,24.922737,39.8513,United-States,<=50K
56.327026,Private,150498.1,HS-grad,8.903063,Married-civ-spouse,Craft-repair,Husband,White,Male,833.58514,15.941963,40.32918,United-States,<=50K
34.061054,Private,143315.66,Bachelors,12.696833,Never-married,Prof-specialty,Not-in-family,White,Male,942.68005,13.682983,43.173428,United-States,<=50K
38.809376,Private,152684.06,HS-grad,9.313526,Married-civ-spouse,Craft-repair,Husband,White,Male,757.4398,1.9549942,50.206238,United-States,<=50K
33.963985,Private,413860.94,Bachelors,12.254849,Never-married,Prof-specialty,Not-in-family,White,Male,1596.7914,-0.5160217,40.671875,United-States,<=50K
39.41246,Private,180939.1,Some-college,9.836709,Never-married,Adm-clerical,Not-in-family,White,Female,-118.64514,1673.9628,41.994087,United-States,<=50K
42.532055,Self-emp-not-inc,169989.53,HS-grad,9.879527,Married-civ-spouse,Craft-repair,Husband,White,Male,1793.3335,1.3001785,65.82141,United-States,<=50K
28.139545,Private,320956.53,Some-college,9.819747,Never-married,Adm-clerical,Own-child,White,Female,685.3934,1.383606,34.890327,United-States,<=50K
36.836796,Private,154290.25,Some-college,10.077741,Married-civ-spouse,Exec-managerial,Husband,White,Male,488.27582,15.4789505,41.60338,United-States,<=50K
21.071312,Private,168836.28,Some-college,9.691205,Never-married,Adm-clerical,Own-child,White,Female,161.76514,8.215111,27.509464,United-States,<=50K
34.89368,Private,312043.5,HS-grad,9.403021,Divorced,Adm-clerical,Unmarried,White,Female,669.64307,-0.54328156,40.01971,United-States,<=50K
30.060488,Private,608690.9,HS-grad,9.532504,Never-married,Other-service,Not-in-family,White,Male,1455.2079,-24.183144,40.03941,United-States,<=50K
36.313404,Private,304576.84,Bachelors,12.584973,Never-married,Prof-specialty,Not-in-family,White,Female,1473.3823,10.299652,41.450287,United-States,<=50K
27.624338,Private,245127.81,11th,5.9222245,Never-married,Other-service,Own-child,White,Male,128.7185,2.520546,35.358006,United-States,<=50K
33.96568,Private,355950.78,Some-college,10.039649,Divorced,Adm-clerical,Not-in-family,White,Female,949.97156,1.5321274,40.333717,United-States,<=50K
60.55578,Private,156668.22,7th-8th,5.340934,Married-civ-spouse,Other-service,Husband,White,Male,65.11572,26.145023,31.531378,United-States,<=50K
33.424885,Private,176975.73,HS-grad,9.194629,Never-married,Craft-repair,Not-in-family,White,Male,35.344604,-16.843521,49.463943,United-States,<=50K
37.51895,Private,156203.1,HS-grad,9.345398,Married-civ-spouse,Craft-repair,Husband,White,Male,496.4776,5.0116577,44.612743,United-States,<=50K
39.44508,Private,166871.1,10th,5.5490584,Married-civ-spouse,Other-service,Wife,White,Male,47.483887,12.530846,39.486553,United-States,<=50K
40.737312,Private,167256.52,HS-grad,9.349389,Married-civ-spouse,Craft-repair,Husband,White,Male,940.5027,14.44928,44.394737,United-States,<=50K
55.666077,Private,151992.83,Bachelors,13.290812,Married-civ-spouse,Prof-specialty,Husband,White,Male,1381.7085,36.361122,35.287254,United-States,<=50K
36.44383,Private,328998.06,Some-college,10.037422,Married-civ-spouse,Exec-managerial,Husband,White,Male,1340.3563,3.7148285,46.775963,United-States,<=50K
35.283924,Private,296991.62,HS-grad,8.733194,Married-civ-spouse,Other-service,Husband,White,Male,612.7967,-9.055069,40.691868,United-States,<=50K
26.70099,Private,226910.98,HS-grad,9.047389,Never-married,Craft-repair,Own-child,White,Male,172.8949,-13.728653,38.87338,United-States,<=50K
62.741737,Private,151968.72,HS-grad,8.81711,Married-civ-spouse,?,Wife,White,Female,333.91846,29.227634,29.835629,United-States,<=50K
52.965992,Private,147416.38,Some-college,10.047083,Married-civ-spouse,Exec-managerial,Husband,White,Male,1004.4624,28.119694,40.717197,United-States,<=50K
23.03558,Private,183179.34,Some-college,9.728869,Never-married,Adm-clerical,Own-child,White,Female,246.73688,7.184387,30.215662,United-States,<=50K
43.22487,Private,183274.31,HS-grad,9.060937,Married-civ-spouse,Craft-repair,Husband,White,Male,-173.6383,1706.5951,41.475544,United-States,<=50K
24.831917,Private,174855.23,Some-college,10.551832,Never-married,Sales,Own-child,White,Male,-296.56323,1610.8805,35.30837,United-States,<=50K
41.698612,Private,150563.69,Bachelors,13.523385,Married-civ-spouse,Prof-specialty,Husband,White,Male,2003.8547,23.233234,51.4578,United-States,<=50K
35.592213,Private,158879.4,Bachelors,12.703741,Never-married,Exec-managerial,Not-in-family,White,Male,852.75806,2.2917633,50.952465,United-States,<=50K
27.593693,Private,166376.44,HS-grad,9.108245,Never-married,Other-service,Own-child,White,Female,84.144714,0.26935577,35.09311,United-States,<=50K
34.793434,Private,150752.0,HS-grad,10.085624,Never-married,Craft-repair,Not-in-family,White,Male,344.53442,10.374893,42.92792,United-States,<=50K
36.870148,Private,143695.77,Bachelors,12.456532,Never-married,Exec-managerial,Not-in-family,White,Male,827.67834,10.974274,47.144184,United-States,<=50K
20.759996,Private,215943.14,11th,7.28004,Never-married,Other-service,Own-child,White,Male,61.97119,2.8216782,27.751862,United-States,<=50K
37.464367,Private,144548.1,Bachelors,13.641008,Never-married,Prof-specialty,Not-in-family,White,Male,1347.6211,15.100609,48.04321,United-States,<=50K
52.973034,Private,180741.66,Bachelors,11.566122,Married-civ-spouse,Prof-specialty,Husband,White,Male,9.172363,1833.5529,37.813873,United-States,<=50K
57.71012,Private,151718.7,HS-grad,9.296752,Married-civ-spouse,Adm-clerical,Husband,White,Male,397.33728,23.242985,32.210297,United-States,<=50K
32.435127,Private,360371.94,HS-grad,9.151336,Never-married,Craft-repair,Not-in-family,White,Male,690.547,-11.569687,40.50012,United-States,<=50K
38.26,Private,156091.66,Bachelors,12.479551,Married-civ-spouse,Prof-specialty,Husband,White,Male,1100.6877,22.275574,41.8396,United-States,<=50K
39.795856,Private,173160.6,10th,5.823733,Married-civ-spouse,Craft-repair,Husband,White,Male,460.5653,16.82389,42.980793,United-States,<=50K
38.8963,Private,151281.75,Bachelors,12.112032,Married-civ-spouse,Exec-managerial,Husband,White,Male,1120.2268,18.546219,45.88721,United-States,<=50K
47.742435,Private,183447.92,Bachelors,11.4252405,Married-civ-spouse,Exec-managerial,Husband,White,Male,646.74866,1772.6213,46.18291,United-States,<=50K
