age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
47.12854,Private,254383.92,Masters,14.1443,Married-civ-spouse,Prof-specialty,Husband,White,Male,1093.7981,1800.2762,48.653187,United-States,<=50K
45.37468,Private,194921.4,Masters,13.958993,Married-civ-spouse,Prof-specialty,Husband,White,Male,1059.5925,1745.2235,45.559002,United-States,<=50K
47.575714,Private,200535.22,Masters,13.401634,Married-civ-spouse,Prof-specialty,Husband,White,Male,70613.63,17.222351,48.737755,United-States,<=50K
45.502857,Private,211682.64,Masters,13.831682,Married-civ-spouse,Prof-specialty,Husband,White,Male,987.7,1730.6893,46.132973,United-States,<=50K
44.711033,Private,206075.72,Masters,13.461316,Married-civ-spouse,Prof-specialty,Husband,White,Male,838.8848,1772.542,45.491318,United-States,<=50K
43.976738,Private,186371.12,Bachelors,13.321478,Married-civ-spouse,Prof-specialty,Husband,White,Male,794.19727,1735.16,44.33024,United-States,<=50K
45.74527,Private,193342.53,Masters,14.188725,Married-civ-spouse,Prof-specialty,Husband,White,Male,1158.1854,1698.426,45.68685,United-States,<=50K
45.432537,Private,184019.58,Masters,14.219622,Married-civ-spouse,Prof-specialty,Husband,White,Male,2002.9485,32.753,42.476147,United-States,<=50K
44.90066,Private,213484.0,Masters,13.491086,Married-civ-spouse,Prof-specialty,Husband,White,Male,839.16907,1744.7692,45.801296,United-States,<=50K
47.43662,Private,247534.4,Masters,14.498671,Married-civ-spouse,Prof-specialty,Husband,White,Male,2116.9678,27.050316,45.76441,United-States,<=50K
46.11483,Private,207879.53,Masters,14.289103,Married-civ-spouse,Prof-specialty,Husband,White,Male,2028.047,30.492779,43.662968,United-States,<=50K
45.67691,Private,194864.1,Masters,14.217847,Married-civ-spouse,Prof-specialty,Husband,White,Male,1997.6418,31.613857,42.970474,United-States,<=50K
45.74789,Private,196662.06,Masters,14.233054,Married-civ-spouse,Prof-specialty,Husband,White,Male,2004.4086,31.476719,43.073357,United-States,<=50K
45.49192,Private,174612.36,Masters,14.3588085,Married-civ-spouse,Prof-specialty,Wife,White,Female,2075.0708,34.23885,42.23231,United-States,<=50K
45.876305,Private,207148.03,Masters,14.175766,Married-civ-spouse,Prof-specialty,Husband,White,Male,1972.1201,30.190216,43.477253,United-States,<=50K
43.679333,Private,172464.61,Bachelors,13.360998,Married-civ-spouse,Prof-specialty,Husband,White,Male,812.98254,1698.9741,43.64618,United-States,<=50K
46.30018,Private,226807.9,Masters,14.161561,Married-civ-spouse,Prof-specialty,Husband,White,Male,1957.6677,28.088444,44.36025,United-States,<=50K
45.758354,Private,193352.53,Masters,14.276016,Married-civ-spouse,Prof-specialty,Husband,White,Male,2022.885,31.502907,43.195557,United-States,<=50K
47.14978,Self-emp-not-inc,196578.94,Masters,14.616901,Married-civ-spouse,Exec-managerial,Husband,White,Male,2052.0537,2.3059082,59.848854,United-States,<=50K
45.00904,Private,232748.27,Bachelors,13.316103,Married-civ-spouse,Prof-specialty,Husband,White,Male,748.1668,1721.1272,46.422417,United-States,<=50K
46.22149,Private,212234.36,Masters,14.292006,Married-civ-spouse,Prof-specialty,Husband,White,Male,2027.0869,30.043236,43.86758,United-States,<=50K
46.126137,Private,202655.81,Masters,14.355497,Married-civ-spouse,Prof-specialty,Husband,White,Male,2061.936,31.2552,43.51375,United-States,<=50K
48.468575,Private,392626.1,Bachelors,13.0878315,Married-civ-spouse,Exec-managerial,Husband,White,Male,556.9002,1846.8982,53.84901,United-States,<=50K
46.545517,Private,250313.45,Masters,14.010991,Married-civ-spouse,Prof-specialty,Husband,White,Male,1874.4,25.130402,45.23648,United-States,<=50K
47.766014,Private,267845.7,Masters,14.413769,Married-civ-spouse,Prof-specialty,Husband,White,Male,2054.6985,22.558159,47.689095,United-States,<=50K
45.069603,Private,192102.2,Masters,13.939947,Married-civ-spouse,Prof-specialty,Husband,White,Male,1861.0062,30.972801,42.470505,United-States,<=50K
47.25744,Private,260373.58,Masters,14.256193,Married-civ-spouse,Prof-specialty,Husband,White,Male,1991.2623,24.894165,46.02834,United-States,<=50K
45.266945,Private,180807.2,Masters,14.171734,Married-civ-spouse,Prof-specialty,Husband,White,Male,1979.6082,32.924397,42.26608,United-States,<=50K
43.934574,Private,181303.84,Bachelors,13.391392,Married-civ-spouse,Prof-specialty,Husband,White,Male,817.7399,1692.1058,44.07782,United-States,<=50K
46.070698,Private,209477.92,Masters,14.247244,Married-civ-spouse,Prof-specialty,Husband,White,Male,2005.8739,30.181328,43.681103,United-States,<=50K
45.479492,Private,175442.38,Masters,14.323568,Married-civ-spouse,Prof-specialty,Husband,White,Male,2037.2297,30.965347,43.792736,United-States,<=50K
