model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,12.449,0.081,0.583,0.501,0.562,0.525,0.613,1e-06,original,10,5,,,,
rf,random,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,11.355,0.32,0.567,0.486,0.546,0.508,0.613,1.1e-05,original,10,5,,,,
svc,random,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,5.059,0.001,0.563,0.426,0.45,0.429,0.414,4e-06,original,10,5,,,,
logreg,random,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,2.652,0.008,0.605,0.556,0.64,0.608,0.645,0.0,original,10,5,,,,
mlp,random,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,5.75,1.062,0.602,0.55,0.632,0.599,0.626,1.6e-05,original,10,5,,,,
naive_bayes,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,4.541,0.002,0.518,0.387,0.406,0.389,0.605,1e-06,original,10,5,,,,
knn,random,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,6.006,0.001,0.58,0.521,0.599,0.562,0.601,4.9e-05,original,10,5,,,,
xgb,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,7.064,0.326,0.581,0.484,0.536,0.501,0.619,7e-06,original,10,5,0,0,0,0.7187552452087402
rf,k-means,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,13.501,0.27,0.593,0.465,0.499,0.472,0.644,9e-06,original,10,5,0,0,0,0.7187552452087402
svc,k-means,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,5.638,0.002,0.644,0.601,0.688,0.662,0.303,4e-06,original,10,5,0,0,0,0.7187552452087402
logreg,k-means,0.55,0.48,0.48,0.55,0.1,0.147,0.147,0.1,8.239,0.008,0.654,0.584,0.656,0.625,0.713,0.0,original,10,5,0,0,0,0.7187552452087402
mlp,k-means,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,8.148,0.029,0.653,0.58,0.65,0.618,0.712,2.4e-05,original,10,5,0,0,0,0.7187552452087402
naive_bayes,k-means,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,4.961,0.001,0.698,0.682,0.771,0.763,0.696,1e-06,original,10,5,0,0,0,0.7187552452087402
knn,k-means,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,8.555,0.0,0.598,0.6,0.727,0.731,0.621,5.1e-05,original,10,5,0,0,0,0.7187552452087402
xgb,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,4.008,0.03,0.69,0.687,0.783,0.782,0.731,7e-06,latent,10,5,0,0,0,0.7187552452087402
rf,k-means,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,13.633,0.428,0.677,0.636,0.721,0.7,0.738,2.2e-05,latent,10,5,0,0,0,0.7187552452087402
svc,k-means,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,5.581,0.003,0.642,0.563,0.63,0.596,0.467,6e-06,latent,10,5,0,0,0,0.7187552452087402
logreg,k-means,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,6.993,0.007,0.68,0.627,0.706,0.68,0.73,1.9e-05,latent,10,5,0,0,0,0.7187552452087402
mlp,k-means,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,4.944,0.045,0.693,0.635,0.711,0.686,0.751,2.5e-05,latent,10,5,0,0,0,0.7187552452087402
naive_bayes,k-means,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,7.119,0.001,0.58,0.436,0.458,0.439,0.611,4e-06,latent,10,5,0,0,0,0.7187552452087402
knn,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,4.079,0.001,0.652,0.593,0.671,0.641,0.68,4e-06,latent,10,5,0,0,0,0.7187552452087402
xgb,k-center,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,8.112,0.137,0.524,0.259,0.196,0.276,0.534,7e-06,original,10,5,0,0,0,0.0017824172973632812
rf,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,13.019,0.358,0.51,0.346,0.342,0.346,0.492,1.1e-05,original,10,5,0,0,0,0.0017824172973632812
svc,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,3.952,0.002,0.5,0.182,0.081,0.222,0.436,3e-06,original,10,5,0,0,0,0.0017824172973632812
logreg,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.319,0.111,0.5,0.182,0.082,0.222,0.567,0.0,original,10,5,0,0,0,0.0017824172973632812
mlp,k-center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,8.446,0.037,0.492,0.244,0.184,0.259,0.446,1.3e-05,original,10,5,0,0,0,0.0017824172973632812
naive_bayes,k-center,0.4,0.347,0.347,0.4,0.339,0.344,0.344,0.339,5.977,0.001,0.534,0.531,0.666,0.656,0.542,1e-06,original,10,5,0,0,0,0.0017824172973632812
knn,k-center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,5.314,0.001,0.5,0.182,0.082,0.222,0.5,5.1e-05,original,10,5,0,0,0,0.0017824172973632812
xgb,k-center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,8.143,0.26,0.486,0.282,0.248,0.287,0.467,3e-06,latent,10,5,0,0,0,0.0017824172973632812
rf,k-center,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,13.852,0.376,0.501,0.183,0.083,0.223,0.487,1.2e-05,latent,10,5,0,0,0,0.0017824172973632812
svc,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.469,0.002,0.5,0.182,0.081,0.222,0.448,5e-06,latent,10,5,0,0,0,0.0017824172973632812
logreg,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.962,0.007,0.5,0.182,0.081,0.222,0.571,1.1e-05,latent,10,5,0,0,0,0.0017824172973632812
mlp,k-center,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,6.228,0.111,0.503,0.189,0.091,0.226,0.539,2e-05,latent,10,5,0,0,0,0.0017824172973632812
