X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
261618.39,1,1,2,34.043858,0,0,0,0,0,-2,250689.34,254788.55,260972.23,161113.75,-276.55075,-1325.0476,11506.649,11131.965,7375.061,-207.70702,299.5589,122.95065,0
362776.56,2,1,3,36.61826,-1,-1,-1,-1,-1,0,153561.84,146148.4,59222.91,178722.64,256875.86,262148.3,874527.44,1213038.0,887650.2,617930.56,22016.367,133372.58,0
462654.7,2,1,1,29.183971,-2,-2,-1,-1,-2,-1,14588.418,-17118.732,1691612.6,115557.734,110351.4,359300.16,4534.102,1665456.0,122340.52,96192.305,380703.06,23580.715,0
484486.94,2,1,2,28.284794,-1,-1,-1,-1,0,0,83955.41,467291.97,538742.2,164746.4,116790.37,100066.37,499040.72,1222293.8,159869.5,-2813.0767,3093.5354,6003.1997,0
721141.8,2,1,2,26.385557,1,-1,-1,0,0,-1,13371.863,7871.272,413753.3,383045.75,438927.16,383978.8,244033.61,404373.1,8006.0635,11499.779,416986.94,4117.401,0
78242.73,2,3,1,35.598537,0,0,-2,-2,-2,-1,59507.82,-710.81775,850411.7,-2970.4927,-4100.7617,116934.23,2690.4412,1051544.4,686.0152,-833.0552,129120.91,13384.671,0
492285.44,2,2,2,43.598038,-1,-1,-1,0,0,-1,6728.5273,-1862.9857,290242.12,260664.8,211260.19,2072.4993,2166.4873,289345.12,4704.6606,-21.262686,-196.68231,530421.9,0
298591.6,1,2,1,36.453323,1,-1,2,0,0,0,-122664.45,317976.47,303065.97,24298.867,21915.71,27647.008,474558.9,31.822237,2964.3662,17998.135,13377.532,17563.275,0
599267.75,1,1,2,29.34392,0,-1,2,-1,-1,-1,329666.47,331063.66,326963.0,347814.94,250438.73,273432.44,332913.03,1032.1577,355738.03,254453.0,277746.22,218593.0,0
505130.3,2,2,1,66.26761,-1,-1,-1,-1,-1,-1,7755.16,-625.25134,-862.4204,9543.234,8892.637,299780.34,1749.6665,2684.2087,11648.035,13285.552,307933.72,454.37692,0
255611.95,1,3,1,47.845352,0,0,0,0,-1,0,203200.56,199041.14,201062.55,-108553.19,166871.06,171992.12,5241.02,8532.194,659.83746,492367.16,12591.422,6475.474,0
451194.22,2,1,1,42.211155,-2,-2,-1,0,0,0,312388.66,254806.86,316503.7,299485.56,261083.08,181127.64,4993.35,583970.9,80035.984,29941.824,713.93536,35327.926,0
493621.28,2,1,1,43.464558,-2,-1,0,0,0,-1,71605.82,370774.28,303638.7,190645.16,121460.664,172716.78,370624.06,5311.7354,1748.3939,669.333,160844.11,367192.97,0
241058.17,1,2,1,47.001774,0,0,0,0,-1,-1,207128.83,236529.28,249917.47,42305.05,183284.48,22824.824,33370.5,9597.015,8452.648,197867.86,9644.945,381103.6,0
445866.53,2,2,2,28.92828,-1,-1,-1,-1,0,0,23421.682,82724.766,45679.32,398486.6,227211.22,268196.06,70335.875,43248.355,396207.1,5096.656,100145.39,7058.507,0
183070.53,2,2,1,25.36122,-2,-2,-2,-2,-2,-1,54643.164,182141.12,183578.53,172457.36,141232.98,174963.72,275602.34,6794.33,8474.724,8422.194,183781.05,8484.259,0
572365.0,1,3,1,67.07369,2,2,3,3,4,6,447082.3,474586.94,473731.28,483479.5,499740.03,527926.0,25262.25,9636.848,24038.09,25926.348,33294.84,614.6304,0
204046.31,1,1,1,28.512224,1,2,0,0,0,0,198335.34,186996.81,195630.69,195875.75,195391.52,204547.23,-426.3215,8213.459,4192.7593,179466.17,201024.64,306.71677,0
280214.1,1,1,1,33.733242,0,0,0,0,0,0,213601.86,308276.53,373698.22,232460.78,229598.25,235120.69,239500.61,152411.5,9629.373,148362.42,10008.487,7623.9614,0
238992.64,2,1,2,28.535543,-2,-2,-2,-2,-2,-2,26642.621,28937.53,8437.576,23630.438,266356.56,1324.0657,29094.203,7658.9077,24186.572,263773.16,2813.529,13156.8,0
255942.31,2,3,2,48.626232,-2,-2,-2,-2,-2,-2,-6758.4414,211624.11,200084.44,1432.7496,-1322.6445,479.90942,215637.36,201533.83,2933.8833,438.6953,-618.8664,3054.691,0
629188.9,2,1,2,30.86432,0,0,0,0,0,0,569795.9,558227.44,481440.34,476210.72,486350.66,513391.94,23755.12,18948.584,19205.447,13832.978,36042.496,250810.97,0
363751.34,1,6,1,65.863144,-1,-1,-1,-1,-1,-1,47865.426,71736.305,7157.1655,150127.36,47455.523,1101.3235,74894.84,4225.8633,154177.53,49945.535,2216.3665,173182.2,0
351448.3,1,3,1,34.228012,1,1,-1,-1,0,0,274673.75,-26552.209,344295.03,23355.416,23073.26,-1691.1531,969.7913,357746.38,21806.91,-519.21436,411.4964,419.62692,0
78969.26,2,1,2,26.920069,-1,-1,-1,-2,-2,-1,2889.836,-851.1693,-3174.6587,-5699.153,-9547.91,54124.043,680.2508,-135.11624,-37.157642,-38.581047,149719.52,9609.784,0
502528.2,2,2,2,42.761333,-1,-1,-2,-1,-1,-1,372235.06,22521.025,17310.867,160622.48,113538.91,191456.05,27136.865,12546.729,160119.08,123096.734,186014.88,198394.39,0
424651.12,2,1,2,33.195343,-1,-1,-2,-2,-1,-1,24703.396,-340.9115,4722.2085,2030.2379,1467.6562,6887.169,400.13895,-1053.5825,317.93463,1664.198,4166.839,413596.53,0
60116.87,2,2,1,59.60684,8,7,6,5,4,3,67601.9,66148.71,64780.297,64420.766,63144.145,61652.766,90.33133,475.9155,-657.5273,171.61964,-127.22527,210.18991,0
429726.38,1,1,1,39.14988,-1,-1,0,0,-1,-1,46422.035,42613.18,340044.72,323032.75,38885.94,21286.574,49531.062,324374.75,19125.014,39508.035,22969.021,346726.75,0
490643.9,2,1,2,32.12401,0,0,0,0,-1,0,623500.94,555803.1,486178.5,386152.94,401876.2,410899.1,21212.033,19640.324,16761.416,399210.16,18041.191,4136.001,0
352192.8,1,2,1,33.19413,1,2,2,7,6,5,289665.0,299991.75,383938.06,375177.94,368261.28,358088.88,13708.27,98477.805,-449.35883,-270.00684,205.26935,412.00095,0
