X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
98248.32,1,2,1,41.98626,2,2,0,0,0,0,91107.07,90076.76,91138.69,84354.52,70121.49,69718.54,261.68143,4323.7793,2867.1333,2524.6848,3062.3142,2349.1367,1
382159.75,1,1,1,48.17536,2,0,0,0,0,0,371939.88,379688.7,358450.16,305560.38,531210.94,305083.16,14205.096,11921.0625,13061.599,13440.248,10911.494,13214.655,1
480026.9,1,1,1,34.544994,2,0,0,-1,0,0,510529.6,431124.38,198320.7,482742.72,458197.6,442927.7,22894.441,8382.215,511929.75,17690.186,11729.773,29391.37,1
19678.957,1,2,2,26.977688,1,-2,-2,-2,-2,-2,2041.8986,1390.5807,305.92337,1115.441,-306.6992,869.7844,-77.775116,96.91257,-148.54485,361.61572,5.0989456,206.64645,1
280165.2,1,2,1,38.89264,1,-1,2,0,0,0,52767.203,355887.72,309091.44,48480.496,73150.52,19895.656,524581.8,4511.426,-386.76605,17866.28,19083.893,25929.758,0
226746.67,1,2,1,40.26865,5,4,3,2,0,0,181485.23,175300.61,166149.66,125867.664,129923.41,102703.9,-1355.5315,3071.687,-683.46625,4119.7124,4485.277,167012.22,0
250191.81,1,1,1,41.16697,1,1,1,1,2,2,370759.06,353409.28,323129.12,298925.28,287507.06,266284.0,13915.901,9463.634,7051.7803,-140.18456,10244.95,253044.86,1
372482.6,1,2,2,30.721107,4,3,2,-1,-1,-1,548381.25,557128.5,402925.03,314233.56,244013.22,222883.5,2131.4607,967.35986,3464.9653,2954.5742,292442.44,7695.1904,1
221448.45,1,2,2,29.059309,2,0,0,-1,0,0,229806.17,209872.55,-8002.9634,199797.11,151378.05,151190.89,5610.0605,2251.43,213170.69,7525.565,4739.2637,4359.1333,1
41367.12,1,3,1,33.06019,0,0,-2,-2,-2,-1,52197.61,26734.68,800649.0,-6115.938,4941.746,143438.83,-573.75214,1094884.9,228.30672,-1548.7339,117020.23,10566.64,0
501376.3,1,1,1,39.17124,2,0,0,0,0,0,554068.6,567387.1,427416.66,424731.53,443726.34,451264.25,20152.129,17175.086,15983.7295,17013.39,17597.66,16759.096,1
153626.66,1,1,1,42.104343,4,7,6,5,4,3,166142.05,163517.05,159525.02,150751.64,158923.56,154429.88,928.0047,1413.687,1594.4733,-427.771,916.20294,-479.11673,1
196419.56,1,2,1,39.547962,1,2,2,0,-1,0,327882.34,262402.28,236205.52,241508.03,201896.2,200517.06,6941.5693,1399.2964,4516.838,205317.94,6495.0986,5464.3,0
183933.39,1,1,2,31.285501,4,4,4,3,2,2,79686.56,80628.52,84644.34,81171.664,82487.805,178892.7,3620.0527,661.24414,546.5015,149.97462,101167.08,195.36276,1
559671.25,1,2,1,28.556633,2,0,0,0,0,0,532086.06,568228.9,531656.94,535993.9,523694.34,161425.48,18321.65,33937.414,161098.23,14261.181,7317.674,166562.86,1
419671.7,1,1,2,31.746489,-1,-1,-2,-2,-1,-1,11434.332,635.4479,2846.3062,15982.031,15535.564,-1505.3171,-3235.885,3387.281,1184.6779,1828.3159,5640.125,397895.44,0
61742.145,1,3,1,53.12622,-1,3,2,2,-1,0,362.91806,-632.1537,3608.2163,-285.9145,60352.984,61482.848,419.00223,594.0327,-841.31195,112311.63,2045.6957,1879.054,0
346263.9,1,2,2,36.244152,2,0,0,0,0,0,332713.47,341732.44,16936.467,18867.846,20211.746,13743.327,17949.053,3114.526,11568.925,5548.329,3821.5796,1721.0173,0
24395.004,1,3,0,28.728403,5,4,3,2,3,3,-2143.7695,8304.909,2732.7866,1612.195,2966.3945,4254.0693,26.23856,2764.2136,632.59186,1348.8899,223.38702,626.3423,0
370549.78,1,2,1,38.41214,4,7,6,5,4,3,389555.4,386737.0,363183.44,351986.4,355932.94,353627.78,1265.2161,1818.6284,2829.6345,488.16797,1693.8297,-1046.5103,1
200074.81,1,3,1,27.396944,1,2,2,2,3,4,107859.3,102433.72,110263.9,109990.04,123637.05,133345.97,749.3177,8879.259,4520.016,5023.212,7397.396,5990.305,0
17578.207,1,2,2,23.019894,-1,5,4,3,2,2,2594.8672,4179.069,3798.439,6260.472,7788.1562,5750.538,0.73465294,782.3721,825.087,753.1555,1301.0199,319.77243,1
568951.1,1,1,1,62.72214,0,0,0,-1,0,0,595973.6,598178.6,678463.44,331974.28,355971.3,345520.38,28033.053,64457.867,314267.6,39745.58,21068.914,56035.652,0
54570.137,1,2,2,26.719313,1,5,4,2,7,6,52057.16,41353.758,56918.0,59909.44,54923.13,60737.426,635.7298,10377.125,1620.5028,-317.41162,301.42706,-114.66165,0
61203.8,1,2,1,58.623833,4,4,5,4,3,2,56875.797,59787.07,61324.18,56608.68,60659.254,54198.09,3439.8965,1736.0581,244.9532,-239.5078,787.1353,4339.7153,0
534748.44,1,1,2,37.581425,-2,7,6,5,4,3,495256.4,491000.94,445471.34,433959.3,440045.7,434420.22,2469.9194,2059.178,2124.9082,521.48584,3726.3625,13189.197,1
107733.875,1,1,2,25.016094,2,2,-2,-2,-2,-2,95803.805,-6443.193,-2383.4087,-2055.0864,6107.4023,-56154.887,309.10672,1645.7837,875.82135,200.20705,710.6224,147957.23,0
414275.72,1,1,1,43.557423,4,3,2,0,0,-1,272266.88,289867.56,259320.34,263912.28,271833.7,208.84691,1388.1531,-576.979,2614.8503,809.7993,3570.9604,4462.027,1
192175.14,1,5,2,49.62189,2,0,0,0,0,0,456044.6,439219.7,428181.12,421448.12,417394.0,91946.66,9799.001,7822.3813,11983.894,12982.52,100030.06,154430.83,0
321175.62,1,3,2,39.36265,1,2,2,2,2,0,311686.06,292781.66,304653.7,318258.47,313468.84,304935.56,11619.5625,-305.50247,25998.244,-369.53906,10551.828,13870.624,1
288848.4,1,3,1,47.88672,2,0,0,0,0,-1,233424.66,221956.89,250425.08,27591.248,2218.3906,107035.234,5571.188,5675.551,2583.4836,4520.4717,146422.92,57912.324,1
23514.41,1,3,1,49.87254,1,5,4,5,4,3,19064.758,17197.488,21020.293,18423.203,19470.564,17823.494,105.54617,2581.0652,996.1597,631.1216,684.8763,-204.3765,0
