X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
75477.266,2,2,2,34.008385,1,2,0,0,0,0,31733.652,28482.719,30281.666,26385.21,27098.662,24478.902,1478.6223,2885.6838,1496.1525,1848.3665,1940.9613,1791.0017,0
221900.31,1,2,1,43.038246,0,0,0,0,0,0,143621.77,133528.92,127239.375,113829.96,108141.68,102915.086,6474.0757,6437.331,5011.0874,6394.7,5968.976,6074.7124,0
358689.84,2,1,2,34.008446,-2,-2,-2,-2,-2,-2,5826.8516,7078.2446,6774.3687,6890.222,8622.295,7143.7803,5951.97,5398.573,3778.8057,4076.3027,5985.431,7745.5776,0
245379.5,2,1,2,32.398052,0,0,0,0,0,0,174786.69,164085.94,158279.48,142030.27,135748.4,132101.3,8414.04,8367.999,6332.54,7797.863,9312.306,7179.4272,0
340868.2,1,1,1,42.372894,-1,-1,-1,-1,-1,-1,9297.746,6220.4985,7674.318,5890.734,6766.2305,5975.093,4954.728,6617.761,3403.9172,4146.3154,4327.973,3894.8293,0
214266.55,2,1,2,34.93112,1,-1,-1,-1,-1,-1,3274.7031,3661.3308,5319.318,4625.6753,5345.711,4856.874,2241.587,3914.8296,2659.1611,2489.8599,3219.9797,2903.6729,0
245301.67,2,1,2,33.41445,0,0,0,0,0,0,50890.152,120371.45,115749.44,104739.375,92342.35,81324.09,95983.61,14768.456,6386.048,7085.2686,9852.397,10485.29,0
66988.58,2,2,2,28.086428,0,0,2,0,0,0,19980.955,19930.637,21921.98,20621.686,20257.955,18579.375,3661.031,3579.2034,1129.5111,1650.5012,1729.1647,1791.116,0
440011.03,1,1,2,38.43356,0,0,0,0,0,0,397416.5,392832.44,382838.75,359607.38,337087.4,325311.44,19116.24,17953.643,17345.5,16139.35,17949.594,16834.855,0
104169.516,2,1,2,27.043573,0,0,0,0,0,0,35999.13,32871.023,33753.633,28266.688,29090.553,25945.871,3538.5042,3662.1685,2230.6267,2493.8955,3025.2812,2697.8264,0
184219.95,2,1,2,30.709148,-1,-1,-1,-1,-1,-1,5283.3086,4018.069,4571.5405,4299.8315,4796.5586,4497.448,3299.0872,3815.2405,2450.16,2609.327,3366.0269,3159.3232,0
61692.496,1,3,2,33.246067,0,0,0,0,0,0,36801.82,33235.99,31379.291,27419.842,26347.762,25782.057,2549.7605,3125.8276,1718.9403,1696.0203,3089.1033,2045.9062,0
206018.12,2,1,2,33.77293,-1,-1,-1,-1,0,0,6267.2656,4635.69,8255.787,12313.732,13158.4,10835.341,3284.3643,6791.8965,6828.409,2819.319,2924.9282,3464.0066,0
94773.87,2,2,1,35.564117,0,0,0,0,0,0,39618.727,36751.258,36771.3,29079.846,29245.121,26429.096,2999.2605,2953.705,1834.4315,2035.9744,2402.146,2246.6384,0
312166.6,2,2,1,37.59612,0,0,0,0,0,0,248676.62,241366.64,230870.22,215155.12,199857.8,193009.81,11289.388,10785.809,8785.804,9613.215,9465.754,9543.319,0
363482.44,2,2,1,38.08456,0,0,0,0,0,0,46271.527,40438.555,40567.2,31655.797,34039.88,33398.484,6056.552,6441.325,4198.8174,5262.159,7726.1636,9069.141,0
69356.6,2,2,2,33.690586,1,2,2,2,2,2,33884.6,31538.158,34904.477,31459.713,36168.094,33860.953,2081.8352,2451.146,1415.5021,1359.6421,1882.3451,1693.185,0
159243.27,2,1,2,30.895708,-2,-2,-2,-2,-2,-2,4078.4922,3929.3738,3369.1187,1304.2145,3643.7344,3074.3782,1890.6326,1777.7065,546.5494,1276.1838,2500.4783,1831.064,0
128384.555,2,2,2,30.961454,0,0,0,0,-1,-1,37213.71,29524.262,22136.94,9878.742,5886.0625,9756.063,3314.9458,3109.0305,2047.9501,2666.6177,7318.938,4011.6028,0
154748.55,2,2,1,39.19387,-1,-1,-1,-1,-1,-1,6298.0156,4435.889,4823.732,3939.9565,4377.742,4199.8154,3207.6907,3781.694,2317.646,2469.1553,3326.7183,3014.6934,0
76043.58,1,2,2,27.878553,0,0,0,0,0,0,32411.705,31094.826,30295.35,25835.906,24657.46,23463.393,2828.6199,3104.314,1795.6117,1776.5483,2220.73,2015.7712,0
360124.72,1,1,1,41.811398,-2,-2,-2,-2,-2,-2,5850.0938,5906.1235,6509.4507,6865.941,9689.844,9002.64,5072.991,5166.0796,3731.4128,4870.681,6194.611,6252.61,0
335250.06,1,1,2,36.13082,0,0,-1,0,0,0,97875.8,66298.75,62017.332,179812.02,167761.84,160153.06,15775.112,22614.287,148323.42,24868.068,23742.22,20587.47,0
