X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
202545.6,1,1,2,30.50788,-1,-1,-1,-1,-1,-1,5219.4766,4448.721,4831.189,5285.726,5092.008,4016.9133,4213.315,3938.8374,3295.385,2404.785,2786.82,5225.992,0
210823.22,1,1,2,31.422861,0,0,0,0,0,0,124350.42,124493.34,106095.78,100551.47,94681.766,89835.336,6947.7744,5746.3677,4821.082,4126.7485,4597.1943,4790.223,0
130247.93,1,1,2,31.706553,1,2,0,0,0,0,33998.668,29582.912,30605.258,25259.459,25577.246,24714.098,2821.5732,2717.2285,1941.5331,2257.29,2063.0417,2289.0151,0
86942.57,1,3,2,34.18276,0,0,0,0,0,0,46081.098,41848.445,37584.71,30362.51,29817.215,27804.219,2930.427,2946.8254,2255.7437,1789.3589,2117.6492,1929.7747,0
146711.64,1,2,2,32.48749,0,0,0,-2,-2,-2,45398.203,21816.088,10111.932,162.86676,2166.9062,2970.8079,1847.8181,1817.1304,767.35455,505.7246,1386.3009,275.3071,0
260515.1,1,1,2,32.506844,0,-2,0,0,0,0,55690.715,55140.727,145636.06,130695.414,92779.74,89560.95,14264.304,127471.9,6590.6694,3492.2751,7042.0625,10885.781,0
87549.41,1,2,2,28.188152,0,0,0,0,0,2,35388.65,29653.396,30689.178,26299.771,23538.084,22575.072,2637.8086,2816.7473,2263.5437,1931.2185,2420.7817,1218.2046,0
210524.19,1,2,1,39.989574,-1,-1,-1,-1,-1,-1,5382.367,3632.8152,4148.392,3864.0269,3940.5352,4292.042,4169.5522,3253.909,2761.712,2600.3784,3361.2314,3027.7605,0
305767.25,1,1,1,40.01948,-2,-2,-2,-2,-2,-2,26328.404,20545.12,15735.328,17714.686,34332.402,49902.94,11474.114,11827.166,11496.811,19243.854,44896.953,14240.833,0
230309.84,1,1,1,41.596123,-1,-1,-1,-1,-1,-1,5189.8125,5878.612,5745.822,4510.679,4345.0664,3269.4016,5580.395,4141.1787,2700.1003,2995.1936,3069.194,3403.5554,0
176809.06,1,2,2,31.56702,-1,-1,0,0,0,0,7099.7812,7616.362,11342.463,14427.979,11950.787,15453.358,8500.455,2359.7844,4068.1619,1882.8743,4039.5396,2428.476,0
316105.53,1,2,1,38.395535,0,0,0,0,0,0,239475.25,232680.08,219881.38,213136.69,180344.53,179096.33,10637.75,10235.77,8733.488,6535.898,8344.173,9585.079,0
188493.23,1,2,2,31.9355,2,2,0,0,0,2,130089.484,136250.19,131291.47,128588.13,123023.24,127896.195,5841.8013,5230.8984,5206.2993,5735.2974,5002.907,3979.4226,0
175346.97,1,2,2,32.18838,0,0,0,0,-1,-1,35514.656,26990.613,19872.225,9301.414,4309.0273,6839.212,3627.7988,2694.8613,2916.4336,2829.6733,3978.6897,3559.1135,0
222239.19,1,2,1,39.67318,-2,-2,-2,-2,-2,-2,5984.383,3323.9324,2118.9468,3874.0151,2143.789,2758.05,2538.803,1471.7134,1822.486,1625.4199,2157.9575,1988.6226,0
106293.56,1,2,2,28.276936,0,0,0,0,0,0,37224.887,35048.867,31889.967,28269.346,26840.14,24877.81,3005.6016,2095.7397,2007.7101,1302.6685,1944.4872,1731.2849,0
373325.72,1,1,2,37.278187,0,0,0,0,0,0,169529.89,177193.33,146986.61,140989.66,109345.61,139309.72,17575.725,14518.365,13913.753,23578.152,38184.977,16201.82,0
223994.53,1,2,2,31.222412,0,0,0,0,0,0,84338.23,74747.55,53246.06,42180.79,34646.93,25337.861,7396.9014,4392.606,3846.5151,2475.5183,7592.4,89067.56,0
320308.66,1,1,2,35.42783,-1,-2,5,0,-1,-2,19900.703,19733.047,18019.785,21823.049,17457.963,19151.82,10244.489,11177.351,11886.797,-1513.8794,16189.461,126793.9,0
144521.47,1,1,2,28.023699,0,0,0,0,0,0,43429.574,39714.863,36574.15,32378.502,33195.336,28921.764,3123.3132,2648.965,2433.7642,2013.9624,2267.8972,2565.5208,0
122579.37,1,1,2,29.108192,0,0,0,0,0,0,37856.85,34964.97,30571.176,28804.32,26922.787,23803.16,4189.5874,2707.1196,3084.5742,1966.1912,2138.5063,2534.7266,0
219439.34,1,1,1,41.127064,-1,-1,-1,-1,0,0,5168.2305,5381.862,6513.818,9283.9375,8142.961,7554.255,5055.6626,5076.6587,3688.5212,1885.957,3142.718,3319.932,0
293362.94,1,2,2,30.981771,0,0,0,0,0,0,223815.9,218351.4,206853.97,194314.55,176255.94,172985.16,9770.414,10189.271,8444.41,6427.715,7875.7935,7901.5073,0
219770.92,1,1,2,30.818499,-2,-2,-2,-2,-2,-2,6457.578,6130.846,3782.435,4442.312,2966.9727,4338.003,3132.0154,2012.7861,2442.9172,1621.8923,2880.9785,2033.5447,0
471643.72,1,1,2,29.432894,0,-2,-1,0,0,0,77567.49,-138174.42,959310.0,-15025.43,357143.97,232956.31,276293.62,1183752.8,65216.61,250299.53,307741.6,15901.218,0
99929.516,1,3,1,41.58477,0,0,0,0,0,0,40281.797,37605.41,34686.066,28936.84,27129.357,25391.21,3195.8608,2331.553,1932.389,2011.2627,2018.2023,1895.5579,0
