X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
27850.363,1,2,1,43.20809,3,2,2,2,2,2,2287.5781,1483.526,1090.0249,1609.1559,1241.3203,1269.1711,1141.0935,72.404755,70.6739,-85.03466,582.66095,133.55222,0
239249.92,1,3,1,42.16739,2,2,2,2,2,2,259024.61,254779.2,245721.27,243175.31,211564.05,195513.39,10314.371,-91.993195,11900.695,14325.878,271.2171,6759.4507,0
12045.551,2,3,1,52.115776,2,2,2,2,2,2,3583.5312,3439.2722,3796.8687,3861.8276,3596.7227,3276.2961,1109.865,-3.8310833,211.74422,-52.73046,497.79083,119.9155,0
19118.316,1,2,2,27.958681,3,2,2,2,2,-1,967.8595,-1305.2123,-318.8149,-493.14496,-603.69135,-188.74684,-80.216034,14.0209675,-128.5595,-101.030754,1104.4235,150.249,0
19532.348,1,2,2,24.960764,2,2,2,2,2,2,1658.4532,-1241.9545,389.86868,684.60504,365.26175,-1110.3054,-121.1008,-183.79984,893.29645,-115.49706,67.516426,-5.664092,0
19581.848,1,2,1,38.09608,2,2,2,2,2,2,6815.8906,7574.143,8168.8413,8226.297,8613.943,7697.4834,2435.3381,-102.43753,781.3775,329.6377,66.69807,469.1489,0
20204.895,1,2,2,24.947624,2,2,3,3,3,3,1462.1368,-55.02478,1240.7827,544.73785,380.46487,-642.739,-47.25558,189.61765,-293.86713,-10.964346,-142.487,92.07907,0
572365.0,1,3,1,67.07369,2,2,3,3,4,6,447082.3,474586.94,473731.28,483479.5,499740.03,527926.0,25262.25,9636.848,24038.09,25926.348,33294.84,614.6304,0
49043.527,1,2,2,35.019028,3,2,2,2,2,-1,1137.6056,-1116.6107,119.95071,-385.26605,-923.4179,-330.32104,-188.05197,-22.319853,-144.33488,-73.11913,842.2127,42426.625,0
97678.78,2,2,1,38.04343,3,2,2,3,3,3,637.6212,-278.07166,-410.92038,-62.637146,219.13286,-785.2351,273.41336,359.3618,-204.89153,-47.623528,-219.22968,1673.3262,0
38615.8,1,1,1,47.003822,2,2,2,2,2,2,10744.656,11601.882,12859.939,11694.289,13693.883,13001.61,1989.1016,939.4385,-299.53168,1841.1975,85.15754,1928.2202,0
19568.816,1,2,2,25.864922,2,2,2,2,2,3,35562.027,30962.143,29107.72,25676.924,27992.39,23358.541,-16.246792,2454.9148,-139.56145,6186.5557,-134.65643,136.03171,0
360733.2,2,2,2,24.824783,2,2,2,2,2,2,285523.72,289147.97,284710.47,293631.88,300520.22,279481.3,9916.6,-324.9092,14458.729,5633.398,720.7193,124139.76,0
