model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.678,0.673,0.672,0.677,0.076,0.079,0.08,0.077,13.067,43.242,0.657,0.583,0.653,0.621,0.72,1.2e-05,original,0.01,5,,,,
rf,random,0.686,0.685,0.686,0.686,0.058,0.058,0.058,0.057,6.346,0.224,0.687,0.618,0.691,0.662,0.756,1.3e-05,original,0.01,5,,,,
svc,random,0.756,0.753,0.753,0.755,0.06,0.06,0.06,0.059,1.007,0.009,0.675,0.647,0.737,0.721,0.725,1.4e-05,original,0.01,5,,,,
logreg,random,0.73,0.724,0.724,0.728,0.074,0.076,0.077,0.075,2.4,0.111,0.656,0.61,0.694,0.668,0.715,0.0,original,0.01,5,,,,
mlp,random,0.746,0.743,0.743,0.746,0.092,0.093,0.093,0.091,7.266,1.339,0.68,0.637,0.721,0.699,0.735,2.9e-05,original,0.01,5,,,,
naive_bayes,random,0.62,0.572,0.572,0.619,0.041,0.081,0.081,0.041,3.946,0.001,0.622,0.643,0.779,0.809,0.691,2e-06,original,0.01,5,,,,
knn,random,0.687,0.682,0.682,0.686,0.133,0.132,0.132,0.133,4.37,0.001,0.623,0.605,0.71,0.695,0.668,5.3e-05,original,0.01,5,,,,
xgb,k-means,0.714,0.707,0.706,0.712,0.054,0.054,0.055,0.055,5.16,0.105,0.613,0.505,0.554,0.52,0.66,2.2e-05,original,0.01,5,0,0,0,0.6602756977081299
rf,k-means,0.722,0.718,0.718,0.721,0.065,0.063,0.063,0.064,7.594,0.236,0.634,0.54,0.599,0.564,0.686,1.3e-05,original,0.01,5,0,0,0,0.6602756977081299
svc,k-means,0.662,0.65,0.65,0.662,0.071,0.076,0.076,0.07,3.112,0.008,0.686,0.689,0.787,0.789,0.738,1.5e-05,original,0.01,5,0,0,0,0.6602756977081299
logreg,k-means,0.695,0.69,0.69,0.695,0.041,0.045,0.045,0.041,3.747,0.11,0.588,0.536,0.618,0.583,0.623,0.0,original,0.01,5,0,0,0,0.6602756977081299
mlp,k-means,0.628,0.626,0.626,0.628,0.075,0.075,0.075,0.075,7.584,2.616,0.664,0.612,0.693,0.667,0.726,5.5e-05,original,0.01,5,0,0,0,0.6602756977081299
naive_bayes,k-means,0.602,0.529,0.53,0.602,0.081,0.123,0.123,0.081,7.685,0.004,0.587,0.448,0.475,0.452,0.71,1e-06,original,0.01,5,0,0,0,0.6602756977081299
