X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
63507.48,2,2,1,38.176098,7,6,5,4,3,2,127692.87,74926.33,72338.73,66443.51,63410.02,62163.633,356.03055,240.26169,930.93024,26.143076,119.522285,2149.1567,0
101813.2,1,3,1,42.353184,7,6,5,4,3,2,32773.24,32217.352,32223.506,31033.309,29650.43,30180.572,321.3616,-329.2471,293.99176,4.286142,172.2508,-113.362335,0
18557.645,1,2,2,29.986307,3,2,3,3,5,4,14930.73,17183.852,19551.523,20987.818,20336.586,19764.508,2098.7935,1565.9111,2830.1482,18.437998,2237.8252,-149.08939,0
18022.098,1,2,2,25.060577,2,2,3,3,3,3,299.48837,734.8463,1124.3452,1173.9254,625.7071,1540.8469,19.190708,-211.01468,-20.569265,-45.376457,69.44123,-182.41068,0
18865.785,1,2,2,25.96211,2,2,2,2,2,3,35602.125,31344.174,30284.17,25772.592,27591.434,24101.557,180.60721,2385.7373,54.717358,6283.3145,152.12872,-93.51175,0
58916.38,2,3,1,33.975193,2,2,2,4,3,3,5968.7695,8185.3228,9203.162,9853.305,10750.027,8992.565,1198.2805,2071.7966,148.63338,810.09326,18.088692,1.4360055,0
48594.027,1,3,1,52.018505,2,2,2,4,3,3,37660.293,39307.758,41672.64,41360.664,41349.38,42015.086,1883.3735,4221.4355,123.890205,1477.3965,979.1202,1811.7815,0
8523.816,2,3,1,52.030922,2,2,2,2,2,2,3584.4414,4000.4988,4639.279,4756.656,4720.8203,4878.3193,1054.2708,176.04684,517.9942,18.249033,627.21173,43.839325,0
51732.855,1,2,2,26.025389,1,5,4,8,7,6,46867.49,47624.13,57304.277,55946.55,55427.273,53385.28,177.77664,9935.263,82.69343,50.992195,357.11115,-169.35306,0
18026.566,1,2,1,37.99661,2,2,2,2,2,2,6251.91,8116.0063,8944.361,9145.613,9176.217,8777.415,2431.6855,151.46872,952.98444,445.35303,212.71564,429.78513,0
352490.44,2,1,1,32.923103,0,-1,-1,-1,-1,-1,84676.875,66689.73,17338.848,18009.066,29667.91,32823.645,68394.26,17516.783,18773.266,30758.613,31725.504,89127.45,1
271072.8,2,2,2,26.134096,0,-1,0,0,-1,-1,33498.24,52558.812,68475.19,68194.25,18384.064,26003.467,52500.95,27690.336,10555.239,18103.447,26452.373,17043.072,1
361272.5,2,2,1,35.00532,0,-1,-1,-1,-1,-1,106674.08,25302.34,10174.951,21173.21,21361.959,9276.772,24931.549,10803.031,22058.637,21620.172,9042.292,22308.844,1
499022.22,1,1,2,35.89222,-2,-2,-2,-2,-2,-2,45177.996,80832.055,17984.95,27719.895,21057.494,28700.523,81941.18,17826.4,27173.217,21189.166,28570.6,17214.646,1
360626.2,2,1,1,34.95425,-2,-1,0,-1,-1,-1,96254.36,33979.12,104721.766,72398.02,7237.5117,33494.184,44507.65,100682.9,73515.39,7735.321,32379.518,12711.396,1
280004.06,2,4,1,44.000652,-2,-2,-2,-2,-2,-2,5308.16,11520.7295,21286.29,-220.2934,120.58207,17208.969,12176.909,20872.377,51.900463,16.686045,17253.498,2596.212,1
259367.95,1,6,1,48.08348,0,0,0,0,0,0,139460.39,63570.594,60452.113,52375.836,50512.555,44876.113,18715.309,18756.594,19430.219,19919.406,18120.615,119839.86,1
204189.11,2,1,1,33.990696,-2,-2,-2,-2,-1,0,11588.973,26289.357,35331.824,-23175.75,37518.32,32440.514,13871.315,73477.57,1212.453,124495.67,15038.081,8585.87,1
689235.25,2,1,2,29.97989,0,0,-1,-1,-1,0,40087.766,-1345.4857,9815.885,25860.674,6906.672,169415.92,183.75858,10215.586,25256.926,7004.099,164954.8,7292.8467,1
200303.98,2,1,2,32.80634,0,-1,0,0,0,0,8784.539,9317.87,13277.025,158639.25,143621.11,159155.0,8535.67,14724.65,152648.02,13019.504,49635.27,10359.956,1
