X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
182775.92,1,2,2,36.393135,-1,-1,-1,-1,-1,-1,20791.842,7372.7993,12452.229,25409.873,19577.848,814.1438,3753.2134,6920.9116,6843.2637,1737.396,3326.5544,3184.6409,0
87353.125,1,2,2,35.762,2,2,2,0,0,2,40357.207,34068.203,34932.492,44948.656,40102.6,30049.09,2069.4858,2659.6086,4170.2495,2355.931,1708.8793,1291.2947,0
125845.16,1,3,2,34.81812,0,0,0,0,0,0,46636.125,43523.094,42470.848,34902.223,36249.617,23381.791,3428.2966,4168.7095,5594.928,2291.6013,1983.463,4905.521,0
136341.69,1,2,2,33.603992,0,0,0,-1,-1,2,42648.3,30225.117,25667.254,19615.504,26617.967,11406.757,3444.65,6879.259,6934.935,4079.9543,1987.0717,2985.6243,0
192250.23,1,1,2,35.464203,0,0,0,0,0,0,117948.88,128168.92,104495.375,112171.16,105603.555,95520.55,5857.4565,16644.99,6481.747,5037.331,5169.5835,4798.587,0
148143.95,1,2,2,35.77985,-1,0,0,-2,-2,-2,25909.373,7453.1,-11219.479,-1426.8715,14451.172,-2730.6296,1969.5701,3020.6433,3058.3684,1842.6819,1341.0724,3016.0894,0
121561.836,1,2,2,33.82907,0,0,0,0,-1,-1,52561.76,37387.55,32909.836,15760.023,26640.402,16316.829,2780.8047,3594.9604,4228.085,3148.965,3354.8032,2876.9236,0
331664.0,1,2,1,35.491302,0,0,0,0,0,0,258059.77,289483.1,210192.7,260178.34,210793.89,226329.88,17603.676,26960.613,9534.234,6979.961,7501.3257,13592.818,0
305507.97,1,1,2,36.349117,-1,-1,-1,-1,-1,-1,40445.785,20354.629,37441.715,68962.35,41295.938,45476.215,17609.223,42950.965,27977.879,42394.246,19535.629,18336.736,0
104098.85,1,2,2,35.192627,2,0,0,0,0,0,55974.465,38797.05,34177.016,29650.658,37290.344,32111.879,2697.193,2750.833,3399.88,3326.2793,2055.2913,-500.52298,0
99390.29,1,2,2,35.198982,0,0,2,0,0,2,38467.387,34819.375,35759.71,41071.414,32841.56,22863.387,5475.43,1824.3125,5360.1064,2666.218,1890.5983,2418.1492,0
174872.22,1,2,2,35.324055,1,0,-1,-2,-1,-1,24205.656,3202.659,4823.9272,19069.06,21866.475,2510.6125,1737.008,4903.0796,5800.0684,2505.1003,1901.047,2638.005,0
113199.4,1,2,2,32.08331,0,0,0,0,0,0,54594.387,49398.875,44958.72,38034.805,38398.99,31073.229,4652.0156,6344.511,4710.974,3597.398,1282.9906,2336.5996,0
224698.22,1,2,1,36.60323,2,2,0,0,0,0,190193.95,242664.75,154473.97,219621.8,186125.3,192735.86,5671.653,9417.069,6017.728,5200.3755,6230.0884,9262.949,0
225379.88,1,1,2,36.687508,-2,-2,-2,-2,-2,-2,11977.723,476.80334,-5613.8345,12558.295,19939.602,2432.3782,5081.7017,6829.8936,4375.302,2497.5337,2767.0789,6087.564,0
107920.8,1,2,1,34.845512,0,0,0,0,0,0,54091.715,45743.15,46655.72,32859.547,36248.277,30228.74,2194.098,4506.559,3863.805,3978.8687,1571.7677,1216.3501,0
215212.0,1,2,2,34.339455,0,0,0,0,0,0,158934.64,189471.25,115095.23,155895.03,112664.16,110320.3,7365.1094,14366.61,5027.9756,5270.333,2939.4888,5738.8633,0
182130.98,1,2,2,34.930664,-1,-1,0,0,0,-1,29034.932,14315.468,34223.305,38561.266,25429.508,14831.513,14293.626,26758.941,6456.057,3804.6104,4189.457,6068.344,0
100881.195,1,2,2,35.384808,1,2,0,0,0,0,45095.203,37539.895,35727.562,37309.105,37164.805,29808.059,907.0726,3255.2349,4802.0127,3124.6177,1870.2489,681.124,0
193346.11,1,2,1,35.247066,-2,-2,-2,-2,-2,-2,8929.945,-7229.181,-11603.42,3127.1167,16570.975,-606.25854,4796.516,6608.6377,3150.8977,3799.869,1443.8561,5329.8906,0
224497.97,1,2,1,36.51273,2,0,0,0,0,0,175766.48,222542.94,132126.27,204747.55,167845.4,174673.94,8093.3794,5865.42,8125.783,4893.151,4790.3613,5689.3613,1
221316.42,1,2,1,36.926655,1,-2,-2,-2,-2,-2,7879.1914,-5555.228,-14161.834,2974.2104,16878.617,-1272.1726,2055.0503,4063.5945,2651.4482,1968.8862,1246.598,2653.659,1
77776.0,1,2,1,35.354218,2,2,2,2,2,2,33720.555,28236.97,34272.895,35808.742,43078.62,33198.906,1671.9805,680.81104,3212.26,1215.3022,569.41534,701.24365,1
140308.97,1,2,2,36.35374,1,0,-1,-2,-1,2,29398.33,12913.452,9740.068,21230.354,25865.4,6835.0107,2029.7424,2890.9778,4083.5352,444.9624,1010.5662,516.5869,1
94609.52,1,2,2,33.957737,0,0,0,0,0,0,62898.87,51099.074,49031.14,43251.15,36753.285,32068.31,3252.6687,4423.1865,4128.32,3656.4233,1761.9298,2420.4148,1
78035.68,1,2,2,36.30915,1,2,2,0,0,2,33311.566,29299.027,30932.484,45414.047,38321.03,26609.527,1151.7361,3026.8953,3950.469,1716.1409,1418.8849,1514.5808,1
163548.27,1,2,2,36.964413,-1,-1,-1,-1,-1,-1,20330.143,5048.7563,8439.615,20404.184,20561.719,814.7727,1131.8123,5372.1626,5745.303,1732.7327,2648.1238,3332.899,1
121485.48,1,2,1,36.4679,-1,0,0,-2,-2,-2,27087.488,6609.5415,-9969.115,-5206.446,15741.48,-4236.7393,1680.3545,2441.5,2685.0002,1617.9622,919.2105,158.48044,1
84788.32,1,2,2,35.304276,0,0,2,0,0,2,32490.12,28207.541,30305.963,36851.1,32497.31,20512.758,3944.405,1375.0059,5114.2603,1782.2546,1948.1927,1154.1763,1
262781.12,1,2,2,35.727142,0,0,0,0,0,0,200161.16,259867.7,175402.8,226104.05,183472.9,193157.69,10874.752,20143.656,7739.2275,6287.2876,7015.1567,10959.949,1
93003.63,1,2,2,34.268726,2,0,0,0,0,2,52740.25,36843.004,31749.348,27565.916,36486.844,30945.494,2909.5564,2747.0066,2759.7554,3512.336,1582.1547,-119.29202,1
149261.33,1,2,1,36.353046,2,2,2,2,2,2,117521.61,136275.84,110231.53,144784.28,139047.33,140908.05,6090.994,7964.184,3733.7876,3245.3372,2161.6565,3287.3032,1
95564.84,1,3,2,35.12174,0,0,0,0,0,0,49739.72,46330.72,44731.633,37017.08,36533.793,25242.541,1644.8191,2162.1162,5097.5557,1992.9805,1583.4252,1376.3862,1
93712.78,1,2,2,33.95223,0,0,0,0,-1,2,42561.63,29267.486,27139.877,22699.213,29070.76,14116.401,2510.0796,4184.3716,4804.4307,2310.7812,798.388,1183.2324,1
149610.83,1,2,2,35.12512,-1,-1,-1,0,-1,-1,23636.713,4707.483,17585.043,18859.768,22639.055,5110.96,4316.174,11746.292,4360.1924,2601.957,2294.7498,1060.0513,1
76464.51,1,2,2,36.006577,2,2,2,0,0,0,34155.074,30737.057,31288.943,34002.668,37717.367,28179.354,2459.8364,1183.3203,4426.345,3109.0667,1936.972,1260.4434,1
83028.445,1,2,2,35.987606,1,2,0,0,0,2,38542.164,30526.871,28874.557,29157.906,34548.83,26995.69,336.70242,2308.617,4238.9204,2503.5515,1887.913,324.32663,1
115411.05,1,2,2,35.584843,2,2,-1,-2,-1,-2,36439.812,13433.573,853.11475,10957.154,28403.854,9446.286,2532.7144,-132.68704,2272.5261,721.2793,491.1219,-1389.457,1
