X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
299341.94,1,2,1,34.476143,-1,0,0,-1,-1,-1,69404.85,64723.625,1488.905,4828.6484,69548.414,645.55084,2240.873,2665.9705,117.77855,76595.49,923.9686,-259.1742,0
280033.97,1,1,2,20.783964,-1,-1,3,-1,0,-1,-87615.91,830174.7,123325.805,94273.54,108443.42,15209.559,557962.6,952301.3,153860.19,-2896.6045,25999.623,-12151.778,0
219882.61,1,2,1,36.90918,1,-1,2,0,0,0,-109294.34,366597.25,388946.47,-57075.395,88813.22,12368.113,393763.3,-15823.872,12007.565,2897.6013,16630.803,45089.055,0
462314.1,1,2,2,30.186867,0,0,0,0,0,0,464354.3,502789.06,449860.16,482699.75,429577.8,435307.53,19104.65,39407.156,40260.867,301893.22,11942.506,17592.361,1
333125.22,2,1,2,42.206135,0,0,0,0,0,0,388801.66,363635.1,355884.8,306908.0,329174.1,295139.53,18783.537,13475.165,-471.6858,8356.988,274022.03,10985.069,1
46839.16,1,2,1,63.57177,0,0,0,0,0,-1,53118.47,39894.465,14641.052,26129.104,13745.554,17621.48,1983.1088,4463.3496,2167.1172,2738.6777,19682.959,3475.8906,0
357578.0,2,2,3,29.871521,0,0,2,0,0,0,479626.2,523115.8,453305.03,302833.22,384927.4,94587.27,328264.4,67184.58,-9003.858,164830.55,-26.168808,234505.1,1
272242.34,1,5,1,43.367943,0,0,0,0,-1,0,356253.78,257929.05,215189.61,-167233.42,192591.14,167946.56,9287.561,10330.304,1523.3591,307878.03,8435.42,4946.385,0
421769.2,1,2,2,42.09723,0,0,0,0,0,0,348074.84,364853.7,388942.88,292953.25,258957.64,274108.22,15950.58,289412.62,6565.9785,8352.905,6147.9756,13708.681,1
186498.11,2,2,1,31.783796,-2,-2,-2,-2,-2,-1,180375.8,174457.33,172649.47,165953.44,189441.58,166305.73,8989.653,11499.834,6917.905,8048.967,179389.44,4679.5986,1
618850.44,1,2,2,60.595707,0,0,0,0,0,0,546565.44,529192.44,496116.7,521017.34,426689.12,439100.66,21360.54,33545.66,25794.283,12140.285,12641.745,17584.836,0
585736.44,2,3,1,43.096016,2,-1,0,0,0,-1,-10505.355,75198.81,370397.72,320016.34,346714.28,-3831.1602,80057.305,241435.25,1487.3411,1787.6558,-2692.4998,-1043.85,1
226220.83,1,2,2,30.706308,-1,-1,2,-1,2,2,18301.88,20721.31,-15438.97,247479.02,223036.75,233184.53,2611.393,-4285.9824,231277.75,4738.162,-368.17224,10336.483,1
274065.78,1,2,1,36.174953,-2,-2,-2,-2,-2,-2,199055.12,233545.3,211017.16,203880.8,217150.39,105262.61,11147.524,7145.793,12258.532,8691.954,3550.9106,178533.4,0
447503.0,1,1,2,32.95867,-1,2,-1,2,-1,3,-2795.9333,-48.21307,5155.479,-671.7112,5218.227,1605.8829,595.217,1395.7845,436.40308,2721.5176,-609.46326,-497.93884,1
