X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
20670.02,1,1,2,40.12445,0,0,0,0,0,0,19837.406,16804.066,20251.535,19981.383,14025.15,-232.65309,1477.572,19911.412,876.20953,1056.7019,121.573555,-45.381866,0
350345.7,2,1,3,43.12727,-1,-1,-1,-1,-1,0,116827.164,189784.44,92542.93,162034.98,286479.16,321879.12,871366.75,1220474.1,884768.4,611377.8,26461.262,133469.45,0
537142.2,2,1,1,31.200941,-2,-2,-1,-1,-2,-1,18402.633,-32337.436,1668561.5,113183.66,107850.33,407006.84,503.28885,1672617.4,107096.28,94122.83,378452.75,34474.94,0
602174.94,1,1,2,30.361149,0,-1,2,-1,-1,-1,377870.84,296554.66,323442.47,337121.34,245596.78,261386.95,327817.34,6514.4614,356663.88,254380.52,272534.94,222267.39,0
605201.44,2,1,2,29.253645,-1,-1,-1,-1,0,0,77208.11,476812.8,531255.3,148594.22,121045.91,118693.4,496398.94,1239014.5,171472.0,4991.4976,4997.9795,7490.494,0
505077.72,2,1,2,29.854372,0,0,0,0,-1,-1,33513.863,19494.254,43343.184,36217.74,21436.88,433019.75,6233.044,12369.199,7227.2505,12041.277,421197.0,25357.164,0
496355.47,2,1,2,32.53579,0,0,0,0,-1,0,634707.2,549019.5,469509.22,389510.97,388441.97,392057.9,21864.523,21955.29,17307.717,406679.12,17660.12,2081.4075,0
519471.25,2,1,1,43.25365,-2,-1,0,0,0,-1,67247.19,363584.47,298134.25,184284.73,126109.59,169473.22,361031.8,7005.469,-409.82318,1733.7778,166286.94,366931.9,0
90304.84,2,3,1,37.520954,0,0,-2,-2,-2,-1,59695.53,-5301.72,849380.3,142.59332,6763.4023,125397.24,646.80597,1032939.94,4187.773,4014.288,125494.2,20874.04,0
451190.94,2,2,2,28.773455,-1,-1,-1,-1,0,0,29556.738,80942.45,39070.855,393897.94,224423.92,257668.9,68016.89,45136.83,398410.6,6450.674,104628.484,7850.8345,0
574936.06,1,3,1,66.613556,2,2,3,3,4,6,451882.47,472317.03,470010.72,498654.56,499395.44,528214.7,26946.586,9738.764,25733.418,24764.082,32781.168,358.28757,0
521867.38,2,2,2,43.911694,-1,-1,-1,0,0,-1,1378.922,-6469.9897,284697.28,243096.88,230280.86,-2190.493,-825.3542,281040.97,7015.6416,1419.5569,-1113.8541,521689.97,0
480778.66,2,1,1,42.818462,-2,-2,-1,0,0,0,323643.22,257610.73,308510.2,302854.7,262836.12,184115.42,5171.9473,574521.4,83664.734,29556.1,-823.1506,38538.766,0
486456.9,2,2,2,29.933752,1,-2,-2,-2,-1,0,-19.913958,11105.769,202.2515,1701.4371,323499.47,346421.28,-3106.797,1176.1812,317.06256,330606.47,28718.857,11664.019,0
344793.03,1,1,1,60.57497,-1,-1,-1,-1,-1,-1,85253.75,11002.054,13233.373,61837.355,88678.81,178438.64,9844.163,15603.491,60960.35,85613.02,177554.03,80675.09,0
714587.9,2,1,2,28.78402,1,-1,-1,0,0,-1,16503.547,136.62366,379430.78,394925.8,391032.12,409813.7,250205.38,411567.75,10437.291,11606.387,412965.03,4356.323,0
