X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
125367.06,1,1,2,31.14764,0,0,0,0,0,0,73721.44,71281.76,68581.86,59211.504,52679.62,50044.54,4257.0156,3912.044,3175.8857,3560.8037,2712.9268,2347.4814,0
202883.72,2,1,1,40.20069,-1,-1,-1,-1,-1,-1,5147.3906,5073.315,4783.6147,2976.5347,3809.2305,3259.3079,4406.4067,3855.0063,2846.61,3828.6472,2859.4392,3085.7551,0
62684.004,2,3,1,47.905224,0,0,0,0,0,0,39432.13,36377.574,32688.844,30198.455,26946.854,24868.223,2558.0815,2359.2832,2067.4358,2151.0144,1427.6798,1517.5703,0
253223.22,1,1,1,42.604805,-2,-2,-2,-2,-2,-2,5917.953,4826.6353,2425.9233,3798.2534,2607.4492,2118.593,3679.0322,2900.4868,2841.638,3033.813,1676.4208,2882.893,0
190203.62,1,3,1,35.92058,2,2,2,2,2,0,162218.48,164192.1,162134.52,156484.83,149719.97,150564.64,7140.1504,5185.5117,4943.7734,6308.543,5038.895,4998.907,0
280159.88,2,2,1,38.558617,0,0,0,0,0,0,219895.44,213296.28,208077.64,192877.34,182061.42,169290.25,9556.631,9160.579,8558.978,8287.06,6954.3784,8152.9478,0
405193.53,2,1,1,37.573093,-1,-1,0,0,0,-1,63910.773,95945.414,116421.875,113682.1,83338.055,76821.21,98399.65,62586.14,42696.32,32964.58,59665.285,62002.734,0
368661.88,2,1,1,37.791607,-1,-1,-1,-1,-1,-1,39871.223,17438.777,43999.48,55012.047,47421.85,74708.61,9483.755,7276.677,37798.875,30009.314,66681.43,45952.16,0
62102.84,2,2,2,29.922163,0,0,0,2,2,2,30925.29,32260.137,29654.018,30619.06,31255.926,30208.76,2824.8127,3264.8713,1568.1029,1576.4021,1447.3668,1593.956,0
61602.074,2,2,2,26.816753,0,0,0,0,0,0,30747.512,29109.205,25128.674,24226.943,22048.691,20321.03,2580.4778,2511.9072,2132.774,1883.25,1505.8151,1462.2534,0
222247.52,1,1,2,32.420593,-2,-2,-2,-2,-2,-2,4884.3945,4802.2837,2887.396,4254.136,2432.914,2549.3508,3368.8696,3207.6648,3160.6077,2898.7537,1634.2474,2751.326,0
72017.6,1,2,1,39.359337,0,0,0,0,0,0,35371.08,33573.87,28992.07,26816.348,23315.703,21053.275,2722.1125,2404.5132,1888.2887,1911.9324,1542.9635,1524.0979,0
216849.28,2,2,1,35.42713,-2,-1,-1,0,0,0,27256.176,16262.331,89902.25,59484.312,42746.742,34679.984,6488.4663,87641.05,5290.8394,5927.436,3321.8796,6492.5864,0
154628.16,2,2,1,35.4353,0,0,0,0,0,0,82739.164,77876.12,75837.99,68675.516,62249.066,57874.17,4131.586,4008.7544,3314.1028,3284.0095,2838.9402,2958.2595,0
195115.31,2,1,1,36.72172,-1,-1,-2,-2,-2,-1,8359.09,2311.4324,92.33352,-642.1879,1293.1602,2494.4368,2450.8923,606.9219,266.45172,1675.6208,1857.9952,2252.684,0
189966.9,2,2,2,32.233337,0,0,0,0,0,0,127349.6,120553.516,117975.11,111690.45,104792.76,100012.086,6025.5776,5503.959,4741.402,5009.5854,4380.073,4699.1367,0
174263.66,2,1,2,31.216623,-1,-1,-1,-1,0,0,5099.0117,3137.6472,2345.267,5941.7104,6498.125,6717.6357,3816.8489,2771.717,5560.668,4872.1353,1289.2946,3091.1768,0
321760.53,2,2,2,35.046547,0,0,0,0,0,0,69779.1,64680.773,68945.93,60488.293,53582.242,48865.777,11928.379,17924.926,19170.805,17103.553,16167.151,15791.18,0
272599.1,2,1,1,34.465786,0,0,0,0,0,0,71809.92,180335.6,162965.03,146274.14,130884.79,116934.08,145339.64,15630.794,9822.141,9062.279,6138.61,7306.996,0
213629.14,2,2,1,38.976585,-2,-2,-2,-2,-2,-2,6928.953,5788.7017,3778.0522,4782.261,3565.086,3152.136,3500.5347,3083.0017,3021.2869,2610.2866,1630.4235,3285.0164,0
52285.73,1,2,2,43.15415,0,0,0,0,0,0,37602.453,35772.047,31456.734,25438.594,22316.639,20486.316,2766.1946,2549.662,1749.9991,1741.6548,1582.9237,1323.3574,0
191921.7,1,2,1,41.64666,0,0,0,0,0,0,99833.83,93331.23,92788.6,82623.31,76335.91,69425.49,5190.4233,4572.553,3872.5535,4349.096,3523.167,3566.774,0
287154.34,2,2,1,36.45227,0,0,0,0,0,0,25670.207,22779.03,21132.27,22134.2,20132.275,18645.64,3933.293,3988.2573,2826.2434,3975.6138,2839.449,3535.5996,0
58830.426,2,1,2,26.411522,0,0,0,0,0,0,30057.578,28442.865,24410.988,23583.816,21960.215,20228.592,2432.464,2257.0464,2081.9875,1966.6516,1508.0575,1558.2439,0
178565.19,2,1,2,32.0194,1,-2,-2,-2,-1,-1,5283.742,1755.0885,1093.2202,1837.691,4521.4375,4854.0146,1302.8572,823.8281,1920.5143,4154.5845,2536.8127,2022.6001,0
199205.66,2,2,1,39.51819,-1,-1,-1,-1,-1,0,5365.492,3159.866,2646.9272,5176.5737,5512.457,5846.2256,3295.2,3175.487,4501.319,4298.3066,1135.8837,1910.6819,0
211789.5,2,2,2,33.032776,0,0,0,0,0,0,77310.61,63324.9,57407.492,39189.105,27432.414,16947.877,5318.1567,4550.0005,3368.6296,3472.1694,3007.757,80703.85,0
438211.62,1,2,1,42.41008,0,0,0,0,0,0,381032.9,367683.78,356978.9,338032.66,309786.0,300444.44,14272.11,16292.352,15321.362,13044.854,12576.691,14381.022,0
340435.47,1,2,2,33.97542,0,0,0,0,0,0,80999.71,58206.625,223999.7,203829.66,160723.28,140843.16,5692.067,195640.1,17963.256,9664.994,6962.3823,15857.278,0
296398.97,2,1,1,37.94888,-1,-1,-1,-1,-1,-1,16856.457,14184.968,17004.45,37408.387,21672.385,14197.874,10534.487,16137.262,30937.92,13480.209,11410.921,12391.01,0
52602.598,2,3,1,41.681572,1,2,2,0,0,0,28251.67,28395.494,25593.031,26052.678,22669.63,21722.984,1690.5354,1366.9526,767.98785,1536.0127,1381.5831,1322.1174,0
