X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
512524.28,1,1,2,34.491425,2,2,2,2,2,0,569748.06,589369.7,594537.44,598772.94,590913.06,568217.5,23324.004,18989.527,16212.06,18395.379,22283.176,16347.408,0
461233.25,1,1,1,41.278893,1,2,0,0,0,0,471379.5,457609.84,421366.47,378862.4,331740.25,304097.84,10095.049,21606.66,14008.565,12977.734,12958.165,10467.417,0
421432.78,1,3,1,47.1481,2,4,4,3,4,2,446874.34,456217.44,462572.22,451715.78,430347.66,408482.72,18862.592,17724.01,11471.309,18519.406,20144.04,12305.379,0
371409.62,2,1,1,38.735386,2,2,2,2,2,2,319961.47,329159.84,333955.5,343331.1,343171.53,332332.2,14353.497,12844.466,10493.035,11928.1875,12307.553,9728.342,0
357206.7,2,1,2,34.30359,2,2,2,2,2,2,309364.9,319344.75,323996.56,334369.16,335023.25,324100.28,13999.858,12655.541,10421.102,11851.602,12065.256,9618.71,0
244462.75,1,3,1,42.090427,2,2,2,2,2,2,214570.98,218146.08,221133.88,228526.72,230065.47,225077.7,10271.342,9059.609,8336.836,8389.525,7946.888,7182.497,0
337586.16,2,3,2,33.975613,2,2,2,2,0,0,354437.56,358928.53,358158.75,352710.88,342333.3,327740.72,13008.603,14045.313,11554.713,12074.898,14646.416,10354.014,0
224577.25,1,1,2,30.557556,1,2,2,2,2,2,191628.53,199016.4,201433.22,209471.23,210540.69,204574.42,8207.548,8518.866,6358.806,6765.408,6651.336,5528.2607,0
295180.78,1,1,1,37.55999,3,7,6,5,4,3,283070.53,286699.88,285141.62,277787.12,260051.16,244250.72,9915.518,10632.615,8107.3594,10040.461,9207.471,8555.096,0
184453.47,1,1,2,32.35511,2,2,2,2,2,2,131991.31,137570.31,137406.19,141871.22,144263.66,142004.22,6889.364,4339.5547,4441.247,5184.672,5600.4727,4223.6157,0
469570.5,1,1,2,36.483955,-1,-1,-1,-1,-1,-1,39589.31,31662.588,-730.46875,74503.69,94252.58,62827.03,62991.21,68572.82,148349.55,128011.88,18207.371,24640.1,1
350957.38,2,1,2,35.618706,0,0,0,0,0,0,409039.56,393793.47,359537.78,292207.7,224477.53,412024.0,13326.172,15734.608,8238.498,13687.148,282611.56,12401.847,1
538158.4,2,1,2,33.314785,0,0,-1,-1,-1,-1,48832.957,32493.793,18589.703,24435.55,16516.434,133976.55,2699.9082,1856.542,12163.729,14239.471,152315.9,7820.7095,1
414077.88,2,2,2,30.008183,0,0,0,0,0,0,304409.12,517900.0,421847.7,333275.44,338350.78,243284.14,334434.6,44542.16,18571.426,105687.234,17050.578,218275.31,1
300340.8,2,3,1,41.9901,0,-1,0,0,0,0,65569.125,101245.26,279339.53,205927.47,180205.44,168247.38,69227.516,232089.08,14014.783,9952.094,9879.922,12542.663,1
249428.11,2,1,2,29.14771,0,-1,0,0,0,0,56296.65,50808.72,38511.293,147002.5,121981.79,136297.33,14173.165,14738.474,124920.6,10756.703,39756.637,8361.694,1
401440.34,1,2,1,40.904354,0,0,-1,0,0,0,115691.375,98075.41,402584.4,310961.53,296122.06,294903.03,8497.531,357859.88,18733.824,16824.057,16150.928,11064.314,1
282582.75,2,2,1,34.417606,-1,-1,-1,0,0,0,27783.13,14887.359,179187.14,113367.99,86850.58,78194.09,6577.1816,200370.56,10081.037,4090.1533,4717.792,5285.3755,1
245775.02,2,3,2,35.375923,-2,-2,-1,0,0,0,39046.664,31253.695,129560.766,103757.53,97578.8,95762.234,5014.6504,121036.71,8678.4,4090.162,5942.9927,7294.9487,1
298168.34,2,1,1,37.908417,-2,-1,-1,-1,-1,-1,22700.336,48796.3,58885.4,67164.086,37601.55,38870.51,61070.094,71492.43,61902.68,16441.975,22190.578,17184.605,1
