X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
214125.31,2,2,2,37.32551,-2,-2,-2,-2,-2,-2,3939.961,512.26953,-658.6953,-694.85547,-421.2422,1263.6289,282.4839,2702.2007,10.263184,537.83154,1738.0979,967.51465,0
185307.94,2,1,2,30.805662,-1,-1,-1,-1,-1,-1,4522.254,4424.914,4164.758,2668.4922,3679.2227,3344.3516,1369.4541,5741.3057,2295.9082,982.3425,1818.5696,1359.968,0
118422.59,2,2,2,29.782795,0,0,0,0,0,0,35476.062,31289.834,25597.188,16654.791,12693.24,10946.289,2034.1472,3941.9692,1152.6482,1105.9912,1081.5906,1499.5706,0
67391.44,1,2,1,43.560593,0,0,0,0,0,0,42617.555,39289.426,33286.637,27798.844,24552.39,24284.541,1953.7236,2912.8613,1154.6411,906.0012,1443.6533,1227.7571,0
76381.85,2,2,2,35.25129,1,2,2,0,0,0,51044.6,50491.2,46187.832,40343.457,38220.984,38873.52,765.8906,3320.5535,316.8374,987.83887,1816.2175,1046.1426,0
123784.5,2,1,2,27.973568,0,0,0,0,0,0,79504.13,77254.914,73090.01,68835.52,66281.695,64035.48,4037.872,4397.549,2256.9395,2570.1135,2971.9321,2743.206,0
333782.1,2,1,1,25.830074,-1,-1,-1,-1,-1,0,32862.887,189376.28,701091.8,178711.86,115587.914,123188.44,407518.06,1.1243278e+06,230796.72,176706.05,59874.91,30109.379,0
200874.97,1,2,2,34.74021,0,0,0,0,0,0,160172.28,154140.72,145658.6,139480.73,134246.3,131404.4,7370.674,7529.656,5486.5747,4861.7134,5190.3066,5040.154,0
185021.23,2,2,2,33.40303,-1,-1,0,0,0,0,27516.027,105695.234,99383.74,88695.49,84057.06,78298.5,104456.3,11940.393,6944.9717,5488.6646,4681.8916,3686.5566,0
234791.75,2,2,2,34.64051,0,0,0,0,0,0,86005.61,74295.64,72480.984,56650.523,46325.242,18386.3,7822.8047,6389.7065,6563.4976,4789.871,5257.428,102853.87,0
204497.72,2,2,1,40.34079,-1,-1,-1,-1,-1,-1,4451.5547,4139.8516,4463.3047,-54.671875,1216.543,2371.6484,1141.6704,4189.84,694.02295,1047.011,1673.5676,1076.2168,0
269264.88,2,2,2,35.369965,0,0,0,0,0,0,235473.48,227620.08,216338.31,209911.39,202511.0,195913.62,11287.348,9821.374,8074.0957,7257.2227,7685.6787,7871.6973,0
231048.6,2,1,2,35.06173,0,-1,-1,-1,0,0,44775.797,34280.383,24393.855,118519.72,99648.43,86074.2,8152.3013,10964.846,117741.15,6890.997,6825.2573,6676.2744,0
221715.58,2,2,2,33.387154,0,0,0,0,-1,0,56808.695,47781.195,42290.094,24638.49,111297.04,90704.95,4872.1367,8262.245,6048.609,110752.69,6594.129,5034.6147,0
102658.66,2,2,1,39.28439,0,0,0,0,0,0,67996.734,63990.734,60367.207,56647.21,53062.637,51756.89,3021.2124,3913.292,1888.3313,1935.779,2155.5168,2385.8232,0
244325.94,2,2,2,33.647694,0,0,0,0,0,-1,66381.555,57450.066,54525.203,44627.78,35912.46,98068.4,5722.33,6621.154,3659.666,5682.386,91669.234,6755.606,0
354276.44,1,1,1,39.138573,0,0,0,0,0,0,327949.12,323971.5,315222.97,306849.1,295601.16,286793.1,14072.872,14190.815,11149.925,10023.304,11603.796,10464.816,0
58656.992,1,2,2,28.987787,0,0,0,0,0,0,37800.785,35673.723,31259.096,29148.012,27339.68,28116.344,2261.8865,2357.1648,1085.252,1077.3684,1616.7656,1351.959,0
251054.66,2,2,1,32.304657,0,0,-1,0,0,0,41459.207,37509.48,153540.23,121831.71,114025.914,104218.58,3164.9587,141509.4,2141.3914,3814.478,4311.622,2628.922,0
331275.44,1,2,2,35.393272,0,0,0,0,0,0,52144.473,46343.6,42935.926,41812.074,37979.848,38006.523,3988.5254,4675.4053,3528.8247,2322.981,2807.8452,3155.5352,0
63899.016,1,2,2,35.550365,0,0,0,0,0,0,41286.945,39296.023,34912.312,30703.52,26981.516,27772.562,2157.1497,2960.2297,1097.3147,610.271,1447.092,1139.6536,1
53737.07,2,2,2,30.640427,1,2,0,0,0,0,27622.656,26051.912,23152.012,17871.03,18225.984,17842.762,292.9922,2743.3267,345.68213,897.9136,1367.6721,1011.2085,1
229047.1,2,2,2,34.269802,2,2,2,2,2,2,172697.34,173219.98,176162.94,179348.72,179725.19,174817.08,7141.737,7613.3174,6862.029,6949.934,6445.3955,6731.28,1
51074.977,1,2,1,36.910988,3,2,4,3,3,3,24282.178,26610.78,24869.002,22781.992,24573.42,25822.2,-11.86377,3960.958,-1261.1025,-124.83447,905.07764,104.46826,1
54354.17,2,2,2,27.108631,0,0,0,0,0,0,29834.125,29011.758,25814.182,21655.709,21330.047,21849.908,1978.8057,3027.43,529.88965,872.468,1292.1033,1078.9634,1
70110.64,2,2,1,43.37993,0,0,0,0,0,0,38329.113,37304.133,35172.47,30965.7,29301.648,29859.086,1864.707,3191.78,757.0132,894.4348,1500.7053,1414.1487,1
87556.24,1,2,2,35.467155,2,2,2,2,2,2,44692.773,45820.848,44038.332,43765.047,44383.82,47773.9,2164.552,2816.7297,936.28564,1428.1519,1601.4463,1561.0989,1
279067.38,1,2,2,35.73075,0,0,0,0,0,0,255596.94,247863.42,233705.19,217150.6,202808.81,194115.6,10613.391,11021.321,7396.618,6684.7397,7439.0728,7368.093,1
188602.56,2,2,1,39.70509,-1,-1,-1,-1,-1,-1,3187.7344,3559.1875,4553.0703,-135.35547,1900.5234,2644.8203,614.57764,4433.254,185.73096,900.3252,1411.2339,848.7842,1
217301.25,2,2,2,34.534275,2,2,0,0,0,0,181233.8,180878.47,173035.36,165154.45,159762.44,152109.17,5653.3306,8967.035,5802.757,5095.627,6086.996,4900.6216,1
47583.625,1,2,2,27.598534,1,2,2,2,2,2,22162.762,22503.52,20589.766,19138.82,22454.79,24858.188,450.46533,3979.1675,-562.376,34.29541,620.8364,55.097168,1
156447.02,2,1,2,30.341234,-1,-1,-1,-1,-1,-1,2609.5273,3985.7812,3091.9219,106.77344,1659.6797,1315.0039,1114.9072,3834.2834,239.63818,627.2002,1323.0256,873.8115,1
63685.062,2,2,1,41.207214,2,2,2,2,2,2,28622.158,27687.424,27275.479,25861.242,25908.77,29063.688,923.8662,2589.264,-154.55664,584.44336,603.2427,1019.9883,1
421574.5,1,1,1,42.762985,2,0,0,0,0,0,387620.72,388792.7,387249.84,397807.16,394214.75,377559.8,17918.242,14296.009,15381.034,12232.636,14992.226,13845.459,1
214390.45,2,2,2,38.769985,1,-2,-2,-2,-2,-2,1273.2109,-933.25,-1240.5195,-3786.8594,-1028.4648,407.23828,-609.8633,2052.7534,-1066.7632,-56.756836,1078.2212,375.22314,1
53865.992,1,2,2,28.405474,1,3,2,2,0,0,23650.598,23729.906,22189.857,21851.594,21194.736,26288.213,838.80615,2698.2725,-409.23193,740.3457,1375.5371,1392.8262,1
105831.17,1,2,1,38.027386,0,0,0,-2,-2,-2,21153.098,13988.191,3106.7969,179.02344,-844.08203,4303.1055,354.94043,1872.5828,-351.76953,-391.24463,795.8279,825.50977,1
425168.4,2,2,2,34.774822,0,0,0,0,0,0,422564.56,380811.6,338969.62,253597.47,215488.81,284342.06,22834.2,12753.081,15140.527,62251.094,184693.0,24140.457,1
194564.38,2,2,1,34.815006,0,0,0,0,0,0,149328.69,143105.55,137637.47,129044.12,120881.016,115291.03,7288.463,8186.581,5560.518,4917.706,4961.117,5894.0845,1
242323.72,1,1,2,35.01001,2,0,0,-1,0,0,108399.16,94283.75,59326.953,181571.2,156882.56,139773.39,10558.475,4164.618,165203.33,6056.5796,7526.5625,8401.121,1
