X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
240575.44,1,1,2,34.54572,-1,-1,-1,-1,0,0,11995.902,10332.805,11670.773,16642.295,15461.395,11897.777,3887.346,7600.903,9167.929,3012.854,2855.62,3943.2427,0
178187.12,2,1,2,29.909544,-1,-1,-1,0,0,0,12515.797,13640.855,22190.014,23248.215,20079.436,14773.182,6986.9434,12770.211,3901.252,2999.1602,3831.1182,4021.5908,0
199795.78,2,3,1,48.922237,-2,-2,-2,-2,-2,-2,9737.223,5966.375,5327.5195,7521.9062,8281.783,5038.9336,2082.445,666.2549,2955.854,1591.562,818.01514,1960.863,0
76377.195,1,1,2,28.787231,0,0,0,0,0,0,36753.54,34315.46,30486.824,27612.473,25122.39,23646.275,2503.5251,2137.7766,2103.2576,1595.1421,2682.763,2845.3376,0
138816.66,2,1,2,31.589409,1,2,2,0,0,0,55545.023,52940.965,49484.97,43328.723,40920.79,37525.992,1883.3418,2694.8518,2344.2134,2529.169,2428.8384,3435.773,0
73000.22,2,2,2,48.69612,0,0,0,0,0,0,47108.08,43879.89,37749.555,32862.52,28895.83,28632.441,2937.6096,2288.5334,2446.5603,1806.9839,2526.5686,2942.5093,0
116288.8,2,3,1,54.901855,0,0,0,0,0,0,85377.34,79548.75,72295.47,64949.1,59710.75,57922.008,3554.532,3307.7866,4023.785,3367.1465,3596.22,4102.4736,0
87444.484,2,2,2,30.632175,2,2,2,2,2,2,44938.934,43063.18,42169.863,40671.676,39363.8,36427.82,3421.779,2903.4487,2254.3079,1914.6128,1964.0759,2638.9954,0
203079.0,2,1,1,48.284855,-1,-1,-1,-1,-1,-1,14320.23,11960.0,10922.605,9671.496,11998.131,9408.334,2823.8884,2603.1584,3395.4282,4429.0215,2275.0012,3752.424,0
72822.71,2,1,2,26.872011,0,0,0,0,0,0,26914.94,25116.05,22264.008,20895.707,18933.377,16980.777,2526.2415,1707.2803,1996.7253,1469.0144,2288.6726,2693.3154,0
251370.25,2,1,1,34.827133,0,-1,0,0,0,0,65092.59,188512.06,143944.08,131217.97,127007.05,112847.61,184242.6,18358.21,8549.479,9971.709,5854.9834,9214.814,0
399228.94,2,1,1,34.974216,0,0,0,0,0,0,45404.508,39843.3,33983.254,30498.445,29526.656,29255.2,5081.3667,3524.7532,4518.7617,4387.97,5377.5693,6064.659,0
193623.39,2,1,2,31.57283,-1,-1,-1,-2,-2,-2,10646.02,9656.8125,8277.969,6215.5938,6720.664,5027.91,2293.2285,941.8628,2206.044,671.1377,1174.5161,2173.8855,0
289344.56,2,1,1,34.073555,0,0,0,0,0,0,213574.61,209604.17,204968.23,197841.7,191985.66,188183.64,9114.787,8386.516,9192.02,7814.1763,8266.201,9758.669,0
156272.19,2,1,2,29.839512,0,0,0,0,0,0,103730.8,100317.375,96983.41,91533.39,87161.49,85036.16,4595.376,4181.499,4570.067,3801.6074,4233.3975,4925.5713,0
280896.66,2,1,2,35.269527,0,0,0,0,0,-1,108416.625,84580.914,70969.28,51321.88,38599.617,160827.05,10661.729,8851.788,7790.1562,12473.4,168100.94,9691.363,0
149068.2,2,2,2,32.905045,-1,-1,-1,-1,-1,-1,11298.84,9520.238,7973.3164,7736.7266,7230.074,6021.133,2489.4202,2118.488,2278.5825,2632.9395,2003.3799,3440.2617,0
72209.125,1,2,2,28.438572,0,0,0,0,0,0,40619.3,37826.746,32933.93,30178.129,25158.467,24514.559,2545.6887,2227.75,2176.4019,1487.8105,2743.2512,2653.0168,0
277129.47,1,1,2,33.722977,-1,-1,-1,-1,-1,-1,11960.043,10157.375,9315.602,7621.0273,9790.984,8364.934,3621.1965,4105.675,3934.4602,5498.0625,5207.937,4576.2812,0
220439.67,2,1,2,30.90902,-1,-1,-1,-1,-1,-1,7630.9727,7063.6055,7158.5117,6422.504,7833.2246,6506.0254,3582.551,3311.6506,3513.96,4777.346,4268.7285,3995.3818,0
380840.94,2,1,2,34.290062,0,-1,-1,-1,0,0,113301.2,193188.5,770100.1,97842.8,34119.215,101923.33,251127.25,1.1570455e+06,78992.055,31886.32,60273.605,-529.5039,0
66565.69,2,2,1,45.99014,1,2,2,0,0,0,29273.46,26496.555,24321.283,22785.627,22815.469,20005.248,1826.5891,1325.1489,2252.5435,2052.0454,1518.4832,2396.1191,0
