X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
49714.9,1,1,2,40.269363,0,0,0,0,0,0,27994.203,25542.383,21877.238,19400.338,16466.324,15221.748,2122.5713,2069.8706,1733.5535,697.9634,2076.3906,2433.974,0
542999.9,2,1,3,47.65811,-1,-1,-1,-1,-1,0,144352.03,339969.5,350391.38,217305.44,360906.38,336139.9,988117.8,1.4826444e+06,952378.8,777535.94,40999.965,98478.63,0
535168.2,2,1,1,26.168104,-2,-2,-2,-2,-2,-1,95743.74,-12797.785,1.4554429e+06,198822.61,122065.57,352095.38,23010.559,1.7571349e+06,88157.98,65328.36,414159.38,21158.484,0
485217.12,2,1,2,33.8293,-1,-1,-1,-1,0,0,80183.375,332909.66,735840.25,89242.02,10223.055,84874.3,550703.5,1.3436694e+06,125894.34,44838.117,12277.834,2351.7332,0
579466.75,1,1,2,37.612415,0,-1,2,-1,-1,-1,278877.06,354475.16,208726.16,347245.4,293613.8,366551.6,346261.56,82497.62,354939.94,274366.5,296014.28,196660.2,0
236076.1,2,3,1,37.90007,0,0,-2,-2,-2,0,99696.625,31686.277,818032.2,82576.53,41795.938,131167.45,2842.456,1.0169717e+06,38790.65,16464.486,136530.4,-5436.1714,0
648794.1,2,1,2,31.155523,1,-1,-1,0,0,-1,94593.38,173097.03,406992.1,279389.12,207521.16,459072.3,207177.22,386010.9,22360.857,29549.635,439407.25,25997.613,0
544563.25,2,2,2,26.645561,-1,-1,-1,0,0,-1,45372.406,10306.234,319653.66,210442.9,162485.03,14284.273,20091.227,354300.56,11118.73,6486.6533,12106.127,517719.4,0
255435.58,1,3,1,45.589836,0,0,0,0,-1,0,271141.22,207309.3,133118.42,23252.822,335142.06,284074.84,13898.283,18871.414,6648.3604,464782.22,13795.807,8376.217,0
542501.75,2,1,1,38.661385,-2,-1,0,0,0,-1,101947.305,351562.1,292505.53,207367.2,165328.84,158422.77,392401.06,53541.336,7645.0415,19993.691,163619.67,350493.3,0
265207.38,1,2,1,34.571484,1,-1,2,0,0,0,-16373.34,329563.97,190490.34,122885.7,101155.01,75599.33,492071.0,36759.84,11534.779,12548.654,9539.57,11095.088,0
412991.56,2,2,2,40.19417,0,-1,-1,-1,0,0,81163.85,55454.668,14942.045,335939.1,231041.9,270806.75,55318.316,56614.81,404373.3,25467.035,94591.59,21172.916,0
401551.53,1,2,1,43.433414,0,0,0,0,-1,-1,260575.86,209808.3,192121.61,118032.91,213110.19,85906.29,24010.64,29975.371,12276.705,219204.25,13324.904,377921.38,0
607279.25,1,1,1,56.78059,0,0,0,-1,0,0,636581.0,561746.3,423205.53,484080.4,336218.62,279938.3,32589.004,54966.492,309976.34,34632.348,17177.832,32972.957,0
324816.25,2,2,2,34.13982,1,-2,-2,-2,-1,0,79348.59,57941.62,42072.984,25929.168,308363.75,262436.72,10328.395,12792.716,8081.1494,348639.5,9630.57,9133.812,0
439737.5,2,1,1,34.830486,-2,-2,-1,0,0,0,112514.016,74898.65,499565.8,241610.3,197867.5,184182.19,16811.281,576798.8,39576.39,15504.373,18031.8,10911.215,0
445122.97,2,1,2,31.126232,0,0,0,0,0,-1,132338.36,81399.33,65001.344,42191.008,20572.814,364573.03,11381.979,9189.939,3442.9626,15775.588,422667.72,14582.57,0
346175.72,2,1,2,30.875528,-2,-2,-2,-2,-2,-2,27191.805,213799.19,118954.06,53174.207,47340.43,3423.8086,296373.47,35374.37,9491.002,9672.226,5244.9614,184374.36,0
570578.06,2,1,2,33.4923,0,0,0,0,0,0,608137.06,592768.25,590074.9,558967.6,536228.0,458549.9,22715.59,28734.824,22329.164,16478.148,16537.756,278847.62,0
365916.22,2,1,2,29.794558,-1,-1,-2,-2,-1,-1,44199.973,17600.19,36546.355,23647.299,34284.152,-30823.246,3794.8618,16121.974,3911.94,6568.9185,4998.047,377337.2,0
348547.25,1,1,1,37.631805,0,0,0,0,0,0,220234.44,338628.6,321092.03,213842.97,286613.34,255535.66,247200.81,157044.53,25941.049,169481.45,13897.754,17625.555,0
523877.84,1,1,2,36.498188,2,2,2,2,2,0,574593.25,587637.56,588627.8,581654.56,572174.4,559776.1,18240.965,16675.57,22776.984,17339.838,19705.855,20373.951,0
