type,type,type,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
305.5531,CASH_OUT,305.5531,CASH_OUT,135852.92,4.214126e+07,4.3753404e+07,5.379428e+06,5.145473e+06,0
304.5484,CASH_OUT,304.5484,CASH_OUT,264019.6,4.084099e+07,4.153167e+07,6.5329015e+06,6.5960215e+06,0
305.55014,PAYMENT,305.55014,PAYMENT,16654.969,4.200294e+07,4.385888e+07,24832.625,-1412.75,0
304.5493,PAYMENT,304.5493,PAYMENT,12600.8125,4.0722836e+07,4.1916076e+07,26749.75,-1200.625,0
305.54462,CASH_OUT,305.54462,CASH_OUT,163078.56,3.5032348e+07,3.480999e+07,29979.625,160602.12,0
11.508652,CASH_IN,11.508652,CASH_IN,11375.656,3.878453e+07,3.9073004e+07,122678.31,91289.625,0
11.344299,TRANSFER,11.344299,TRANSFER,1.6241262e+06,1.6153301e+06,725.8125,79296.625,451715.12,0
661.50824,TRANSFER,661.50824,TRANSFER,885021.2,838133.0,9573.5,31617.875,898150.6,0
11.503708,CASH_IN,11.503708,CASH_IN,108304.875,3.818292e+07,3.8455508e+07,561972.25,25961.625,0
11.504349,CASH_IN,11.504349,CASH_IN,78975.086,3.8277796e+07,3.8540308e+07,203162.44,104954.375,0
532.3593,CASH_OUT,532.3593,CASH_OUT,528884.6,520866.7,429729.1,2.3686875e+08,2.3797787e+08,1
279.59732,TRANSFER,279.59732,TRANSFER,533432.0,463511.72,483647.47,23361.125,-951.25,1
449.3227,CASH_OUT,449.3227,CASH_OUT,131837.55,45184.25,10786.375,7.094844e+07,7.25847e+07,1
2.5290833,CASH_OUT,2.5290833,CASH_OUT,416306.8,18874.0,12002.75,35988.875,9.244116e+06,1
18.212234,CASH_OUT,18.212234,CASH_OUT,42808.797,283845.2,264902.75,405156.94,683236.75,1
586.3285,TRANSFER,586.3285,TRANSFER,355773.0,306500.2,289541.88,26432.375,-3394.0,1
250.66954,TRANSFER,250.66954,TRANSFER,1.346921e+06,1.2816035e+06,1.289801e+06,23445.875,-679.75,1
10.37616,TRANSFER,10.37616,TRANSFER,989688.0,1.3939995e+06,388246.7,208670.69,670571.0,1
12.287659,TRANSFER,12.287659,TRANSFER,1.9333541e+06,24297.438,3617.4375,1.3098894e+06,3.2158595e+06,1
212.87863,TRANSFER,212.87863,TRANSFER,4.926201e+06,4.965682e+06,4.936389e+06,21262.75,-1363.5,1
