type,type,type,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
334.58295,CASH_OUT,334.58295,CASH_OUT,174718.52,21120.062,3981.8125,3.6421565e+06,3.7813588e+06,0
343.02716,PAYMENT,343.02716,PAYMENT,13072.609,19381.375,4778.75,-9172.75,10635.875,0
221.08112,CASH_OUT,221.08112,CASH_OUT,129837.914,394774.1,196903.81,627138.8,794338.94,0
274.7156,TRANSFER,274.7156,TRANSFER,2.1639795e+06,22600.438,-2549.4375,2.0419264e+06,4.28182e+06,0
242.20308,CASH_IN,242.20308,CASH_IN,176971.83,1.023469e+07,1.0238628e+07,6.4128365e+06,6.0655665e+06,0
98.812195,CASH_IN,98.812195,CASH_IN,204712.92,27352.688,187424.44,443389.0,380132.56,0
192.4137,CASH_OUT,192.4137,CASH_OUT,113806.31,20567.938,4358.125,489538.94,633182.8,0
285.24902,TRANSFER,285.24902,TRANSFER,1.0168531e+06,12131.25,-8633.5625,2.544038e+07,2.6862662e+07,0
130.30008,TRANSFER,130.30008,TRANSFER,187785.36,21543.812,195.3125,678561.0,916972.75,0
28.656158,PAYMENT,28.656158,PAYMENT,9265.531,21673.75,6863.625,-7138.625,8819.5,0
112.300644,CASH_IN,112.300644,CASH_IN,149095.14,7.73867e+06,7.8686995e+06,985471.6,878005.94,0
254.34637,CASH_OUT,254.34637,CASH_OUT,184458.2,20812.062,4884.125,9.918675e+06,9.81568e+06,0
395.7404,CASH_IN,395.7404,CASH_IN,161065.31,1.66699e+06,1.8864708e+06,905777.0,771985.7,0
323.33215,TRANSFER,323.33215,TRANSFER,9.65007e+06,10749.1875,-5058.1875,9.566555e+06,2.4138676e+07,0
389.18494,TRANSFER,389.18494,TRANSFER,721149.6,22866.188,-1115.25,1.219756e+06,1.98882e+06,0
300.11255,TRANSFER,300.11255,TRANSFER,2.6908344e+07,126359.625,-19676.312,1.1831398e+08,1.5004214e+08,0
193.79826,PAYMENT,193.79826,PAYMENT,10151.516,18501.062,5298.0,-9160.125,8851.125,0
248.3624,CASH_OUT,248.3624,CASH_OUT,372975.78,24906.0,4068.3125,722105.75,1.1322989e+06,0
344.39386,CASH_OUT,344.39386,CASH_OUT,122279.97,21906.625,3691.5,447297.12,598242.94,0
378.15094,CASH_IN,378.15094,CASH_IN,264466.8,32095.438,272862.3,449295.3,342770.7,0
292.29538,TRANSFER,292.29538,TRANSFER,4.143328e+07,65353.0,-13891.3125,6.3676468e+07,1.08840264e+08,0
90.35397,PAYMENT,90.35397,PAYMENT,9801.016,388326.62,328721.06,-6241.75,8816.5,0
378.74585,CASH_IN,378.74585,CASH_IN,381734.12,110567.06,40000.375,5.3963068e+07,5.4888584e+07,0
373.78424,CASH_IN,373.78424,CASH_IN,525299.25,134684.62,31005.312,1.0632569e+08,1.08567416e+08,0
363.39243,TRANSFER,363.39243,TRANSFER,203778.12,21748.938,-442.6875,688351.9,931716.9,0
228.49371,CASH_IN,228.49371,CASH_IN,150526.08,2.4756696e+07,2.488512e+07,1.4923351e+06,1.34746e+06,0
263.29904,CASH_IN,263.29904,CASH_IN,184387.97,3.8037258e+06,4.115577e+06,1.3455645e+07,1.293479e+07,0
345.91718,PAYMENT,345.91718,PAYMENT,12126.031,393830.38,332455.38,-7490.625,10434.5,0
