type,type,type,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
440.64075,TRANSFER,440.64075,TRANSFER,492592.62,29107.188,18774.188,1.2089538e+06,1.7152199e+06,0
272.3078,CASH_IN,272.3078,CASH_IN,303878.25,28471.312,251381.06,269912.44,150298.38,0
316.8907,CASH_IN,316.8907,CASH_IN,245180.22,28372.188,33921.125,1.2166639e+07,1.1927548e+07,0
254.67047,CASH_IN,254.67047,CASH_IN,97798.01,23990.688,37056.125,200247.12,153559.88,0
24.12268,PAYMENT,24.12268,PAYMENT,10555.719,196073.81,195348.94,-10350.75,-2197.0,0
205.71863,CASH_OUT,205.71863,CASH_OUT,168060.72,27250.625,19097.188,2.6223e+06,2.7325185e+06,0
265.1544,CASH_OUT,265.1544,CASH_OUT,198945.55,30870.25,26388.5,2.2845916e+07,2.3044686e+07,0
340.88367,CASH_OUT,340.88367,CASH_OUT,7.5543675e+06,21115.938,15725.75,2.806379e+08,3.113935e+08,0
26.224274,CASH_OUT,26.224274,CASH_OUT,118367.984,25790.562,18720.938,622665.1,774664.25,0
119.43168,TRANSFER,119.43168,TRANSFER,353563.78,29768.0,20085.938,757696.5,1.1585269e+06,0
268.16098,CASH_IN,268.16098,CASH_IN,169662.5,6.0666715e+06,6.2401125e+06,657514.5,499426.5,0
245.18448,CASH_IN,245.18448,CASH_IN,143187.1,26250.188,88270.625,2.2149075e+06,2.1018172e+06,0
315.94305,CASH_OUT,315.94305,CASH_OUT,177233.62,28319.438,21709.75,1.0733035e+07,1.061146e+07,0
283.26324,TRANSFER,283.26324,TRANSFER,177454.14,24826.875,16891.562,455180.44,638539.94,0
25.959549,CASH_IN,25.959549,CASH_IN,173145.22,30868.875,156766.5,413149.88,362120.38,0
333.04446,TRANSFER,333.04446,TRANSFER,7.0940915e+06,28697.188,17750.875,4.5898265e+06,1.4572804e+07,0
363.17807,CASH_OUT,363.17807,CASH_OUT,395087.56,33519.375,29508.375,6.2297228e+07,6.2328384e+07,0
349.01227,TRANSFER,349.01227,TRANSFER,1.6557401e+06,30763.375,19489.125,1.4561105e+06,3.070955e+06,0
245.704,DEBIT,245.704,DEBIT,6311.625,27657.0,22672.0,1.3065e+06,1.1732246e+06,0
156.56117,TRANSFER,156.56117,TRANSFER,939665.8,29327.062,18746.562,1.729097e+06,2.6836465e+06,0
121.312775,CASH_OUT,121.312775,CASH_OUT,203017.36,28461.25,20268.875,6.021764e+06,6.0116095e+06,0
239.90636,CASH_IN,239.90636,CASH_IN,178782.28,1.0287056e+07,1.0465839e+07,5.1320015e+06,4.82405e+06,0
363.9037,CASH_OUT,363.9037,CASH_OUT,207091.25,27671.125,19674.125,2.2569245e+06,2.4355045e+06,0
241.68161,TRANSFER,241.68161,TRANSFER,1.6869484e+06,27849.062,19947.125,1.1884441e+07,1.371046e+07,0
343.59875,CASH_IN,343.59875,CASH_IN,173872.33,1.902594e+06,2.102666e+06,603256.25,442504.8,0
354.58044,CASH_OUT,354.58044,CASH_OUT,322857.78,31594.062,19497.0,378418.38,711254.5,0
106.02295,CASH_IN,106.02295,CASH_IN,139016.34,9.130238e+06,9.267162e+06,807718.75,695957.0,0
305.68402,CASH_OUT,305.68402,CASH_OUT,109968.48,343884.22,245697.44,1.0984531e+06,1.1663846e+06,0
188.52382,CASH_OUT,188.52382,CASH_OUT,117000.01,25837.25,18600.125,304643.2,425195.25,0
268.50577,PAYMENT,268.50577,PAYMENT,13244.906,22350.0,15880.75,-10122.875,-8735.375,0
336.5431,CASH_OUT,336.5431,CASH_OUT,103313.664,26866.0,19318.812,370994.88,474856.25,0
25.416412,CASH_OUT,25.416412,CASH_OUT,347435.72,32274.312,19742.625,847624.4,1.2805116e+06,0
310.84192,TRANSFER,310.84192,TRANSFER,9.909084e+06,26323.25,16985.375,1.5621656e+07,3.2263636e+07,0
384.3296,PAYMENT,384.3296,PAYMENT,13728.969,136907.25,127492.125,-11780.125,-5586.25,0
580.8755,CASH_OUT,580.8755,CASH_OUT,154486.47,30883.812,22428.875,564239.8,719489.0,0
581.16113,CASH_IN,581.16113,CASH_IN,167775.55,27788.375,97567.81,539885.56,443229.8,0
38.226883,CASH_IN,38.226883,CASH_IN,186992.03,3.204487e+06,3.429348e+06,1.02581156e+06,865463.5,0
262.7946,CASH_IN,262.7946,CASH_IN,197590.38,2.2697968e+06,2.478883e+06,6.749994e+06,6.1558715e+06,0
582.4829,CASH_IN,582.4829,CASH_IN,148966.06,976287.5,1.267024e+06,1.6565928e+06,1.3997664e+06,0
366.02197,PAYMENT,366.02197,PAYMENT,14046.078,22593.312,16120.6875,-10654.375,-9195.875,0
198.86235,CASH_IN,198.86235,CASH_IN,157398.1,1.6999394e+07,1.7143144e+07,831168.5,684933.25,0
148.91476,CASH_IN,148.91476,CASH_IN,187233.52,917206.6,1.2676862e+06,743221.6,591165.7,0
234.46893,PAYMENT,234.46893,PAYMENT,12282.141,357059.66,360424.94,-11752.25,-2642.125,0
