model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,34.652,0.002,0.799,0.39,0.772,0.631,,0.0,original,10,5,,,,,
logreg,random,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,1.088,0.007,0.779,0.499,0.97,0.944,,0.0,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.239,0.001,0.736,0.512,0.983,0.969,,1e-06,original,10,5,,,,,
xgb,random,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.312,0.023,0.814,0.458,0.903,0.824,,0.0,original,10,5,,,,,
rf,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,11.725,0.319,0.875,0.484,0.945,0.898,,4e-06,original,10,5,,,,,
mlp,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,1.462,0.017,0.788,0.434,0.857,0.752,,0.0,original,10,5,,,,,
naive_bayes,k-means,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,0.517,0.002,0.78,0.362,0.716,0.56,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
logreg,k-means,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,0.717,0.003,0.702,0.439,0.87,0.772,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
knn,k-means,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,0.739,0.001,0.685,0.447,0.885,0.795,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
xgb,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,1.127,0.033,0.615,0.411,0.816,0.691,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
rf,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,11.036,0.245,0.612,0.356,0.707,0.549,,3e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
mlp,k-means,0.55,0.473,0.473,0.55,0.245,0.28,0.28,0.245,1.479,0.028,0.75,0.414,0.819,0.696,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
naive_bayes,k-means,0.55,0.52,0.52,0.55,0.245,0.261,0.261,0.245,0.542,0.002,0.729,0.336,0.666,0.501,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
logreg,k-means,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,0.823,0.013,0.896,0.511,0.975,0.954,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
knn,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.759,0.001,0.79,0.528,0.988,0.978,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.076,0.022,0.58,0.433,0.86,0.757,,0.0,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
rf,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,11.54,0.305,0.812,0.495,0.964,0.932,,1.1e-05,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
mlp,k-means,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,1.603,0.024,0.87,0.49,0.955,0.916,,1e-06,latent,10,5,2907.0862097740173,0,8.562815443840632e-07,0.001394510269165039,16.82316565513611
naive_bayes,k-center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.502,0.001,0.78,0.361,0.716,0.56,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
logreg,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.849,0.006,0.5,0.001,0.0,0.001,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
knn,k-center,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.68,0.001,0.5,0.002,0.0,0.002,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
xgb,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,1.104,0.025,0.504,0.01,0.017,0.01,,0.0,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
rf,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,10.296,0.265,0.504,0.009,0.016,0.009,,3e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
mlp,k-center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,1.368,0.02,0.465,0.129,0.255,0.147,,1e-06,original,10,5,2907.0862097740173,0,8.562815443840632e-07,0.0017514228820800781,5.059980869293213
