type,type,type,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
284.5496,PAYMENT,284.5496,PAYMENT,17421.656,50520.438,43272.688,12465.625,112.875,0
263.80206,CASH_OUT,263.80206,CASH_OUT,202096.39,10715.125,-2067.875,2.6901935e+06,2.9074435e+06,0
199.98877,CASH_IN,199.98877,CASH_IN,131685.56,137245.19,266405.62,263041.7,190231.62,0
30.605606,PAYMENT,30.605606,PAYMENT,12505.375,115748.31,111633.69,-53717.0,-38106.5,0
216.21518,TRANSFER,216.21518,TRANSFER,176693.06,62844.125,45973.875,850262.56,1.0415761e+06,0
240.16258,CASH_IN,240.16258,CASH_IN,254445.6,2.327034e+07,2.3437834e+07,3.0737505e+06,2.8670225e+06,0
209.46939,CASH_IN,209.46939,CASH_IN,369700.5,5.739039e+06,6.021736e+06,1.4392066e+06,1.3571496e+06,0
588.7019,PAYMENT,588.7019,PAYMENT,27206.625,78922.31,61439.0,105009.31,72267.25,0
34.940414,CASH_OUT,34.940414,CASH_OUT,127651.27,67755.625,57226.562,285497.0,457143.06,0
284.45016,CASH_OUT,284.45016,CASH_OUT,120346.75,45609.062,27772.312,192603.38,280994.3,0
630.76807,CASH_OUT,630.76807,CASH_OUT,176695.7,33132.625,-17594.812,295602.44,440870.88,1
347.85266,CASH_OUT,347.85266,CASH_OUT,6.568218e+06,5.1075365e+06,506421.84,-341846.88,6.883924e+06,1
209.3686,TRANSFER,209.3686,TRANSFER,139725.8,62574.875,36822.625,230627.62,382050.44,1
359.83136,CASH_OUT,359.83136,CASH_OUT,3.7005e+06,2.8598302e+06,328893.75,75194.44,4.0927955e+06,1
438.6963,TRANSFER,438.6963,TRANSFER,8.836786e+06,1.0832e+07,6.552364e+06,-469409.12,5.443373e+06,1
207.07336,CASH_OUT,207.07336,CASH_OUT,168729.89,52171.5,31411.875,279134.44,446668.7,1
338.86234,CASH_OUT,338.86234,CASH_OUT,1.5001896e+06,960631.8,67159.69,310420.75,1.8924928e+06,1
631.4265,TRANSFER,631.4265,TRANSFER,194272.7,74912.56,-11479.0,268977.8,409754.56,1
397.09106,CASH_OUT,397.09106,CASH_OUT,9.663571e+06,7.625243e+06,722599.9,-847492.5,9.79061e+06,1
376.80518,TRANSFER,376.80518,TRANSFER,2.247311e+06,92521.31,-46518.312,126681.31,2.5331785e+06,1
