type,type,type,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
306.9368,TRANSFER,306.9368,TRANSFER,9.320272e+06,209961.06,-123781.125,4.5928795e+06,1.5674574e+07,0
210.52234,CASH_IN,210.52234,CASH_IN,140817.53,2.524454e+07,2.5401984e+07,686805.5,512947.0,0
247.53893,CASH_IN,247.53893,CASH_IN,142996.3,241640.5,344885.34,9.104552e+06,9.039006e+06,0
624.6958,CASH_IN,624.6958,CASH_IN,162377.9,1.1858065e+06,1.3342466e+06,994427.56,784159.06,0
278.1223,CASH_OUT,278.1223,CASH_OUT,241409.53,42535.812,18461.25,627373.4,841784.94,0
261.71194,TRANSFER,261.71194,TRANSFER,370593.03,52730.438,18375.562,278668.3,671241.1,0
321.6192,TRANSFER,321.6192,TRANSFER,996668.1,-10345.4375,-14268.6875,2.886874e+07,3.0112558e+07,0
34.20009,CASH_OUT,34.20009,CASH_OUT,94628.414,50660.562,44150.938,1.2760362e+06,1.4295896e+06,0
656.71765,CASH_OUT,656.71765,CASH_OUT,132644.83,29782.312,-19233.062,256102.94,365466.8,0
31.83516,CASH_IN,31.83516,CASH_IN,197630.39,5.145266e+06,5.323542e+06,1.0307285e+06,977576.1,0
570.1582,CASH_IN,570.1582,CASH_IN,160645.31,4.7851745e+06,4.936955e+06,712213.0,489195.62,0
281.5622,CASH_IN,281.5622,CASH_IN,221085.56,1.9396972e+06,2.0595945e+06,2.8715418e+07,2.870569e+07,0
366.45767,CASH_OUT,366.45767,CASH_OUT,76657.53,56323.875,41022.625,177726.25,239052.12,0
273.52097,CASH_IN,273.52097,CASH_IN,93589.2,2.0469795e+06,2.1706985e+06,413192.38,293078.3,0
235.38152,TRANSFER,235.38152,TRANSFER,486830.28,3072.0625,-5312.3125,2.5999955e+06,3.103959e+06,0
33.21414,CASH_OUT,33.21414,CASH_OUT,242064.84,67139.0,27707.5,767562.4,1.0838732e+06,0
250.7282,CASH_OUT,250.7282,CASH_OUT,367344.2,53426.938,-12372.4375,462425.62,828626.4,0
334.54773,CASH_IN,334.54773,CASH_IN,273487.47,1.6662092e+06,1.772662e+06,4.8272936e+07,4.8280664e+07,0
254.47064,CASH_OUT,254.47064,CASH_OUT,76933.09,45869.688,32478.625,187995.0,262044.94,0
300.9225,CASH_OUT,300.9225,CASH_OUT,350626.8,48843.75,-22827.0,174136.75,506157.94,0
254.70705,TRANSFER,254.70705,TRANSFER,130129.695,65510.0,39875.875,256610.38,372052.75,0
206.91083,CASH_IN,206.91083,CASH_IN,123441.07,1.9683938e+07,1.9797592e+07,557258.56,398453.06,0
542.3281,CASH_OUT,542.3281,CASH_OUT,91002.125,48180.812,23175.438,250195.5,302422.62,0
251.80367,CASH_IN,251.80367,CASH_IN,167405.53,6.515979e+06,6.7193835e+06,9.513305e+06,9.44871e+06,0
284.2758,CASH_OUT,284.2758,CASH_OUT,152661.77,9579.4375,-11536.5,1.2082758e+07,1.2286554e+07,0
31.138397,CASH_OUT,31.138397,CASH_OUT,135701.75,58823.875,40704.062,6.5806035e+06,6.8427535e+06,0
32.858887,CASH_IN,32.858887,CASH_IN,118802.6,1.971123e+06,2.106125e+06,533427.44,465063.75,0
314.25244,CASH_IN,314.25244,CASH_IN,241560.08,1.9960998e+06,2.1854345e+06,4.5817715e+06,4.460078e+06,0
221.7576,CASH_OUT,221.7576,CASH_OUT,88212.78,44748.438,39736.688,567112.56,651063.6,0
359.5802,CASH_OUT,359.5802,CASH_OUT,425375.2,-525633.3,-913699.75,1.214921e+08,1.22395896e+08,0
185.43954,CASH_OUT,185.43954,CASH_OUT,93048.91,24674.562,20674.938,1.8683559e+06,1.968097e+06,0
32.806488,CASH_IN,32.806488,CASH_IN,105783.93,117683.0,236431.5,139594.88,78204.625,0
594.6266,TRANSFER,594.6266,TRANSFER,261893.39,76937.19,9143.5,725043.4,930480.94,0
176.98242,CASH_IN,176.98242,CASH_IN,101527.58,90396.19,203974.0,163154.69,84506.625,0
287.49118,CASH_IN,287.49118,CASH_IN,109934.07,141421.5,244536.88,1.4692129e+06,1.3510245e+06,0
222.61848,CASH_IN,222.61848,CASH_IN,97200.914,3.9977705e+06,4.1066315e+06,498255.75,402457.75,0
299.8741,CASH_OUT,299.8741,CASH_OUT,155094.06,47416.25,34846.438,5.1455545e+06,5.31862e+06,0
336.1527,CASH_IN,336.1527,CASH_IN,100072.266,90392.31,201049.69,179016.06,81996.625,0
360.7342,TRANSFER,360.7342,TRANSFER,4.9845084e+07,-962819.7,-948646.9,6.0110584e+07,1.18522456e+08,0
34.61905,CASH_OUT,34.61905,CASH_OUT,194444.98,92024.94,28412.125,91757.875,329972.56,0
289.83783,TRANSFER,289.83783,TRANSFER,2.4115175e+06,-5082.0,4262.0625,1.1777563e+07,1.4639216e+07,0
388.18967,PAYMENT,388.18967,PAYMENT,21690.86,64297.5,53639.938,6939.875,2052.875,0
321.72327,TRANSFER,321.72327,TRANSFER,2.3402552e+07,-245166.94,-193676.94,3.486907e+07,6.2563052e+07,0
34.067398,TRANSFER,34.067398,TRANSFER,449043.44,60874.25,35638.125,631113.56,1.1460951e+06,0
210.4442,CASH_OUT,210.4442,CASH_OUT,321788.25,29942.25,-24514.875,2.0311495e+06,2.4031215e+06,0
32.740295,TRANSFER,32.740295,TRANSFER,208808.84,36633.625,26987.062,3.237311e+06,3.511284e+06,0
217.7854,TRANSFER,217.7854,TRANSFER,1.6331551e+06,54123.312,81153.5,975563.1,2.734954e+06,0
362.28357,TRANSFER,362.28357,TRANSFER,1.0916098e+06,-128335.25,-185348.69,7.7492296e+07,7.898048e+07,0
317.24905,DEBIT,317.24905,DEBIT,15527.75,68037.375,44617.938,284295.25,254038.25,0
257.69543,TRANSFER,257.69543,TRANSFER,191194.12,37463.188,30425.25,2.2034095e+06,2.3606765e+06,0
351.47934,CASH_OUT,351.47934,CASH_OUT,246543.4,-143948.81,-281377.88,4.7252664e+07,4.7705988e+07,0
272.35974,PAYMENT,272.35974,PAYMENT,16861.766,51881.0,45004.188,11859.0,7778.125,0
356.23184,TRANSFER,356.23184,TRANSFER,959695.0,27554.25,19772.125,1.4569142e+06,2.3688305e+06,0
236.13698,CASH_IN,236.13698,CASH_IN,131987.84,6.4530665e+06,6.618563e+06,619821.3,536536.56,0
382.29074,TRANSFER,382.29074,TRANSFER,5.5728476e+07,1.0839446e+06,-4.0329735e+06,1.0550691e+06,6.6365292e+07,0
34.34218,CASH_OUT,34.34218,CASH_OUT,73669.53,64808.0,55706.875,137373.0,250319.25,0
384.89377,CASH_OUT,384.89377,CASH_OUT,168100.28,48560.75,20349.188,183778.25,323822.62,0
274.8406,CASH_IN,274.8406,CASH_IN,126200.94,1.6861216e+07,1.6966294e+07,543901.8,434981.44,0
29.075562,PAYMENT,29.075562,PAYMENT,11085.969,115830.25,110947.94,-61195.875,-47062.125,0
339.6498,PAYMENT,339.6498,PAYMENT,20077.953,62610.875,52764.125,-2463.625,-6334.875,0
531.71924,PAYMENT,531.71924,PAYMENT,18848.594,68670.875,48031.312,44403.375,10447.0,0
32.73413,TRANSFER,32.73413,TRANSFER,148623.1,68011.81,44363.688,209548.38,397795.94,0
660.43274,PAYMENT,660.43274,PAYMENT,6824.4062,68150.56,33620.875,-14532.25,-53098.875,0
170.55505,CASH_OUT,170.55505,CASH_OUT,228751.98,64639.0,14198.5625,133315.75,366304.06,0
342.09058,CASH_IN,342.09058,CASH_IN,375275.75,1.8075572e+06,1.7995042e+06,1.0036637e+08,1.0048803e+08,0
543.1072,CASH_OUT,543.1072,CASH_OUT,146858.12,29539.562,-8513.8125,3.6093475e+06,3.7058205e+06,0
32.456253,CASH_IN,32.456253,CASH_IN,117770.87,175820.25,284783.88,1.68845e+06,1.6338761e+06,0
358.6547,CASH_OUT,358.6547,CASH_OUT,88150.87,51562.438,43955.312,935706.75,994702.1,0
241.36919,CASH_IN,241.36919,CASH_IN,201610.28,2.59037e+07,2.6092154e+07,4.885985e+06,4.771374e+06,0
34.52806,CASH_OUT,34.52806,CASH_OUT,355707.03,92399.125,10251.75,199306.0,642732.3,0
265.37842,CASH_IN,265.37842,CASH_IN,100916.72,1.0103838e+07,1.0255009e+07,458863.06,419187.8,0
207.65085,CASH_IN,207.65085,CASH_IN,157192.67,1.4513213e+07,1.4635175e+07,2.970491e+06,2.8436095e+06,0
30.94693,CASH_IN,30.94693,CASH_IN,306104.44,107946.75,355987.72,158382.62,114726.25,0
303.4654,TRANSFER,303.4654,TRANSFER,1.186859e+07,35933.938,5826.4375,2.072905e+07,3.495366e+07,0
259.04886,CASH_IN,259.04886,CASH_IN,296174.84,86271.0,330007.75,205957.56,107796.375,0
161.08029,CASH_OUT,161.08029,CASH_OUT,72709.03,45920.562,37726.312,165079.94,234263.56,0
31.642624,DEBIT,31.642624,DEBIT,16951.062,78625.19,61262.562,229500.62,233931.88,0
348.42828,TRANSFER,348.42828,TRANSFER,4.175328e+06,135730.0,-106788.625,347339.8,4.998054e+06,0
266.42346,CASH_IN,266.42346,CASH_IN,132287.33,2.8900064e+07,2.9082328e+07,745260.1,514483.0,0
318.668,TRANSFER,318.668,TRANSFER,3.768874e+07,-281829.8,-429562.5,9.6565304e+07,1.4243384e+08,0
32.467422,PAYMENT,32.467422,PAYMENT,13846.469,115175.875,111877.125,-46035.0,-28976.375,0
140.27731,CASH_IN,140.27731,CASH_IN,134779.7,2.1981822e+07,2.2109756e+07,620131.44,473997.12,0
275.65387,CASH_OUT,275.65387,CASH_OUT,192670.58,-29311.625,-100681.125,2.6483592e+07,2.6809138e+07,0
240.02565,TRANSFER,240.02565,TRANSFER,370699.8,44258.062,56981.688,1.3433887e+07,1.3828356e+07,0
31.128922,CASH_IN,31.128922,CASH_IN,100002.59,9.600077e+06,9.728078e+06,415054.5,411688.8,0
200.8324,PAYMENT,200.8324,PAYMENT,15070.984,75764.94,70430.375,-7368.0,-2121.0,0
545.1491,CASH_IN,545.1491,CASH_IN,135069.64,111605.56,232468.56,251308.12,108602.5,0
343.69043,CASH_OUT,343.69043,CASH_OUT,313485.94,-279007.94,-505062.75,7.294685e+07,7.357633e+07,0
252.01677,CASH_IN,252.01677,CASH_IN,277680.7,186756.0,400335.03,1.7095858e+06,1.5978418e+06,0
345.27942,CASH_OUT,345.27942,CASH_OUT,120184.22,44938.188,39197.0,2.2229015e+06,2.3152025e+06,0
588.2953,PAYMENT,588.2953,PAYMENT,17620.328,74462.375,49595.375,42356.5,6110.625,0
543.0084,CASH_OUT,543.0084,CASH_OUT,238098.98,36436.688,-14676.3125,257974.31,460898.06,0
150.20013,PAYMENT,150.20013,PAYMENT,14171.484,81442.69,78094.56,-11788.5,-18885.5,0
30.63144,TRANSFER,30.63144,TRANSFER,1.2240545e+06,64689.062,88855.75,1.04129525e+06,2.350573e+06,0
289.95255,CASH_IN,289.95255,CASH_IN,235527.77,1.994692e+06,2.2049915e+06,591199.9,434082.12,0
300.65442,TRANSFER,300.65442,TRANSFER,2.0508466e+07,-369782.44,-1.1415596e+06,1.0455265e+08,1.3018419e+08,0
667.1946,CASH_IN,667.1946,CASH_IN,142547.42,132261.0,270219.7,260381.81,83578.875,0
308.91656,DEBIT,308.91656,DEBIT,41228.766,40522.125,21401.938,2.8546748e+06,2.8440645e+06,0
279.5763,CASH_OUT,279.5763,CASH_OUT,205877.64,49322.75,6926.6875,181079.94,354647.56,0
266.23578,CASH_IN,266.23578,CASH_IN,209893.06,2.098489e+07,2.1129294e+07,3.9995425e+06,3.922324e+06,0
322.76346,CASH_OUT,322.76346,CASH_OUT,601899.56,-50421.625,-173623.31,3.3396394e+07,3.4353624e+07,1
525.59265,CASH_OUT,525.59265,CASH_OUT,108785.39,46906.5,18175.5,230577.81,295701.44,1
271.73447,TRANSFER,271.73447,TRANSFER,2.397513e+06,135560.31,-7768.375,181699.81,2.800814e+06,1
265.3922,CASH_OUT,265.3922,CASH_OUT,3.447994e+06,2.5436762e+06,263555.7,126777.5,3.9220872e+06,1
284.261,CASH_OUT,284.261,CASH_OUT,8.47573e+06,6.5539265e+06,601667.3,-761939.5,8.623956e+06,1
626.99,CASH_OUT,626.99,CASH_OUT,128895.83,34660.625,-341.5625,1.6630208e+06,1.7470391e+06,1
598.79266,TRANSFER,598.79266,TRANSFER,254458.5,66871.44,-16144.25,281584.06,500884.7,1
679.4602,CASH_OUT,679.4602,CASH_OUT,224589.56,22300.5,-64697.25,144785.38,351104.12,1
604.21576,CASH_OUT,604.21576,CASH_OUT,278532.66,28208.625,-47155.5,184122.19,439175.62,1
