type,type,type,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
349.16003,CASH_OUT,349.16003,CASH_OUT,89619.055,59762.438,55257.438,441885.25,507104.8,0
429.09033,TRANSFER,429.09033,TRANSFER,8.416759e+07,1.585834e+06,-6.2619565e+06,1.512446e+06,1.00155416e+08,0
467.94965,TRANSFER,467.94965,TRANSFER,2.0532729e+06,-1.12184e+06,-1.4729696e+06,3.5002957e+08,3.5275235e+08,0
296.68832,TRANSFER,296.68832,TRANSFER,4.720125e+07,-670053.3,-1.9495854e+06,2.0903253e+08,2.675774e+08,0
403.34848,CASH_OUT,403.34848,CASH_OUT,602398.1,-942688.8,-1.5612621e+06,1.9881778e+08,2.0008749e+08,0
362.03552,TRANSFER,362.03552,TRANSFER,4.353228e+07,870785.8,-3.06846e+06,870663.1,5.188632e+07,0
327.23047,TRANSFER,327.23047,TRANSFER,1.280738e+07,-355457.06,-661912.5,1.3861414e+08,1.5560714e+08,0
385.14624,TRANSFER,385.14624,TRANSFER,6.993432e+07,-1.4294735e+06,-1.5172381e+06,8.179138e+07,1.637632e+08,0
389.18698,TRANSFER,389.18698,TRANSFER,1.433876e+07,-1.1818668e+06,-1.3927841e+06,2.6961133e+08,2.890641e+08,0
423.33203,CASH_IN,423.33203,CASH_IN,649157.1,1.6752072e+07,1.688247e+07,2.2743624e+08,2.2746606e+08,0
478.98492,CASH_OUT,478.98492,CASH_OUT,944598.06,-1.5946358e+06,-2.5733415e+06,3.4144637e+08,3.4336794e+08,0
430.35556,TRANSFER,430.35556,TRANSFER,1.9680229e+06,-598511.2,-649117.75,2.1259179e+08,2.1509854e+08,0
338.79694,CASH_IN,338.79694,CASH_IN,415901.56,1.7757388e+06,1.7198714e+06,1.1518122e+08,1.1540087e+08,0
347.2087,TRANSFER,347.2087,TRANSFER,4.2023532e+07,-529144.7,-377627.88,7.1608536e+07,1.2161398e+08,0
479.47125,CASH_IN,479.47125,CASH_IN,930762.9,5.3888315e+06,5.000007e+06,3.1512733e+08,3.1578666e+08,0
338.77338,TRANSFER,338.77338,TRANSFER,3.2958986e+07,-569379.44,-1.5748364e+06,2.9233965e+08,3.3587968e+08,0
319.08142,TRANSFER,319.08142,TRANSFER,2.404812e+07,-316061.3,-428133.38,2.7266184e+07,5.555934e+07,0
388.6583,CASH_IN,388.6583,CASH_IN,741046.6,2.6694425e+06,2.3980632e+06,2.1926066e+08,2.1993411e+08,0
494.2281,DEBIT,494.2281,DEBIT,213677.84,-173971.19,-360422.0,8.4464936e+07,8.512415e+07,0
458.27078,PAYMENT,458.27078,PAYMENT,46787.938,3.6123316e+07,3.5890572e+07,-248473.75,-284031.38,0
345.76898,CASH_IN,345.76898,CASH_IN,5352.828,2.9642874e+07,3.0036074e+07,6.0919824e+07,6.0343532e+07,0
308.98883,TRANSFER,308.98883,TRANSFER,2.568931e+07,-384012.2,-1.2307404e+06,2.1677438e+08,2.505815e+08,0
399.0332,DEBIT,399.0332,DEBIT,673056.6,-553960.3,-844320.1,1.5811763e+08,1.5945094e+08,0
351.71707,TRANSFER,351.71707,TRANSFER,5.621317e+07,-487898.44,-565310.4,1.2525262e+08,1.9312528e+08,0
376.85016,CASH_IN,376.85016,CASH_IN,440816.78,1.2579602e+07,1.2730655e+07,1.5757266e+08,1.5749062e+08,0
353.6468,CASH_OUT,353.6468,CASH_OUT,430396.62,-544342.3,-952433.5,1.2577984e+08,1.26714984e+08,0
455.0165,TRANSFER,455.0165,TRANSFER,3.207739e+06,-998774.3,-1.0098731e+06,3.1900637e+08,3.2308118e+08,0
276.71588,TRANSFER,276.71588,TRANSFER,3.5583204e+07,-374394.2,-1.2140931e+06,1.4633325e+08,1.903861e+08,0
458.7447,TRANSFER,458.7447,TRANSFER,1.2774344e+06,-1.208653e+06,-1.8137604e+06,3.1937846e+08,3.2159562e+08,0
432.29486,CASH_OUT,432.29486,CASH_OUT,753515.4,-1.2338535e+06,-2.0164716e+06,2.6267955e+08,2.6423763e+08,0
432.60315,TRANSFER,432.60315,TRANSFER,1.8224926e+06,-849715.8,-1.0384524e+06,2.6730686e+08,2.6967315e+08,0
359.77667,TRANSFER,359.77667,TRANSFER,5.5968276e+07,-1.0742212e+06,-1.2673656e+06,6.334453e+07,1.2904122e+08,0
308.7081,TRANSFER,308.7081,TRANSFER,1.1394528e+07,-180591.44,-535930.6,8.20603e+07,9.6729576e+07,0
457.73126,TRANSFER,457.73126,TRANSFER,1.2078986e+06,1.2442722e+06,696312.25,3.4551658e+08,3.469479e+08,0
347.8993,CASH_IN,347.8993,CASH_IN,290719.3,870531.25,946149.8,5.8839668e+07,5.8854104e+07,0
412.05304,CASH_OUT,412.05304,CASH_OUT,959134.3,-881068.8,-1.3201294e+06,2.2961062e+08,2.3137302e+08,0
389.0663,TRANSFER,389.0663,TRANSFER,2.4168935e+06,-355843.44,-362079.88,1.3323292e+08,1.3646117e+08,0
382.29074,TRANSFER,382.29074,TRANSFER,5.5728476e+07,1.0839446e+06,-4.0329735e+06,1.0550691e+06,6.6365292e+07,0
277.7742,TRANSFER,277.7742,TRANSFER,2.6320356e+07,-238363.69,-636276.6,9.593008e+07,1.2827114e+08,0
58.838074,CASH_IN,58.838074,CASH_IN,140010.75,3.0439326e+07,3.068936e+07,796579.4,596323.0,0
364.79388,CASH_IN,364.79388,CASH_IN,573679.2,2.4797868e+06,2.300278e+06,1.679744e+08,1.684235e+08,0
381.1247,TRANSFER,381.1247,TRANSFER,4.3222435e+06,-628165.06,-661523.6,1.888048e+08,1.9465205e+08,0
378.95618,TRANSFER,378.95618,TRANSFER,1.5222107e+07,-830528.06,-1.0979736e+06,2.0108182e+08,2.2139304e+08,0
289.20834,CASH_OUT,289.20834,CASH_OUT,341139.06,-279945.8,-507192.62,7.212235e+07,7.28326e+07,0
448.41766,TRANSFER,448.41766,TRANSFER,1.2458452e+06,-462741.2,-557570.75,1.6140347e+08,1.6297778e+08,0
334.74463,TRANSFER,334.74463,TRANSFER,3.5891548e+07,-593041.2,-751233.9,4.0427468e+07,8.260382e+07,0
368.47833,TRANSFER,368.47833,TRANSFER,6.7119384e+07,-640402.3,-632011.0,1.4199491e+08,2.2273405e+08,0
453.4112,TRANSFER,453.4112,TRANSFER,1.2150423e+07,48211.375,-163053.44,3.461074e+07,4.9153796e+07,0
416.89362,CASH_IN,416.89362,CASH_IN,905037.06,1.9834065e+06,1.6003812e+06,2.6599854e+08,2.669288e+08,0
411.77686,CASH_IN,411.77686,CASH_IN,742312.25,5.600834e+06,5.3696975e+06,2.4017837e+08,2.4065158e+08,0
373.46368,CASH_IN,373.46368,CASH_IN,183384.28,2.2818366e+07,2.3188582e+07,1.0699358e+08,1.0657486e+08,0
112.2426,DEBIT,112.2426,DEBIT,71213.945,1276.9375,-146812.0,3.7932984e+07,3.8310004e+07,0
380.55612,TRANSFER,380.55612,TRANSFER,985647.2,-190257.75,-308638.5,9.9100824e+07,1.0047297e+08,0
390.6565,CASH_IN,390.6565,CASH_IN,575212.9,5.255193e+06,5.14202e+06,1.8935728e+08,1.8960363e+08,0
362.18567,TRANSFER,362.18567,TRANSFER,5.207028e+07,-758866.3,-538251.4,8.415268e+07,1.459021e+08,0
339.0992,TRANSFER,339.0992,TRANSFER,2.153961e+06,-176871.44,-191491.38,7.34414e+07,7.628141e+07,0
351.82843,CASH_IN,351.82843,CASH_IN,291945.4,4.1229082e+06,4.211442e+06,9.00107e+07,8.992586e+07,0
332.37082,CASH_IN,332.37082,CASH_IN,136769.64,1.5347832e+07,1.5639592e+07,3.9137572e+07,3.894083e+07,0
323.90338,TRANSFER,323.90338,TRANSFER,3.6986564e+07,-769087.7,-2.0904456e+06,1.97288e+08,2.4371573e+08,0
314.65918,TRANSFER,314.65918,TRANSFER,2.3609194e+07,-480696.44,-1.2840279e+06,1.3838203e+08,1.6832758e+08,0
462.2689,CASH_OUT,462.2689,CASH_OUT,75950.78,2.38441e+07,2.3736582e+07,-188222.5,55529.75,0
320.96075,TRANSFER,320.96075,TRANSFER,5.7120244e+07,-636016.56,-841590.4,1.5928592e+08,2.2892768e+08,0
328.51315,TRANSFER,328.51315,TRANSFER,4.6902776e+07,-406120.2,-577265.6,1.2045982e+08,1.7751149e+08,0
371.5962,CASH_OUT,371.5962,CASH_OUT,506482.88,-731463.7,-1.2556476e+06,1.616106e+08,1.627253e+08,0
453.1015,CASH_OUT,453.1015,CASH_OUT,839211.25,-1.3931075e+06,-2.267598e+06,2.992105e+08,3.0092957e+08,0
402.6802,DEBIT,402.6802,DEBIT,490850.53,-350421.56,-562393.0,1.2078685e+08,1.2182886e+08,0
325.25244,TRANSFER,325.25244,TRANSFER,2.8932456e+07,-193406.88,-180441.31,5.569609e+07,9.037774e+07,0
297.44092,TRANSFER,297.44092,TRANSFER,3.5280004e+07,-365057.8,-591068.75,1.0734677e+08,1.5045445e+08,0
317.26953,TRANSFER,317.26953,TRANSFER,9.76894e+06,297621.25,-466044.25,280304.62,1.1723892e+07,0
448.63596,TRANSFER,448.63596,TRANSFER,1.490217e+06,-724562.3,-905315.4,2.2863397e+08,2.3052085e+08,0
346.9919,TRANSFER,346.9919,TRANSFER,4.4783396e+07,-806095.94,-968930.75,5.080854e+07,1.033944e+08,0
329.79263,TRANSFER,329.79263,TRANSFER,6.183718e+06,-419857.06,-505946.75,1.1756122e+08,1.2586855e+08,0
388.93066,TRANSFER,388.93066,TRANSFER,2.3039165e+06,-452457.3,-461071.88,1.6583198e+08,1.688979e+08,0
410.5144,CASH_OUT,410.5144,CASH_OUT,816499.94,-729125.7,-1.0926299e+06,1.9070698e+08,1.922404e+08,0
367.3767,CASH_IN,367.3767,CASH_IN,468318.47,3.5220915e+06,3.447279e+06,1.4612224e+08,1.4631486e+08,0
412.56412,CASH_OUT,412.56412,CASH_OUT,684262.5,-1.100431e+06,-1.8046054e+06,2.3135051e+08,2.3278939e+08,0
272.97308,TRANSFER,272.97308,TRANSFER,4.3652884e+07,-524268.2,-1.1671246e+06,1.6208683e+08,2.1572302e+08,0
329.01477,TRANSFER,329.01477,TRANSFER,3.1524286e+07,-564485.44,-1.5193846e+06,2.6305138e+08,3.044052e+08,0
354.86063,CASH_IN,354.86063,CASH_IN,360702.62,5.2191395e+06,5.263647e+06,1.2018171e+08,1.2015866e+08,0
304.45477,TRANSFER,304.45477,TRANSFER,1.8565294e+07,-24293.625,-165227.94,4.8289708e+07,7.09537e+07,0
322.80127,TRANSFER,322.80127,TRANSFER,2.8158132e+07,-643447.2,-1.4995086e+06,1.7438418e+08,2.103254e+08,0
390.5159,TRANSFER,390.5159,TRANSFER,6.571316e+07,-1.1929602e+06,-907347.9,9.4711e+07,1.7203142e+08,0
74.13852,CASH_IN,74.13852,CASH_IN,108832.55,3.2110008e+07,3.209288e+07,2.0899106e+07,2.0698756e+07,0
307.84442,TRANSFER,307.84442,TRANSFER,1.5987872e+07,-330038.06,-801581.6,1.0401531e+08,1.24456136e+08,0
218.80429,CASH_IN,218.80429,CASH_IN,204903.56,583382.2,661706.4,2.9273976e+07,2.9297994e+07,0
394.58093,TRANSFER,394.58093,TRANSFER,1.2207705e+06,-310282.56,-406832.38,1.3442486e+08,1.360612e+08,0
573.87646,CASH_OUT,573.87646,CASH_OUT,232640.28,-111592.19,-288014.62,4.601252e+07,4.6328956e+07,0
326.69995,TRANSFER,326.69995,TRANSFER,3.4748744e+07,-210919.94,-307140.12,7.790628e+07,1.1993528e+08,0
542.61115,TRANSFER,542.61115,TRANSFER,565625.75,-46995.938,-118560.69,5.0089388e+07,5.071132e+07,0
440.88434,TRANSFER,440.88434,TRANSFER,2.198097e+06,-709030.94,-767404.5,2.4188898e+08,2.4467347e+08,0
424.35724,CASH_OUT,424.35724,CASH_OUT,360551.38,-440233.56,-749126.6,9.536675e+07,9.6112296e+07,0
344.04343,TRANSFER,344.04343,TRANSFER,2.2508608e+06,-277032.94,-276665.88,1.0549529e+08,1.0854286e+08,0
363.84863,CASH_IN,363.84863,CASH_IN,776860.3,2.6076568e+06,2.3794578e+06,2.0144611e+08,2.022442e+08,0
368.89105,TRANSFER,368.89105,TRANSFER,6.2662212e+07,-1.2309038e+06,-1.4527124e+06,7.075897e+07,1.4430083e+08,0
206.60727,TRANSFER,206.60727,TRANSFER,4.2988295e+06,-10359.9375,-164208.12,2.8988932e+07,3.4423996e+07,0
33.414856,CASH_IN,33.414856,CASH_IN,158494.22,2.1183836e+07,2.1366676e+07,2.7429368e+06,2.6623325e+06,0
330.02515,CASH_IN,330.02515,CASH_IN,345030.34,1.2330005e+06,1.2474696e+06,8.584705e+07,8.594284e+07,0
280.89355,TRANSFER,280.89355,TRANSFER,2.0950526e+07,-140162.62,-428527.88,7.288026e+07,9.8590344e+07,0
310.85303,TRANSFER,310.85303,TRANSFER,1.76194e+07,-167210.25,-255373.5,2.0110344e+07,4.086244e+07,0
694.7171,DEBIT,694.7171,DEBIT,32316.828,79576.69,4225.125,289323.8,163591.0,0
651.4397,TRANSFER,651.4397,TRANSFER,269949.12,68473.375,-34351.75,295784.7,542548.5,1
437.92047,CASH_OUT,437.92047,CASH_OUT,685293.6,-1.0774832e+06,-1.7547796e+06,2.2713504e+08,2.285058e+08,1
128.78838,CASH_OUT,128.78838,CASH_OUT,9.71447e+06,7.570738e+06,725332.94,-1.0417386e+06,9.786758e+06,1
470.36008,TRANSFER,470.36008,TRANSFER,1.181793e+07,5.0406452e+07,4.5033476e+07,294818.8,1.024917e+07,1
361.16577,CASH_OUT,361.16577,CASH_OUT,300179.9,-269050.8,-488900.38,7.042921e+07,7.102083e+07,1
156.2564,CASH_OUT,156.2564,CASH_OUT,4.813147e+06,3.6770105e+06,371102.28,-277935.12,5.050108e+06,1
236.70186,TRANSFER,236.70186,TRANSFER,9.40187e+06,2.2728288e+07,1.9190788e+07,-157865.0,7.5317775e+06,1
100.175186,CASH_OUT,100.175186,CASH_OUT,839528.44,34211.25,-167220.31,3.256241e+07,3.392113e+07,1
271.05542,CASH_OUT,271.05542,CASH_OUT,8.1530935e+06,5.9694165e+06,481890.4,4.133006e+06,1.322432e+07,1
30.604218,CASH_OUT,30.604218,CASH_OUT,69527.49,59761.438,46528.0,122425.25,238879.94,1
709.6915,CASH_OUT,709.6915,CASH_OUT,1.6021562e+06,851339.25,-54051.5,-285132.88,1.3648351e+06,1
192.87444,TRANSFER,192.87444,TRANSFER,6.986225e+06,6.326595e+06,3.534872e+06,-159625.25,5.293146e+06,1
473.50122,CASH_OUT,473.50122,CASH_OUT,5.51784e+06,4.3586285e+06,459790.72,2.3625158e+07,2.986847e+07,1
535.4497,TRANSFER,535.4497,TRANSFER,1.0581957e+07,3.7358652e+07,3.2686316e+07,-219810.38,8.185398e+06,1
547.6217,CASH_OUT,547.6217,CASH_OUT,8.518704e+06,7.00319e+06,725755.0,-935262.9,8.262882e+06,1
691.3994,CASH_OUT,691.3994,CASH_OUT,91223.81,17503.125,-45183.562,136415.94,245340.94,1
496.05902,CASH_OUT,496.05902,CASH_OUT,159710.97,15191.8125,-58327.938,2.0645532e+07,2.0812666e+07,1
576.97766,CASH_OUT,576.97766,CASH_OUT,6.4671355e+06,5.3531655e+06,549550.4,-659715.5,6.226802e+06,1
29.453384,CASH_OUT,29.453384,CASH_OUT,1.0994536e+06,499190.6,-70820.31,164726.62,1.4391172e+06,1
626.6719,TRANSFER,626.6719,TRANSFER,9.112502e+06,1.0798821e+07,5.927132e+06,-853655.9,4.699026e+06,1
516.02094,CASH_OUT,516.02094,CASH_OUT,282116.4,-123165.56,-277093.88,4.5514108e+07,4.5916228e+07,1
27.035522,TRANSFER,27.035522,TRANSFER,108808.58,60104.812,31963.562,177384.25,321305.62,1
125.704575,TRANSFER,125.704575,TRANSFER,2.4507175e+06,213250.06,30094.25,148387.62,2.789508e+06,1
