type,type,type,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
429.09033,TRANSFER,429.09033,TRANSFER,8.416759e+07,1.585834e+06,-6.2619565e+06,1.512446e+06,1.00155416e+08,0
382.29074,TRANSFER,382.29074,TRANSFER,5.5728476e+07,1.0839446e+06,-4.0329735e+06,1.0550691e+06,6.6365292e+07,0
376.22247,TRANSFER,376.22247,TRANSFER,5.1970252e+07,1.0170989e+06,-3.739347e+06,993367.9,6.1898204e+07,0
362.03552,TRANSFER,362.03552,TRANSFER,4.353228e+07,870785.8,-3.06846e+06,870663.1,5.188632e+07,0
458.27078,PAYMENT,458.27078,PAYMENT,46787.938,3.6123316e+07,3.5890572e+07,-248473.75,-284031.38,0
455.12097,PAYMENT,455.12097,PAYMENT,50094.08,3.4763236e+07,3.453854e+07,-248305.62,-269498.12,0
368.89105,TRANSFER,368.89105,TRANSFER,6.2662212e+07,-1.2309038e+06,-1.4527124e+06,7.075897e+07,1.4430083e+08,0
442.08667,PAYMENT,442.08667,PAYMENT,59773.617,3.0269066e+07,3.0046708e+07,-231883.62,-248039.38,0
442.0606,PAYMENT,442.0606,PAYMENT,59667.234,3.0261786e+07,3.0040592e+07,-231476.0,-246234.12,0
442.04346,PAYMENT,442.04346,PAYMENT,59464.14,3.026059e+07,3.0041236e+07,-230940.25,-243490.0,0
442.0072,PAYMENT,442.0072,PAYMENT,59918.914,3.0234136e+07,3.0011586e+07,-231584.38,-248029.88,0
442.03638,PAYMENT,442.03638,PAYMENT,59230.734,3.0264154e+07,3.004675e+07,-230418.25,-240606.75,0
441.9721,PAYMENT,441.9721,PAYMENT,59853.344,3.022223e+07,3.0000632e+07,-231191.25,-246508.0,0
441.9011,PAYMENT,441.9011,PAYMENT,60793.312,3.0169046e+07,2.9940802e+07,-232551.25,-255974.88,0
441.95795,PAYMENT,441.95795,PAYMENT,59473.844,3.0226976e+07,3.000859e+07,-230323.0,-241764.0,0
441.8391,PAYMENT,441.8391,PAYMENT,60801.977,3.0144662e+07,2.9917104e+07,-232107.38,-254744.5,0
441.81293,PAYMENT,441.81293,PAYMENT,59854.33,3.0160118e+07,2.9940464e+07,-230008.5,-243095.88,0
441.76535,PAYMENT,441.76535,PAYMENT,62247.0,3.0038876e+07,2.9802004e+07,-233790.88,-267693.12,0
441.78418,PAYMENT,441.78418,PAYMENT,60122.445,3.0141654e+07,2.9920204e+07,-230332.75,-245614.5,0
441.62885,PAYMENT,441.62885,PAYMENT,60297.734,3.0076326e+07,2.985538e+07,-229529.12,-244323.88,0
441.58307,PAYMENT,441.58307,PAYMENT,60806.883,3.0044668e+07,2.9820206e+07,-230211.12,-249294.12,0
441.55646,PAYMENT,441.55646,PAYMENT,60231.15,3.00499e+07,2.9830368e+07,-228856.5,-241988.12,0
441.5451,PAYMENT,441.5451,PAYMENT,59923.914,3.0053792e+07,2.9836854e+07,-228154.25,-238149.62,0
441.53613,PAYMENT,441.53613,PAYMENT,59920.945,3.0050384e+07,2.9833578e+07,-228081.75,-237922.38,0
481.5924,PAYMENT,481.5924,PAYMENT,58195.812,3.5549764e+07,3.559959e+07,116523.69,315540.56,0
462.649,PAYMENT,462.649,PAYMENT,55851.21,3.049815e+07,3.0403072e+07,-221154.12,-41557.0,0
359.77667,TRANSFER,359.77667,TRANSFER,5.5968276e+07,-1.0742212e+06,-1.2673656e+06,6.334453e+07,1.2904122e+08,0
385.14624,TRANSFER,385.14624,TRANSFER,6.993432e+07,-1.4294735e+06,-1.5172381e+06,8.179138e+07,1.637632e+08,0
368.40964,TRANSFER,368.40964,TRANSFER,6.0194404e+07,-1.179881e+06,-1.3392929e+06,6.899455e+07,1.3961362e+08,0
367.71912,TRANSFER,367.71912,TRANSFER,6.0716816e+07,-1.2137952e+06,-1.2859809e+06,7.103954e+07,1.4223638e+08,0
369.41223,TRANSFER,369.41223,TRANSFER,5.9817736e+07,-1.1755272e+06,-1.3066701e+06,6.908634e+07,1.3924622e+08,0
353.22433,TRANSFER,353.22433,TRANSFER,5.0549596e+07,-941664.44,-1.1379535e+06,5.6975052e+07,1.16327224e+08,0
362.92413,TRANSFER,362.92413,TRANSFER,5.6722012e+07,-1.0991238e+06,-1.2466651e+06,6.5067304e+07,1.31620344e+08,0
481.68063,CASH_OUT,481.68063,CASH_OUT,39365.406,3.409944e+07,3.4135388e+07,2.4260125e+06,2.5627805e+06,0
359.53677,TRANSFER,359.53677,TRANSFER,5.3898788e+07,-1.02591844e+06,-1.1913985e+06,6.148266e+07,1.2473774e+08,0
376.72583,TRANSFER,376.72583,TRANSFER,6.3990904e+07,-1.2885408e+06,-1.3628491e+06,7.501297e+07,1.5002432e+08,0
357.16223,TRANSFER,357.16223,TRANSFER,5.2345268e+07,-987900.3,-1.1565315e+06,5.959427e+07,1.2103339e+08,0
350.53455,TRANSFER,350.53455,TRANSFER,4.8890044e+07,-905168.7,-1.0847458e+06,5.5264384e+07,1.1266973e+08,0
355.7906,TRANSFER,355.7906,TRANSFER,5.061006e+07,-949312.44,-1.0963101e+06,5.795231e+07,1.1734788e+08,0
360.2955,TRANSFER,360.2955,TRANSFER,5.3190052e+07,-1.01627806e+06,-1.140133e+06,6.141004e+07,1.2381076e+08,0
352.965,TRANSFER,352.965,TRANSFER,4.875459e+07,-903072.2,-1.0570412e+06,5.56447e+07,1.1287286e+08,0
362.49725,TRANSFER,362.49725,TRANSFER,5.4439572e+07,-1.0541392e+06,-1.1441036e+06,6.3475084e+07,1.2731915e+08,0
344.5025,TRANSFER,344.5025,TRANSFER,4.3917244e+07,-786503.3,-953001.0,4.9667896e+07,1.0124547e+08,0
346.9919,TRANSFER,346.9919,TRANSFER,4.4783396e+07,-806095.94,-968930.75,5.080854e+07,1.033944e+08,0
346.98975,TRANSFER,346.98975,TRANSFER,4.522901e+07,-819295.44,-973417.75,5.1441036e+07,1.0454725e+08,0
444.91992,PAYMENT,444.91992,PAYMENT,80074.6,2.4356584e+07,2.419075e+07,-187683.88,-162655.75,0
349.37234,TRANSFER,349.37234,TRANSFER,4.6581716e+07,-854768.94,-992096.25,5.3327308e+07,1.0800784e+08,0
344.19016,TRANSFER,344.19016,TRANSFER,4.3030396e+07,-764081.56,-928967.5,4.869643e+07,9.923247e+07,0
447.15588,PAYMENT,447.15588,PAYMENT,80458.48,2.4097644e+07,2.3934632e+07,-191135.25,-162801.88,0
392.20935,CASH_OUT,392.20935,CASH_OUT,569687.7,-799102.94,-1.3309899e+06,1.7147621e+08,1.726724e+08,0
356.5249,TRANSFER,356.5249,TRANSFER,4.931969e+07,-928286.06,-1.0196315e+06,5.74924e+07,1.1534089e+08,0
342.3063,TRANSFER,342.3063,TRANSFER,4.1573556e+07,-732468.3,-877185.6,4.7309372e+07,9.613247e+07,0
355.1815,TRANSFER,355.1815,TRANSFER,4.8846656e+07,-918368.94,-1.006435e+06,5.6952796e+07,1.1424903e+08,0
391.4758,CASH_OUT,391.4758,CASH_OUT,587514.4,-867184.44,-1.4440796e+06,1.8523462e+08,1.8648229e+08,0
338.46658,TRANSFER,338.46658,TRANSFER,3.9088268e+07,-671248.06,-827073.6,4.419109e+07,9.011067e+07,0
338.08466,TRANSFER,338.08466,TRANSFER,3.8401984e+07,-652884.2,-815144.4,4.330898e+07,8.842561e+07,0
385.3758,CASH_OUT,385.3758,CASH_OUT,579754.94,-848552.06,-1.4205954e+06,1.8245006e+08,1.8369547e+08,0
338.04358,TRANSFER,338.04358,TRANSFER,3.8361372e+07,-652340.2,-811804.1,4.3306388e+07,8.83745e+07,0
405.69507,CASH_OUT,405.69507,CASH_OUT,641119.75,-1.00398994e+06,-1.6503184e+06,2.1072277e+08,2.1206925e+08,0
351.41455,TRANSFER,351.41455,TRANSFER,4.586865e+07,-842192.06,-944885.6,5.3222304e+07,1.0703952e+08,0
414.58545,CASH_OUT,414.58545,CASH_OUT,678633.25,-1.0766745e+06,-1.7635076e+06,2.2659506e+08,2.2800901e+08,0
379.7477,CASH_OUT,379.7477,CASH_OUT,556183.3,-791396.44,-1.3349139e+06,1.7202957e+08,1.7323016e+08,0
351.90115,TRANSFER,351.90115,TRANSFER,4.6667396e+07,-865265.3,-955490.1,5.4338164e+07,1.0908638e+08,0
381.76105,CASH_OUT,381.76105,CASH_OUT,552632.25,-786613.8,-1.3260356e+06,1.7086173e+08,1.7204886e+08,0
423.7429,CASH_OUT,423.7429,CASH_OUT,615672.5,-973891.06,-1.5964366e+06,2.0345574e+08,2.0470866e+08,0
403.34848,CASH_OUT,403.34848,CASH_OUT,602398.1,-942688.8,-1.5612621e+06,1.9881778e+08,2.0008749e+08,0
369.0846,CASH_OUT,369.0846,CASH_OUT,513509.9,-660806.06,-1.122943e+06,1.4632328e+08,1.4742605e+08,0
419.90997,CASH_OUT,419.90997,CASH_OUT,674015.0,-1.0772528e+06,-1.7654164e+06,2.2709491e+08,2.2848926e+08,0
337.24298,TRANSFER,337.24298,TRANSFER,3.820539e+07,-651648.7,-797938.6,4.330125e+07,8.818425e+07,0
407.36456,CASH_OUT,407.36456,CASH_OUT,633818.75,-1.0065087e+06,-1.6576531e+06,2.1130818e+08,2.126409e+08,0
462.2689,CASH_OUT,462.2689,CASH_OUT,75950.78,2.38441e+07,2.3736582e+07,-188222.5,55529.75,0
393.56668,CASH_OUT,393.56668,CASH_OUT,574335.44,-871612.3,-1.4566119e+06,1.860823e+08,1.8730634e+08,0
412.56412,CASH_OUT,412.56412,CASH_OUT,684262.5,-1.100431e+06,-1.8046054e+06,2.3135051e+08,2.3278939e+08,0
405.85492,CASH_OUT,405.85492,CASH_OUT,654397.1,-1.0467367e+06,-1.7223326e+06,2.1972784e+08,2.2111373e+08,0
389.88306,CASH_OUT,389.88306,CASH_OUT,561252.0,-835305.06,-1.4001011e+06,1.7935843e+08,1.8055483e+08,0
400.82483,CASH_OUT,400.82483,CASH_OUT,631108.94,-1.0000623e+06,-1.6541904e+06,2.1089542e+08,2.1224112e+08,0
381.998,CASH_OUT,381.998,CASH_OUT,544553.2,-783298.3,-1.3226901e+06,1.7031229e+08,1.7148234e+08,0
383.6955,CASH_OUT,383.6955,CASH_OUT,561197.0,-831791.06,-1.4003671e+06,1.7950206e+08,1.8071552e+08,0
428.44537,CASH_OUT,428.44537,CASH_OUT,728973.06,-1.165428e+06,-1.9026174e+06,2.47443e+08,2.4893917e+08,0
425.4176,CASH_OUT,425.4176,CASH_OUT,574694.25,-906292.8,-1.4878499e+06,1.8818432e+08,1.8934382e+08,0
319.63776,CASH_OUT,319.63776,CASH_OUT,72682.055,43255.688,32686.938,1.3352181e+06,1.389412e+06,1
316.17752,CASH_OUT,316.17752,CASH_OUT,67268.23,46212.812,32990.062,935715.75,984832.5,1
165.05457,CASH_OUT,165.05457,CASH_OUT,71590.87,34928.688,26160.0,2.036438e+06,2.1155372e+06,1
67.276855,CASH_OUT,67.276855,CASH_OUT,72642.73,62521.188,53889.0,1.854722e+06,1.9681628e+06,1
322.81506,CASH_OUT,322.81506,CASH_OUT,76094.164,45120.188,36297.312,1.679531e+06,1.7318964e+06,1
154.63838,CASH_OUT,154.63838,CASH_OUT,65625.88,34842.562,24320.375,1.5329921e+06,1.6095236e+06,1
381.72107,CASH_OUT,381.72107,CASH_OUT,73783.586,57283.0,42026.188,1.1123969e+06,1.1565606e+06,1
236.11081,CASH_OUT,236.11081,CASH_OUT,68833.375,40758.75,27548.312,962106.2,1.0349351e+06,1
224.52219,CASH_OUT,224.52219,CASH_OUT,68430.0,41867.438,29771.5,913606.3,985943.3,1
202.33786,CASH_OUT,202.33786,CASH_OUT,78578.76,37152.125,29086.062,2.2601665e+06,2.3437505e+06,1
220.42699,CASH_OUT,220.42699,CASH_OUT,68640.1,41469.688,29952.312,932518.75,1.00486644e+06,1
332.3344,CASH_OUT,332.3344,CASH_OUT,69138.95,56251.25,42312.0,893600.44,945495.0,1
321.60098,CASH_OUT,321.60098,CASH_OUT,65936.836,51094.375,37476.75,725073.4,772292.25,1
198.95042,CASH_OUT,198.95042,CASH_OUT,69593.26,35770.25,26949.25,1.1396589e+06,1.216012e+06,1
132.53146,CASH_OUT,132.53146,CASH_OUT,68787.84,40576.0,29447.875,1.4556369e+06,1.5412289e+06,1
318.40475,CASH_OUT,318.40475,CASH_OUT,67612.35,47313.438,34752.875,829707.94,877586.3,1
232.39372,CASH_OUT,232.39372,CASH_OUT,68315.71,48606.312,36809.25,563439.44,632818.56,1
184.66118,CASH_OUT,184.66118,CASH_OUT,67433.99,38154.188,31268.062,779395.44,845629.3,1
363.62436,CASH_OUT,363.62436,CASH_OUT,87535.4,49624.75,40977.438,1.5832089e+06,1.6385059e+06,1
320.6279,CASH_OUT,320.6279,CASH_OUT,67363.375,49870.812,37059.75,778633.44,825900.1,1
373.97937,CASH_OUT,373.97937,CASH_OUT,71481.79,55503.938,38427.375,174369.12,234576.06,1
195.1296,CASH_OUT,195.1296,CASH_OUT,69101.08,37115.25,29261.5,990639.9,1.0632241e+06,1
307.04962,CASH_OUT,307.04962,CASH_OUT,74980.44,39864.5,30142.0,1.1860184e+06,1.2354154e+06,1
