Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.4009899,39.688126,0.33807394,18.15965,24.881416,794.8632,0.016276974,0.038635366,2.4390576,0.19149499,May,2,2,1,4,Returning_Visitor,False,False
1.3428906,38.551414,0.16846742,11.440956,22.150341,806.8988,0.013645317,0.03764955,1.3510883,0.01368039,Mar,2,2,3,1,Returning_Visitor,False,False
1.1520554,37.360813,0.22324885,13.484098,25.676624,958.5283,0.013938719,0.038178854,2.015147,0.06251809,May,2,2,7,1,Returning_Visitor,False,False
1.9259804,63.055676,0.41557175,31.08015,29.231144,1052.536,0.0070233927,0.026071932,3.1378012,-0.0023424786,Dec,2,2,1,2,Returning_Visitor,False,False
1.8333756,60.467228,0.44799036,22.832575,24.919498,842.8098,0.012375578,0.03234167,2.5866203,0.06483651,May,1,1,1,2,Returning_Visitor,False,False
0.944944,28.739101,0.15055372,10.623758,23.465124,849.34576,0.029681714,0.052459512,2.2644415,0.1398768,May,3,2,1,13,Returning_Visitor,False,False
1.6384834,44.51496,0.3379023,18.132563,35.594242,1301.4384,0.008470258,0.028111134,3.0058298,-0.0011042071,Nov,2,2,1,2,Returning_Visitor,False,False
1.6408904,51.827885,0.32118776,19.579111,24.955582,803.29736,0.014332225,0.035312217,2.9186542,0.0667261,May,1,1,3,3,Returning_Visitor,False,False
0.07341636,3.5882945,0.011965223,-2.2519321,3.6125264,62.950756,0.1875643,0.18801583,0.30709478,0.06084923,Nov,1,1,1,3,Returning_Visitor,False,False
2.8722162,96.402504,0.5656074,41.05536,28.578905,1015.2961,0.0053854114,0.02085727,3.7828104,0.0008117321,Mar,2,2,3,2,Returning_Visitor,False,False
8.340906,285.35345,3.4946363,325.16733,154.78467,6395.011,0.006260115,0.017584186,5.049513,0.023662748,Nov,2,2,1,2,Returning_Visitor,False,False
2.2561603,96.346886,0.48301342,38.829033,24.892288,856.07745,0.008137364,0.026330829,2.994769,0.029131414,May,1,1,3,2,Returning_Visitor,False,False
1.482054,52.67072,0.2218832,15.713261,27.97786,987.37476,0.00805828,0.030363912,3.318334,0.051647734,Dec,2,4,7,2,Returning_Visitor,False,False
2.0236197,62.264194,0.26817724,22.508898,23.43117,780.7086,0.009947624,0.03144747,2.0193403,0.0077927844,Mar,2,2,1,1,Returning_Visitor,False,False
0.016977675,0.85749763,-0.021940313,-2.0385952,3.5044122,51.677197,0.19139986,0.19042295,0.42635748,0.06295064,Dec,2,2,1,1,Returning_Visitor,False,False
1.5251852,35.468513,0.16238816,11.93602,25.956757,832.97833,0.011999305,0.03427159,2.3182256,0.12532878,May,2,2,9,4,Returning_Visitor,False,False
1.3496772,45.048748,0.2207719,18.409687,22.983175,860.0429,0.009404232,0.032079436,1.8532612,0.004117547,Mar,3,2,1,10,Returning_Visitor,False,False
6.1430364,182.44424,1.0124658,56.02338,105.85281,4111.1616,0.009446648,0.020870265,5.6071095,0.06079394,May,2,2,1,1,Returning_Visitor,False,False
1.7805145,64.252594,0.280454,17.884935,23.134398,762.06604,0.010560161,0.030528445,2.2788029,0.01655857,Mar,1,1,1,2,Returning_Visitor,False,False
2.9145186,82.679535,0.43451023,26.999514,20.693731,691.4387,0.010239475,0.026202656,2.812645,0.011063992,Mar,3,2,1,8,New_Visitor,False,False
3.1681805,103.10967,0.32817614,20.922504,26.099205,1119.0887,0.001744568,0.01555103,21.871176,0.032005604,June,2,2,1,5,New_Visitor,False,True
2.2078767,77.54312,0.39232296,31.336151,30.705517,1191.2883,0.0047582625,0.017680224,26.991125,0.014822478,Nov,2,2,1,2,Returning_Visitor,False,True
3.3464415,94.36507,0.48251426,18.191692,64.265884,2733.58,0.009221474,0.022023927,17.435886,-0.0036206108,Nov,2,2,1,1,Returning_Visitor,False,True
3.4205596,107.671,0.48897532,32.246754,39.701176,1635.1914,0.006831194,0.018729497,31.142567,-0.0012178732,Nov,3,2,1,8,Returning_Visitor,False,True
2.019086,75.39117,0.24459957,14.681669,25.334106,957.96497,0.006787157,0.020113466,28.24436,0.031946965,Nov,1,1,1,2,Returning_Visitor,False,True
2.2187996,77.51673,0.4781917,23.82858,29.359589,1062.6027,0.0065173185,0.019659529,26.535837,0.08500973,May,2,2,1,4,Returning_Visitor,False,True
2.938594,104.63496,0.2754986,26.867268,38.68841,1503.5632,0.0070187883,0.020441566,25.125341,0.041522965,Nov,2,2,2,2,Returning_Visitor,False,True
3.230214,96.61033,0.8064256,35.95617,44.984562,1772.3076,0.0055842004,0.018799577,23.190748,-3.60099e-05,Nov,2,2,1,10,Returning_Visitor,False,True
2.9530618,114.82496,0.5807827,41.634113,25.177816,792.9455,0.0070511806,0.019741505,29.14994,0.011358268,Mar,1,1,1,2,Returning_Visitor,False,True
1.8266727,64.70713,0.28736266,26.484118,24.562145,867.3086,0.0019005217,0.012113028,45.30474,0.03734858,Nov,2,2,9,2,New_Visitor,False,True
2.1656165,76.25848,0.14828153,13.950605,24.448162,1290.2937,0.00054329785,0.012417612,109.255905,0.008232723,Dec,8,13,9,20,Other,False,True
6.4864516,206.628,1.3714184,116.82659,195.84581,7562.7397,0.004952337,0.015879339,11.252196,0.0049113506,Nov,2,2,1,2,Returning_Visitor,False,True
8.195989,330.47556,4.6765285,395.13556,77.00079,3641.1729,0.0064789406,0.01734394,16.999893,0.018986458,Nov,2,2,1,2,Returning_Visitor,False,True
5.6225176,154.09517,2.0485837,181.89978,92.30234,3600.801,0.008882274,0.018400464,11.458632,0.0005887101,Nov,1,1,1,2,Returning_Visitor,False,True
2.8946342,101.914696,0.21866213,25.357193,27.388824,1189.1161,0.0036515107,0.016974019,31.726732,-0.00037502995,Dec,2,2,3,2,Returning_Visitor,False,True
3.219868,103.21403,0.3981058,22.537203,36.30303,1356.271,0.008383021,0.021051837,23.700367,0.04649714,May,2,2,3,1,Returning_Visitor,False,True
2.558253,73.73897,0.39719865,20.764874,37.025898,1305.4734,0.0061689517,0.018767806,24.603113,0.006643525,Nov,2,2,3,2,Returning_Visitor,False,True
1.6948055,57.833626,0.2187654,25.759375,27.339466,944.7004,0.0069742943,0.022005038,27.856224,0.0061624744,Oct,2,2,1,1,Returning_Visitor,False,True
2.10701,65.22315,0.3750344,19.719313,33.463314,1201.7617,0.0046048644,0.017956587,25.848001,0.013708941,Nov,2,4,1,2,Returning_Visitor,False,True
2.0453026,52.97581,0.4334747,17.304647,21.900349,733.0371,0.0045234687,0.018774413,27.571005,0.004682793,Mar,1,1,1,5,Returning_Visitor,False,True
