Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
1.357882,42.923462,0.0043662568,1.598051,20.650362,664.5982,0.011923019,0.032951396,0.64775866,4.235903e-05,May,3,2,1,4,Returning_Visitor,True,False
0.46564734,12.823249,-0.0010304075,0.3545093,16.078135,579.2117,0.016811062,0.04579062,0.70096797,0.026959116,May,1,1,1,3,Returning_Visitor,False,False
5.8199153,212.56976,2.165962,119.82151,44.098675,1556.419,0.009785953,0.023429418,3.92881,-0.0027023938,May,1,1,1,2,Returning_Visitor,False,False
1.7311839,46.03155,0.006381311,3.2681408,24.381222,803.76917,0.008905199,0.030761134,1.603296,0.05801207,May,2,2,1,4,Returning_Visitor,False,False
0.015971549,-0.24604085,0.0019725342,0.53618425,2.7023015,37.699535,0.18109423,0.18791288,0.07991954,0.034345053,May,2,2,1,1,Returning_Visitor,False,False
1.275648,42.782337,0.011801995,8.424278,25.329977,922.4263,0.013105963,0.038375735,1.605603,0.04172381,May,2,2,1,6,Returning_Visitor,False,False
0.67461264,22.928867,-2.0883615e-05,0.63603014,15.276234,592.7474,0.0099295825,0.039361324,0.34911606,0.0003569449,Mar,2,2,1,1,Returning_Visitor,False,False
7.1715455,246.6511,1.958383,88.93425,65.56545,1958.2703,0.0074022016,0.020879582,4.1115847,0.00052432966,Nov,3,2,1,1,Returning_Visitor,True,False
7.096533,205.08768,3.047321,163.78526,63.10673,2053.728,0.007279663,0.02197045,4.239627,-0.0023410108,Nov,2,2,1,2,Returning_Visitor,False,False
1.2833407,44.639236,0.010545827,6.156437,25.84438,842.38196,0.009618115,0.035121746,1.4595335,0.012260853,May,2,6,1,1,Returning_Visitor,False,False
5.694397,194.02832,0.003504016,2.225891,39.630913,1364.3256,0.008528019,0.026029456,7.1683965,-9.668743e-05,Aug,2,2,1,1,Returning_Visitor,False,False
1.2329205,40.16269,0.43576926,15.594351,29.958725,1069.1398,0.009865654,0.03137594,1.7966506,-0.0007347924,Dec,2,2,1,2,Returning_Visitor,False,False
0.027986892,0.066779576,0.0010995049,0.55411714,2.339539,33.133495,0.18382365,0.18854235,0.26581213,-0.0006506455,May,1,1,1,3,Returning_Visitor,False,False
1.2947727,39.958687,0.05916787,9.182037,25.531096,943.9528,0.007372836,0.031234894,0.7335374,0.00045961761,Nov,2,2,1,10,Returning_Visitor,False,False
0.27414167,8.670608,0.0029927273,1.0211161,12.56395,505.4591,0.011631941,0.040880162,0.41011497,0.18731786,Feb,2,2,1,3,Returning_Visitor,False,False
0.40525627,14.698005,-0.00029315765,0.24001877,17.368275,584.6674,0.017548732,0.045293916,0.7521903,0.18557556,May,2,2,1,1,Returning_Visitor,False,False
1.4522142,42.862198,0.005058535,1.6532115,25.145926,916.45306,0.010506868,0.032595374,1.5920017,0.0037677388,May,2,2,2,1,Returning_Visitor,False,False
0.011923917,-0.19674733,0.0019011874,0.49246782,1.7921662,22.782543,0.18990086,0.19372246,0.074063025,-0.0030587476,Mar,2,2,1,1,Returning_Visitor,False,False
15.104375,1555.8164,9.399091,955.6032,490.9996,27264.982,0.006209209,0.020564819,2.8741374,-4.171332e-05,Jul,2,2,1,1,Returning_Visitor,False,False
1.1135192,36.83325,0.0030038436,0.8842754,17.35941,617.7757,0.011364491,0.033160716,0.36941645,0.0005248698,Mar,1,1,1,2,Returning_Visitor,True,False
5.5609603,128.22102,0.14162712,8.550043,82.36263,2667.4788,0.0067855394,0.021118378,4.19729,0.3128607,May,2,2,1,4,Returning_Visitor,False,False
1.4630287,61.31106,0.0071236272,2.4693985,15.890023,669.62384,0.013038529,0.035265744,1.390281,-0.0031644863,May,3,3,1,1,Returning_Visitor,False,False
